# current V2 adaptive value-only kernel; HEAD=49aa241; topology prebuilt outside timer; adaptive RelTol; mu_atol=1e-16; gradient_policy=None; repeats=3 median
# case_id configuration_id profile d_bin_index epoch_index target s q rho x y time u X reference topology_status topology_status_code topology_cells topology_uncertain_cells physical_events v2_mu value_error value_converged stop value_stop numerical_status status_code ms nodes evaluations reused_nodes panels splits setup_ms physics_ms estimator_ms scheduler_ms setup_event_ms event_topology_reuses event_radius_reuses event_qf_refinements
0 0 linear 0 0 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0.5 -1.0576909932376057 7.037894869661673 OK 0 13 0 6 7.0379165498357859 0.0034275241444218082 1 Converged Converged OK 0 0.29853400000000002 107 107 65 5 0 0.0087170000000000008 0.261793 0.0043909999999999999 0.0010870000000000001 0.0072999999999999992 6 6 0
0 0 linear 0 0 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0.5 -1.0576909932376057 7.037894869661673 OK 0 13 0 6 7.0379174403231399 0.00030840025423413078 1 Converged Converged OK 0 0.39474199999999998 139 139 95 5 0 0.0099970000000000007 0.35258399999999995 0.0058440000000000002 0.001346 0.0085570000000000004 6 6 0
0 0 linear 0 7 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0.5 -1.0577120131363507 7.1651902970737442 OK 0 13 0 6 7.1651437852665421 0.0066178395505034886 1 Converged Converged OK 0 0.29999199999999998 107 107 65 5 0 0.0084880000000000008 0.26197799999999988 0.0042779999999999997 0.00107 0.007077 6 6 0
0 0 linear 0 7 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0.5 -1.0577120131363507 7.1651902970737442 OK 0 13 0 6 7.1651536137622269 0.00057042540114374133 1 Converged Converged OK 0 0.43951499999999999 139 139 95 5 0 0.0084130000000000003 0.39257099999999995 0.0070270000000000003 0.001328 0.0070699999999999999 6 6 0
0 0 linear 0 15 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0.5 -1.0577360358777737 7.2540663721087535 OK 0 13 0 6 7.2540771205942463 0.0072272092864574091 1 Converged Converged OK 0 0.31581199999999998 107 107 65 5 0 0.0087250000000000001 0.28520400000000001 0.004084 0.001072 0.0073359999999999996 6 6 0
0 0 linear 0 15 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0.5 -1.0577360358777737 7.2540663721087535 OK 0 13 0 6 7.2540774125995977 0.00041651455997825164 1 Converged Converged OK 0 0.45059399999999999 155 155 110 5 0 0.0086750000000000004 0.40487599999999996 0.006313 0.0014249999999999998 0.0072809999999999993 6 6 0
0 0 linear 0 23 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0.5 -1.0577600586191964 7.2792531935334868 OK 0 13 0 6 7.2793538566504319 0.0017056893532439949 1 Converged Converged OK 0 0.36773899999999998 123 123 80 5 0 0.00843 0.33010300000000004 0.0049769999999999997 0.0011979999999999998 0.0070509999999999991 6 6 0
0 0 linear 0 23 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0.5 -1.0577600586191964 7.2792531935334868 OK 0 13 0 6 7.2793534086778333 0.00037561038179830322 1 Converged Converged OK 0 0.451905 155 155 110 5 0 0.0084279999999999997 0.40603299999999992 0.0064390000000000011 0.00142 0.0070480000000000004 6 6 0
0 0 linear 1 0 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0.5 0.10924686468716169 589.76910771294774 OK 0 15 0 7 589.7749295239953 0.32342651149738261 1 Converged Converged OK 0 0.39000200000000002 137 137 80 7 0 0.0097890000000000008 0.35045899999999985 0.0067299999999999999 0.0013399999999999998 0.0078320000000000004 7 7 0
0 0 linear 1 0 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0.5 0.10924686468716169 589.76910771294774 OK 0 15 0 7 589.77373817347564 0.021799764000607066 1 Converged Converged OK 0 0.67791500000000005 233 233 172 7 0 0.0096170000000000005 0.61141600000000029 0.011183 0.0018290000000000001 0.0078269999999999989 7 7 0
