case_id	configuration_id	profile	target	d_bin_index	requested_factor	actual_d_over_rho	epoch_index	s	q	rho	x	y	reference_1e-6	v2_mu	v2_value_error	v2_value_converged	v2_stop	v2_value_stop	v2_numerical_status	v2_status_code	v2_topology_status	v2_topology_status_code	v2_topology_cells	v2_topology_uncertain_cells	v2_physical_events	v2_status	v2_ms	vbm_ms	v2_nodes	v2_evaluations	v2_reused_nodes	v2_panels	v2_splits	v2_setup_ms	v2_physics_ms	v2_estimator_ms	v2_scheduler_ms	v2_setup_event_ms	v2_event_topology_reuses	v2_event_radius_reuses	v2_event_qf_refinements	speed_ratio_vbm_over_v2_all_finite	speed_ratio_vbm_over_v2_status_ok	relative_error_v2_over_vbm_1e-6
0	0	uniform	0.001	0	0.01581365334596794	0.13920904406946774	0	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	6.8139830013407305	6.813979612975834	0.00661377459726151	1	Converged	Converged	OK	0	OK	0	13	0	6	OK	0.242635	0.08514401270076632	91	91	50	5	0	0.008733	0.212889	0.0031949999999999995	0.0008929999999999999	0.007330000000000001	6	6	0	0.35091397655229595	0.35091397655229595	4.972664145993188e-07
0	0	uniform	0.001	0	0.01581365334596794	0.13920904406946774	7	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	6.922316481235011	6.922315667298794	0.002018713500610358	1	Converged	Converged	OK	0	OK	0	13	0	6	OK	0.283913	0.08766696555539966	107	107	65	5	0	0.008438	0.252045	0.0037620000000000006	0.0010099999999999998	0.007104	6	6	0	0.3087810898246986	0.3087810898246986	1.1758148002892721e-07
0	0	uniform	0.001	0	0.01581365334596794	0.13920904406946774	15	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.004509555335418	7.004508682447665	0.0023134587964831303	1	Converged	Converged	OK	0	OK	0	13	0	6	OK	0.288508	0.07964001270011067	107	107	65	5	0	0.0087	0.2549219999999999	0.0038130000000000004	0.001063	0.007316999999999999	6	6	0	0.27604091637012035	0.27604091637012035	1.2461796879476016e-07
0	0	uniform	0.001	0	0.01581365334596794	0.13920904406946774	23	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.040385182847715	7.040385399968943	0.0026447986945458976	1	Converged	Converged	OK	0	OK	0	13	0	6	OK	0.295308	0.08764903759583831	107	107	65	5	0	0.008314	0.2616870000000001	0.0038420000000000004	0.001044	0.006960999999999999	6	6	0	0.29680549661993005	0.29680549661993005	3.0839396144484124e-08
0	0	uniform	0.0001	0	0.01581365334596794	0.13920904406946774	0	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	6.8139830013407305	6.813982380611438	0.0005374187001657153	1	Converged	Converged	OK	0	OK	0	13	0	6	OK	0.307288	0.15145394718274474	123	123	80	5	0	0.008619	0.269662	0.0045590000000000006	0.001164	0.007294999999999999	6	6	0	0.4928729634178515	0.4928729634178515	9.109639585730171e-08
0	0	uniform	0.0001	0	0.01581365334596794	0.13920904406946774	7	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	6.922316481235011	6.922315671371064	0.00046605500529150974	1	Converged	Converged	OK	0	OK	0	13	0	6	OK	0.36746	0.15556596918031573	139	139	95	5	0	0.009598	0.31419800000000003	0.005213000000000001	0.0012590000000000001	0.008189	6	6	0	0.4233548391125993	0.4233548391125993	1.1699319868645252e-07
0	0	uniform	0.0001	0	0.01581365334596794	0.13920904406946774	15	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.004509555335418	7.004509089178971	0.000639297459969861	1	Converged	Converged	OK	0	OK	0	13	0	6	OK	0.362207	0.15524099580943584	139	139	95	5	0	0.010147	0.321787	0.005354	0.0013020000000000004	0.007862	6	6	0	0.4285974478942589	0.4285974478942589	6.655090454143862e-08
0	0	uniform	0.0001	0	0.01581365334596794	0.13920904406946774	23	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.040385182847715	7.040384912229498	0.00023336371714345285	1	Converged	Converged	OK	0	OK	0	13	0	6	OK	0.452096	0.1539550139568746	171	171	126	5	0	0.008364	0.403813	0.007517000000000001	0.0014390000000000002	0.007016	6	6	0	0.340536111703874	0.340536111703874	3.843798465344618e-08
0	0	linear	0.001	0	0.01581365334596794	0.13920904406946774	0	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.037894869661673	7.037916549835786	0.003427524144421808	1	Converged	Converged	OK	0	OK	0	13	0	6	OK	0.336853	1.5139550087042153	107	107	65	5	0	0.011031	0.284806	0.004388	0.0010990000000000002	0.008251	6	6	0	4.49440856606358	4.49440856606358	3.080491327927633e-06
0	0	linear	0.001	0	0.01581365334596794	0.13920904406946774	7	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.165190297073744	7.165143785266542	0.006617839550503489	1	Converged	Converged	OK	0	OK	0	13	0	6	OK	0.299369	1.6871910193003714	107	107	65	5	0	0.008402	0.30722399999999983	0.0041860000000000005	0.001095	0.007045	6	6	0	5.63582408098491	5.63582408098491	6.491356861960899e-06
