row	cell	R_chart_double	R_p4_qf	R_delta_qf	p4_at_double	p4_at_root	phi_pi	phi_theta_pi	phi_R_pi	phi_thetatheta_pi	g_pi	ordinary_fold_check
17	5	0.83746378957463308	0.837463789574633033883475789208562869	-4.3467064799459519040874463697942702e-17	8.43707026675819887660937508349671917e-18	8.18144068172312105546240629906682992e-36	4.8148248609680896326399448564623183e-33	1.16108008074358422028443011538828254e-33	204.928190619327017852499488368849732	-13.389131718996838965975258859631277	0.0200000000000000004163336342344336304	1
17	7	0.85720378575239498	0.857203785752395029809731300581906738	5.42707832263367798198732460905662078e-17	1.10253790462887222064089492948785181e-17	4.5138983071575840305999483029334234e-36	4.8148248609680896326399448564623183e-33	-7.39587876647596488622524255585299862e-34	-200.39190195765287945096054331088191	8.52864471834370807181014057401212482	-0.0200000000000000004163336342344336545	1
