row	case	parameter	cell	kind	left_fold	right_fold	a	b	nr	subdivisions	angular	mu0_grad	muhalf_grad	accepted_nodes	rejected_nodes	mu0_partial_sum	muhalf_partial_sum
17	caustic-cross	a	0	empty	0	1	0	0.55440951894073376	128	1	128	0	0	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	1	arcs	1	1	0.55440951894073376	0.56266096077992589	128	1	128	0.31173978090396209	0.31172899940787618	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	2	empty	1	0	0.56266096077992589	0.67004418472761151	128	1	128	0	0	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	3	empty	0	0	0.67004418472761151	0.81649658092772603	128	1	128	0	0	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	4	empty	0	0	0.81649658092772603	0.83746378957463308	128	1	128	0	0	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	5	arcs	0	0	0.83746378957463308	0.84972672439230301	128	1	128	44.453014215605982	49.334010616399979	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	6	arcs	0	0	0.84972672439230301	0.85720378575239498	128	1	128	16.067805719503472	9.2974887017820542	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	7	arcs	0	1	0.85720378575239498	0.88965961535403337	128	1	128	-62.119803411742538	-60.57171213206211	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	8	empty	1	0	0.88965961535403337	1	128	1	128	0	0	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	9	empty	0	0	1	1.2330836802811773	128	1	128	0	0	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	10	empty	0	0	1.2330836802811773	1.2990013190433436	128	1	128	0	0	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	11	empty	0	1	1.2990013190433436	1.4027942668116613	128	1	128	0	0	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	12	arcs	1	1	1.4027942668116613	1.4148028287947072	128	1	128	-0.86142228228036055	-0.86136515871237651	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	13	empty	1	0	1.4148028287947072	1.6585311203645845	128	1	128	0	0	640	0	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	a	0	empty	0	1	0	0.55440951894073376	256	1	128	0	0	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	1	arcs	1	1	0.55440951894073376	0.56266096077992589	256	1	128	0.31173978050284445	0.31172899916720559	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	2	empty	1	0	0.56266096077992589	0.67004418472761151	256	1	128	0	0	1280	0	-2.2764303811324558	-2.5682894580743358
