row	case	u	parameter	cell	fejer_nodes	prod_valid_nodes	qf256_valid_nodes	qf_failures	production_invalid_nodes	production_old_q8	qf_old_q8_128	qf_old_q8_256	local_derivative_delta	max_point_abs_delta	max_point_rel_delta
99	rand035	0	X	8	255	255	255	0	0	8.5213040007269942	8.5213040006767411	8.5213040006767411	7.0744336878549259e-10	0.004197916183329653	1.0065369947695195e-07
99	rand035	0	X	9	255	255	255	0	0	0	0	0	0	0	0
99	rand035	0	Y	0	255	255	255	0	0	0	0	0	0	0	0
99	rand035	0	Y	1	255	255	255	0	0	0	0	0	0	0	0
99	rand035	0	Y	10	255	255	255	0	0	0	0	0	0	0	0
99	rand035	0	Y	11	255	207	255	0	48	5.6699065398924746e-19	5.9067460586948463e-19	5.9067460586948463e-19	2.7355154777247988e-26	2.5493495382391989e-16	3.2427022018904436e-08
99	rand035	0	Y	12	255	255	255	0	0	0	0	0	0	0	0
99	rand035	0	Y	2	255	255	255	0	0	-0.93448893567663716	-0.93448892524906901	-0.93448892524906901	1.2399131500113308e-08	470.40179823245853	0.00013675582499503232
99	rand035	0	Y	3	255	255	255	0	0	18.939593176756606	18.93959317661125	18.93959317661125	3.7698490138448278e-10	0.0079450880584772676	4.1141552612611062e-08
99	rand035	0	Y	4	255	255	255	0	0	0	0	0	0	0	0
99	rand035	0	Y	5	255	255	255	0	0	0	0	0	0	0	0
99	rand035	0	Y	6	255	255	255	0	0	0	0	0	0	0	0
99	rand035	0	Y	7	255	255	255	0	0	0	0	0	0	0	0
99	rand035	0	Y	8	255	255	255	0	0	18.005102871760325	18.005102871654135	18.005102871654135	1.4947748128956156e-09	0.0088699934422038496	1.0065370113918127e-07
99	rand035	0	Y	9	255	255	255	0	0	0	0	0	0	0	0
