row	case	u	parameter	cell	kind	left_fold_source	right_fold_source	left_fold_used	right_fold_used	a	b	nr	subdivisions	angular	mu0_grad	muhalf_grad	accepted_nodes	rejected_nodes	cell_ok	mu0_partial_sum	muhalf_partial_sum
17	caustic-cross	0	a	0	empty	0	1	0	1	0	0.55440951894073376	128	1	128	0	0	0	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	1	arcs	1	1	1	1	0.55440951894073376	0.56266096077992589	128	1	128	0.31173978090396209	0.31172899940787618	128	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	2	empty	1	0	1	0	0.56266096077992589	0.67004418472761151	128	1	128	0	0	0	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	3	empty	0	0	0	0	0.67004418472761151	0.81649658092772603	128	1	128	0	0	0	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	4	empty	0	0	0	0	0.81649658092772603	0.83746378957463308	128	1	128	0	0	0	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	5	arcs	0	0	1	0	0.83746378957463308	0.84972672439230301	128	1	128	44.586302642540822	49.413983672560896	128	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	6	arcs	0	0	0	0	0.84972672439230301	0.85720378575239498	128	1	128	16.067805719503472	9.2974887017820542	128	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	7	arcs	0	1	1	1	0.85720378575239498	0.88965961535403337	128	1	128	-62.509115037124175	-60.80767645155435	128	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	8	empty	1	0	1	0	0.88965961535403337	1	128	1	128	0	0	0	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	9	empty	0	0	0	0	1	1.2330836802811773	128	1	128	0	0	0	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	10	empty	0	0	0	0	1.2330836802811773	1.2990013190433436	128	1	128	0	0	0	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	11	empty	0	1	0	1	1.2990013190433436	1.4027942668116613	128	1	128	0	0	0	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	12	arcs	1	1	1	1	1.4027942668116613	1.4148028287947072	128	1	128	-0.86142228228036055	-0.86136515871237651	128	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	13	empty	1	0	1	0	1.4148028287947072	1.6585311203645845	128	1	128	0	0	0	0	1	-2.404689176456273	-2.6458402365159022
17	caustic-cross	0	a	0	empty	0	1	0	1	0	0.55440951894073376	256	1	128	0	0	0	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	1	arcs	1	1	1	1	0.55440951894073376	0.56266096077992589	256	1	128	0.31173978050284445	0.31172899916720559	256	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	2	empty	1	0	1	0	0.56266096077992589	0.67004418472761151	256	1	128	0	0	0	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	3	empty	0	0	0	0	0.67004418472761151	0.81649658092772603	256	1	128	0	0	0	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	4	empty	0	0	0	0	0.81649658092772603	0.83746378957463308	256	1	128	0	0	0	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	5	arcs	0	0	1	0	0.83746378957463308	0.84972672439230301	256	1	128	44.586302627504644	49.413983663539163	256	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	6	arcs	0	0	0	0	0.84972672439230301	0.85720378575239498	256	1	128	16.067805719503465	9.297487337865098	256	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	7	arcs	0	1	1	1	0.85720378575239498	0.88965961535403337	256	1	128	-62.509115045339293	-60.807676186746839	256	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	8	empty	1	0	1	0	0.88965961535403337	1	256	1	128	0	0	0	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	9	empty	0	0	0	0	1	1.2330836802811773	256	1	128	0	0	0	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	10	empty	0	0	0	0	1.2330836802811773	1.2990013190433436	256	1	128	0	0	0	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	11	empty	0	1	0	1	1.2990013190433436	1.4027942668116613	256	1	128	0	0	0	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	12	arcs	1	1	1	1	1.4027942668116613	1.4148028287947072	256	1	128	-0.8614222734183723	-0.86136515339518349	256	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	13	empty	1	0	1	0	1.4148028287947072	1.6585311203645845	256	1	128	0	0	0	0	1	-2.4046891912467099	-2.6458413395705591
17	caustic-cross	0	a	0	empty	0	1	0	1	0	0.55440951894073376	512	1	128	0	0	0	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	1	arcs	1	1	1	1	0.55440951894073376	0.56266096077992589	512	1	128	0.31173977946356807	0.31172899854363989	512	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	2	empty	1	0	1	0	0.56266096077992589	0.67004418472761151	512	1	128	0	0	0	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	3	empty	0	0	0	0	0.67004418472761151	0.81649658092772603	512	1	128	0	0	0	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	4	empty	0	0	0	0	0.81649658092772603	0.83746378957463308	512	1	128	0	0	0	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	5	arcs	0	0	1	0	0.83746378957463308	0.84972672439230301	512	1	128	44.58630258393638	49.413983637398204	512	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	6	arcs	0	0	0	0	0.84972672439230301	0.85720378575239498	512	1	128	16.067805719503461	9.2974873377749336	512	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	7	arcs	0	1	1	1	0.85720378575239498	0.88965961535403337	512	1	128	-62.509115103030481	-60.807676202558667	512	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	8	empty	1	0	1	0	0.88965961535403337	1	512	1	128	0	0	0	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	9	empty	0	0	0	0	1	1.2330836802811773	512	1	128	0	0	0	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	10	empty	0	0	0	0	1.2330836802811773	1.2990013190433436	512	1	128	0	0	0	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	11	empty	0	1	0	1	1.2990013190433436	1.4027942668116613	512	1	128	0	0	0	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	12	arcs	1	1	1	1	1.4027942668116613	1.4148028287947072	512	1	128	-0.86142223941237361	-0.8613651329915839	512	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	13	empty	1	0	1	0	1.4148028287947072	1.6585311203645845	512	1	128	0	0	0	0	1	-2.4046892595394449	-2.6458413618334706
17	caustic-cross	0	a	0	empty	0	1	0	1	0	0.55440951894073376	1024	1	128	0	0	0	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	1	arcs	1	1	1	1	0.55440951894073376	0.56266096077992589	1024	1	128	0.31173977293051036	0.31172899462380488	1024	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	2	empty	1	0	1	0	0.56266096077992589	0.67004418472761151	1024	1	128	0	0	0	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	3	empty	0	0	0	0	0.67004418472761151	0.81649658092772603	1024	1	128	0	0	0	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	4	empty	0	0	0	0	0.81649658092772603	0.83746378957463308	1024	1	128	0	0	0	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	5	arcs	0	0	1	0	0.83746378957463308	0.84972672439230301	1024	1	128	44.586302367275536	49.413983507401703	1024	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	6	arcs	0	0	0	0	0.84972672439230301	0.85720378575239498	1024	1	128	16.067805719503461	9.2974873377749621	1024	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	7	arcs	0	1	1	1	0.85720378575239498	0.88965961535403337	1024	1	128	-62.50911507900156	-60.807676187595789	1024	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	8	empty	1	0	1	0	0.88965961535403337	1	1024	1	128	0	0	0	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	9	empty	0	0	0	0	1	1.2330836802811773	1024	1	128	0	0	0	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	10	empty	0	0	0	0	1.2330836802811773	1.2990013190433436	1024	1	128	0	0	0	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	11	empty	0	1	0	1	1.2990013190433436	1.4027942668116613	1024	1	128	0	0	0	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	12	arcs	1	1	1	1	1.4027942668116613	1.4148028287947072	1024	1	128	-0.86142210218189608	-0.86136505065329816	1024	0	1	-2.4046893214739429	-2.645841398448622
17	caustic-cross	0	a	13	empty	1	0	1	0	1.4148028287947072	1.6585311203645845	1024	1	128	0	0	0	0	1	-2.4046893214739429	-2.645841398448622
