row	case	parameter	cell	a	b	h_scale	nr	subdivisions	angular	fd_mu0	fd_muhalf	spread_mu0_by_offset	spread_muhalf_by_offset	fail_count	fd_mu0_m2	fd_mu0_m1	fd_mu0_p1	fd_mu0_p2	fd_muhalf_m2	fd_muhalf_m1	fd_muhalf_p1	fd_muhalf_p2
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.0030000000000000001	64	1	32	44.381884194482573	nan	0.010628718300903728	nan	0	7.0737120894610426	7.0763868838260944	7.0817098431912111	7.0843408077619463	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.0030000000000000001	64	1	32	15.847383643008415	nan	0.0037694817674935877	nan	0	7.8750904098988679	7.8760546181235727	7.8779520678723802	7.8788598916663615	nan	nan	nan	nan
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.0030000000000000001	64	1	32	-62.304548340236856	nan	0.014850478399772271	nan	0	16.697100062687156	16.693396500834623	16.685932781684031	16.682249584287383	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.0030000000000000001	64	1	32	-0.8398886085039956	nan	0.00026371902487737353	nan	0	0.22557192376181426	0.22563739916872572	0.22553702874171461	0.22537368014384834	nan	nan	nan	nan
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.0030000000000000001	128	2	32	44.411091456422433	nan	0.010632206039519865	nan	0	7.0737084211962706	7.0763832142396668	7.0817092382256845	7.0843406272357905	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.0030000000000000001	128	2	32	15.84738376421393	nan	0.0037694818152180787	nan	0	7.8750904098988714	7.8760546181235762	7.8779520678892574	7.8788598917140895	nan	nan	nan	nan
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.0030000000000000001	128	2	32	-62.104162559744537	nan	0.014844480274529559	nan	0	16.697118831059168	16.693413656751563	16.685968722086869	16.682274350784638	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.0030000000000000001	128	2	32	-0.83988928815180741	nan	0.00026371828864804603	nan	0	0.22557192374287779	0.22563739841111757	0.22553702792263289	0.22537368012246953	nan	nan	nan	nan
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.0030000000000000001	256	4	32	44.412686138765402	nan	0.010632370084429965	nan	0	7.0737082571501091	7.0763830501344014	7.081709238147444	7.0843406272345391	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.0030000000000000001	256	4	32	15.847383769621951	nan	0.0037694818173523714	nan	0	7.8750904098988688	7.8760546181235735	7.8779520678900088	7.8788598917162211	nan	nan	nan	nan
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.0030000000000000001	256	4	32	-62.110474158948307	nan	0.01484533034428992	nan	0	16.697119727125784	16.693414550884512	16.685968941917171	16.682274396781494	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.0030000000000000001	256	4	32	-0.83988928815180741	nan	0.00026371828864851787	nan	0	0.22557192374287752	0.2256373984111176	0.22553702792263289	0.22537368012246908	nan	nan	nan	nan
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.001	64	1	32	44.428151095221573	nan	0.0035508971457476335	nan	0	7.0772785390182191	7.0781702227411056	7.0799469294171811	7.0808294361639668	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.001	64	1	32	15.940543138333778	nan	0.0012687203378165535	nan	0	7.8763760001409668	7.8766973717968902	7.8773341781332675	7.8776447204787834	nan	nan	nan	nan
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.001	64	1	32	-63.300584285401001	nan	0.0049952945393840764	nan	0	16.692158724094458	16.690919063286152	16.688395633940168	16.687163429555074	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.001	64	1	32	-0.8489673991843073	nan	7.2656013906019501e-05	nan	0	0.22564940108112128	0.22565477586190724	0.22562089668579172	0.22558211984800122	nan	nan	nan	nan
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.001	128	2	32	44.481233960269591	nan	0.0035535813918956549	nan	0	7.0772748689912248	7.0781665522735349	7.0799451869663299	7.0808284503831205	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.001	128	2	32	15.940543208318537	nan	0.0012687203470012065	nan	0	7.8763760001409704	7.8766973717968938	7.8773341781365183	7.8776447204879716	nan	nan	nan	nan
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.001	128	2	32	-62.28104569846829	nan	0.0049700367625113984	nan	0	16.692174779784526	16.690933348479835	16.688443662513567	16.687204743022015	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.001	128	2	32	-0.84899547989764057	nan	7.2634410829136575e-05	nan	0	0.22564939744157264	0.22565475039920654	0.22562087035316022	0.22558211598837741	nan	nan	nan	nan
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.001	256	4	32	44.48588439931455	nan	0.0035537450574940621	nan	0	7.0772747048662561	7.0781663881288637	7.07994518279303	7.0808284499237502	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.001	256	4	32	15.94054321141606	nan	0.0012687203474115449	nan	0	7.8763760001409677	7.8766973717968911	7.8773341781366604	7.8776447204883793	nan	nan	nan	nan
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.001	256	4	32	-62.278005470976311	nan	0.0049705080446713623	nan	0	16.692175668462813	16.690934208788473	16.68844455511876	16.687205160418142	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.001	256	4	32	-0.84899548054480811	nan	7.2634410705291197e-05	nan	0	0.22564939744157264	0.22565475039908214	0.22562087035301634	0.22558211598837685	nan	nan	nan	nan
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.00029999999999999997	64	1	32	44.445817495125048	nan	0.0010663535029582505	nan	0	7.0785269042182719	7.0787944183214915	7.0793277248668174	7.0795932577212302	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.00029999999999999997	64	1	32	15.998100781073397	nan	0.00038288250900997411	nan	0	7.8768259175581301	7.8769223257911589	7.8771141690118149	7.8772088000671401	nan	nan	nan	nan
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.00029999999999999997	64	1	32	-66.580028930217523	nan	0.0015336586566832011	nan	0	16.690422625185981	16.690050066881533	16.689259139289074	16.688888966529298	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.00029999999999999997	64	1	32	-0.85450565196664974	nan	2.0404708430177276e-05	nan	0	0.22565453985701781	0.22565318360741721	0.22564294246799574	0.22563413514858763	nan	nan	nan	nan
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.00029999999999999997	128	2	32	44.518578889824539	nan	0.0010677512781605003	nan	0	7.0785232335744661	7.0787907475455105	7.0793248836652891	7.0795909848526266	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.00029999999999999997	128	2	32	15.998100819376091	nan	0.00038288251051898925	nan	0	7.8768259175581337	7.8769223257911625	7.8771141690123514	7.8772088000686526	nan	nan	nan	nan
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.00029999999999999997	128	2	32	-62.486423204709425	nan	0.0014956854446737111	nan	0	16.690435870075639	16.690062326825554	16.689312988336127	16.688940184630965	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.00029999999999999997	128	2	32	-0.85461618959893793	nan	2.0406091221975009e-05	nan	0	0.22565447176118125	0.22565301583580102	0.22564277352869189	0.22563406566995928	nan	nan	nan	nan
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.00029999999999999997	256	4	32	44.53068176868414	nan	0.0010679025851896284	nan	0	7.0785230694219141	7.0787905833870477	7.0793248473461148	7.0795909720071037	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.00029999999999999997	256	4	32	15.998100821053761	nan	0.00038288251058560263	nan	0	7.876825917558131	7.8769223257911598	7.8771141690123727	7.8772088000687166	nan	nan	nan	nan
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.00029999999999999997	256	4	32	-62.380686107113263	nan	0.0014952217366399623	nan	0	16.690436688338607	16.690063066226646	16.689314737334602	16.688941466601968	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.00029999999999999997	256	4	32	-0.85461685583452318	nan	2.0406091610691846e-05	nan	0	0.22565447175773015	0.22565301574884675	0.22564277343569289	0.22563406566611946	nan	nan	nan	nan
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.0001	64	1	32	44.450956382835464	nan	0.00035556741181963503	nan	0	7.0788835902597569	7.078972762483283	7.079150561278909	7.0792391576715765	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.0001	64	1	32	16.027561496804545	nan	0.00012801419994268315	nan	0	7.8769544616616169	7.8769865974284681	7.8770506818879511	7.8770824758615596	nan	nan	nan	nan
