row	case	u	parameter	cell	kind	left_fold_source	right_fold_source	left_fold_used	right_fold_used	a	b	nr	subdivisions	angular	mu0_grad	muhalf_grad	accepted_nodes	rejected_nodes	cell_ok	mu0_partial_sum	muhalf_partial_sum
99	rand035	0	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	48	1	128	-0.44226714555737723	-0.27833380789248596	48	0	1	-0.44226714555737723	-0.27833380789248596
99	rand035	0	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	80	4	256	-0.44226713206013141	-0.27833379979413847	320	0	1	-0.44226713206013141	-0.27833379979413847
99	rand035	0	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	112	8	512	-0.44226711263139223	-0.27833378813689497	896	0	1	-0.44226711263139223	-0.27833378813689497
99	rand035	0	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	112	8	1024	-0.44226711263139223	-0.27833378813689497	896	0	1	-0.44226711263139223	-0.27833378813689497
99	rand035	0	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	112	8	1024	-0.44226711263139223	-0.27833378813689497	896	0	1	-0.44226711263139223	-0.27833378813689497
99	rand035	0	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	128	16	1024	-0.44226711846081557	-0.27833379163454897	2048	0	1	-0.44226711846081557	-0.27833379163454897
99	rand035	0	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	160	32	1024	-0.44226682275008605	-0.27833361420811126	5120	0	1	-0.44226682275008605	-0.27833361420811126
99	rand035	0	Y	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	48	1	128	-0.93448894388254311	-0.58810578356771415	48	0	1	-0.93448894388254311	-0.58810578356771415
99	rand035	0	Y	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	80	4	256	-0.93448891536351986	-0.58810576645630019	320	0	1	-0.93448891536351986	-0.58810576645630019
99	rand035	0	Y	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	112	8	512	-0.93448887431153993	-0.58810574182511222	896	0	1	-0.93448887431153993	-0.58810574182511222
99	rand035	0	Y	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	112	8	1024	-0.93448887431153993	-0.58810574182511222	896	0	1	-0.93448887431153993	-0.58810574182511222
99	rand035	0	Y	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	112	8	1024	-0.93448887431153993	-0.58810574182511222	896	0	1	-0.93448887431153993	-0.58810574182511222
99	rand035	0	Y	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	128	16	1024	-0.93448888662882768	-0.58810574921548486	2048	0	1	-0.93448888662882768	-0.58810574921548486
99	rand035	0	Y	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	160	32	1024	-0.93448826180645483	-0.58810537432206111	5120	0	1	-0.93448826180645483	-0.58810537432206111
100	rand035	0.5	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	48	1	128	-0.44226714555737723	-0.27833380789248596	48	0	1	-0.44226714555737723	-0.27833380789248596
100	rand035	0.5	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	80	4	256	-0.44226713206013141	-0.27833379979413847	320	0	1	-0.44226713206013141	-0.27833379979413847
100	rand035	0.5	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	112	8	512	-0.44226711263139223	-0.27833378813689497	896	0	1	-0.44226711263139223	-0.27833378813689497
100	rand035	0.5	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	112	8	1024	-0.44226711263139223	-0.27833378813689497	896	0	1	-0.44226711263139223	-0.27833378813689497
100	rand035	0.5	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	112	8	1024	-0.44226711263139223	-0.27833378813689497	896	0	1	-0.44226711263139223	-0.27833378813689497
100	rand035	0.5	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	128	16	1024	-0.44226711846081557	-0.27833379163454897	2048	0	1	-0.44226711846081557	-0.27833379163454897
100	rand035	0.5	X	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	160	32	1024	-0.44226682275008605	-0.27833361420811126	5120	0	1	-0.44226682275008605	-0.27833361420811126
100	rand035	0.5	Y	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	48	1	128	-0.93448894388254311	-0.58810578356771415	48	0	1	-0.93448894388254311	-0.58810578356771415
100	rand035	0.5	Y	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	80	4	256	-0.93448891536351986	-0.58810576645630019	320	0	1	-0.93448891536351986	-0.58810576645630019
100	rand035	0.5	Y	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	112	8	512	-0.93448887431153993	-0.58810574182511222	896	0	1	-0.93448887431153993	-0.58810574182511222
100	rand035	0.5	Y	2	arcs	1	0	1	0	0.88716938242769516	0.88723369079252823	112	8	1024	-0.93448887431153993	-0.58810574182511222	896	0	1	-0.93448887431153993	-0.58810574182511222
