row	case	u	parameter	cell	arc	fejer_nodes	uniform_arc_contribution	LD_arc_contribution	combined_arc_contribution	arc_radial_abs_sum	within_arc_radial_cancellation	cell_interarc_cancellation
100	rand035	0.5	X	11	0	253	6.6241582858785339e-18	4.4258629705867796e-18	1.1050021256465314e-17	1.389311247461696e-16	12.572928279652102	1
100	rand035	0.5	X	2	0	255	-0.26536028204320905	-0.012973520558070559	-0.2783338026012796	0.2783338026012796	1	1
100	rand035	0.5	X	3	0	255	5.3781438203303731	3.3593359313239879	8.7374797516543605	21.92228920055468	2.5089945640679621	1
100	rand035	0.5	X	8	0	255	5.1127824004060445	3.3463617936079335	8.4591441940139784	29.910571281230176	3.5358862073064166	1
100	rand035	0.5	Y	11	0	253	3.5440476352169073e-19	2.3732207561392878e-19	5.9172683913561951e-19	1.4919086079971847e-17	25.212792615196051	1
100	rand035	0.5	Y	2	0	255	-0.5606933551494413	-0.027412417238211317	-0.58810577238765271	0.58810577238765271	1	1
100	rand035	0.5	Y	3	0	255	11.363755905966748	7.0981131941000983	18.461869100066849	46.320729472806114	2.5089945780537679	1
100	rand035	0.5	Y	8	0	255	10.80306172299248	7.0707004915155123	17.873762214507991	63.199586544312709	3.5358860538613466	1
17	caustic-cross	0	a	1	0	255	0.31173978084674692	0	0.31173978084674692	7.8955000469312422	25.327213695619797	1
17	caustic-cross	0	a	12	0	255	-0.86142227985474629	0	-0.86142227985474629	28.668664077130419	33.280615962202127	1
17	caustic-cross	0	a	5	0	255	44.494565324441076	0	44.494565324441076	44.494565324441076	1	1
17	caustic-cross	0	a	6	0	255	16.067805719503465	0	16.067805719503465	16.067805719503465	1	1
17	caustic-cross	0	a	7	0	255	-31.120584491638393	0	-31.120584491638393	31.120584491638393	1	1
17	caustic-cross	0	a	7	1	255	-31.120584491638393	0	-31.120584491638393	31.120584491638393	1	1
99	rand035	0	X	11	0	253	1.1040263809797558e-17	0	1.1040263809797558e-17	1.2972276667772518e-16	11.749969829761147	1
99	rand035	0	X	2	0	255	-0.44226713673868179	0	-0.44226713673868179	0.44226713673868179	1	1
99	rand035	0	X	3	0	255	8.9635730338839554	0	8.9635730338839554	20.661858005392482	2.3050917226073642	1
99	rand035	0	X	8	0	255	8.5213040006767411	0	8.5213040006767411	28.336949815073975	3.3254241149973671	1
99	rand035	0	Y	11	0	253	5.9067460586948463e-19	0	5.9067460586948463e-19	1.3926672652886538e-17	23.577571330303257	1
99	rand035	0	Y	2	0	255	-0.93448892524906901	0	-0.93448892524906901	0.93448892524906901	1	1
99	rand035	0	Y	3	0	255	18.93959317661125	0	18.93959317661125	43.657499706762657	2.3050917355857399	1
99	rand035	0	Y	8	0	255	18.005102871654135	0	18.005102871654135	59.874600764262247	3.3254239751400849	1
