row	case	u	parameter	cell	kind	production_complete	production_valid_nodes	production_invalid_nodes	reference_order	reference_subdivisions	reference_angular_nodes	production_q8	independent_qf_same_production_nodes_q8	independent_qf_radial_reference	production_minus_radial_reference	same_nodes_minus_radial_reference	same_node_local_derivative_signed_difference	same_node_local_derivative_abs_weighted_difference	share_of_absolute_cell_error	share_of_net_cell_error
99	rand035	0.0	Y	3	arcs	1	255	0	128	16	1024	18.939593176756606	18.93959317661125	18.939592520641593	6.56115012986902e-07	6.559696572594476e-07	1.453557274544437e-10	3.769849013844828e-10	0.9110376557064147	1.054696921639881
99	rand035	0.0	Y	4	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	rand035	0.0	Y	5	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	rand035	0.0	Y	6	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	rand035	0.0	Y	7	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	rand035	0.0	Y	8	arcs	1	255	0	128	16	1024	18.005102871760325	18.005102871654135	18.00510285673885	1.5021473842580235e-08	1.4915283230720888e-08	1.0619061185934697e-10	1.4947748128956156e-09	0.020857819199257863	0.024146836921379276
99	rand035	0.0	Y	9	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	rand035	0.0	Y	10	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	rand035	0.0	Y	11	arcs	0	207	48	112	8	1024	5.669906539892475e-19	5.906746058694846e-19	5.944277768107469e-19	-2.7437122821499485e-20	-3.753170941262311e-21	NA	2.735515477724799e-26	3.809736335834593e-14	-4.410484199523799e-14
99	rand035	0.0	Y	12	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	X	0	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	X	1	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	X	2	arcs	1	255	0	128	16	1024	-0.2783338055626746	-0.2783338026012796	-0.27833379163454897	-1.3928125652817869e-08	-1.0966730634720534e-08	-2.9613950180973347e-09	3.5212718684984852e-09	0.06810617939931031	-0.07884597573637868
100	rand035	0.5	X	3	arcs	1	255	0	128	16	1024	8.737479751695634	8.73747975165436	8.73747956538326	1.8631237352906282e-07	1.8627109987789936e-07	4.127365116346482e-11	1.0707209218168114e-10	0.9110360038512783	1.0546990491637045
100	rand035	0.5	X	4	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	X	5	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	X	6	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	X	7	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	X	8	arcs	1	255	0	128	16	1024	8.459144194044097	8.459144194013977	8.459144189778547	4.265549691240267e-09	4.235429784671396e-09	3.011990656887065e-11	4.245945910101336e-10	0.020857816747905898	0.02414692657441705
100	rand035	0.5	X	9	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	X	10	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	X	11	arcs	0	207	48	112	8	1024	1.0761729362880645e-17	1.1050021256465314e-17	1.1069617333625377e-17	-3.078879707447322e-19	-1.959607716006277e-20	NA	2.744542375926102e-25	1.5055201175750436e-12	-1.7429285229021955e-12
100	rand035	0.5	X	12	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	Y	0	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	Y	1	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	Y	2	arcs	1	255	0	128	16	1024	-0.5881057786449362	-0.5881057723876526	-0.5881057492154849	-2.9429451320339695e-08	-2.3172167740170835e-08	-6.25728358016886e-09	7.440276025559819e-09	0.06810616573651976	-0.07884595742454736
100	rand035	0.5	Y	3	arcs	1	255	0	128	16	1024	18.461869100154054	18.461869100066846	18.461868706485085	3.9366896942283347e-07	3.9358176096015995e-07	8.72084626735159e-11	2.26211310436691e-10	0.911035811880945	1.0546987935526313
100	rand035	0.5	Y	4	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	Y	5	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	Y	6	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	Y	7	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	Y	8	arcs	1	255	0	128	16	1024	17.873762214571723	17.87376221450799	17.873762205558734	9.012989465873034e-09	8.949257335189031e-09	6.373213068400219e-11	8.970071602998308e-10	0.020858022382497142	0.024147163871960236
100	rand035	0.5	Y	9	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	Y	10	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	rand035	0.5	Y	11	arcs	0	207	48	112	8	1024	5.77513316527908e-19	5.917268391356195e-19	5.939862978135584e-19	-1.6472981285650385e-20	-2.2594586779389182e-21	NA	4.271858048990042e-26	3.812206967106118e-14	-4.4133611835504784e-14
100	rand035	0.5	Y	12	empty	1	255	0	112	8	1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
