row	case	u	parameter	cell	kind	left_fold_source	right_fold_source	left_fold_used	right_fold_used	a	b	nr	subdivisions	angular	mu0_grad	muhalf_grad	accepted_nodes	rejected_nodes	cell_ok	mu0_partial_sum	muhalf_partial_sum
17	caustic-cross	0	a	0	empty	0	1	0	1	0	0.55440951894073376	128	1	128	0	0	0	0	1	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	0	a	1	arcs	1	1	1	1	0.55440951894073376	0.56266096077992589	128	1	128	0.31173978090396209	0.31172899940787618	128	0	1	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	0	a	2	empty	1	0	1	0	0.56266096077992589	0.67004418472761151	128	1	128	0	0	0	0	1	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	0	a	3	empty	0	0	0	0	0.67004418472761151	0.81649658092772603	128	1	128	0	0	0	0	1	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	0	a	4	empty	0	0	0	0	0.81649658092772603	0.83746378957463308	128	1	128	0	0	0	0	1	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	0	a	5	arcs	0	0	0	0	0.83746378957463308	0.84972672439230301	128	1	128	44.453014215605982	49.334010616399979	128	0	1	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	0	a	6	arcs	0	0	0	0	0.84972672439230301	0.85720378575239498	128	1	128	16.067805719503472	9.2974887017820542	128	0	1	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	0	a	7	arcs	0	1	0	1	0.85720378575239498	0.88965961535403337	128	1	128	-62.119803411742538	-60.57171213206211	128	0	1	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	0	a	8	empty	1	0	1	0	0.88965961535403337	1	128	1	128	0	0	0	0	1	-2.1486659780094786	-2.4898489731845723
17	caustic-cross	0	a	9	empty	0	0	0	0	1	1.2330836802811773	128	1	128	0	0	0	0	1	-2.1486659780094786	-2.4898489731845723
