case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid
0 linear 0 0 51.032580000000003 7.0379226907888537 1 67 49.807974999999999 0.030901000000000001 0.22561899999999993 0.0071519999999999995 0.0018819999999999998 0.010399 0.021097000000000001 0.18752099999999999 0.37207699999999999 48.937500999999997 0.10259299999999999 2.6999999999999999e-05 0.059518999999999996 0.0055589999999999997 0.012672999999999999 0.15010200000000007 0.032666999999999995 0.0086529999999999975 0 0 0 0 0 0 0 0 0 0 49.608021999999998 49.771631999999997 0.011769999999999999 0.0064869999999999997 0.013461000000000001 0.00071100000000000004 0 0 0 0 0 0
0 linear 0 7 49.661881000000001 7.165175685042759 1 83 49.264679000000001 0.012196 0.3326309999999999 0.0064969999999999993 0.00134 0.0036939999999999998 0.012744999999999999 0.01856 0.36903000000000002 48.729665000000004 0.090317000000000008 2.6999999999999999e-05 0.01636 0.0026029999999999998 0.0052019999999999983 0.23866999999999997 0.045960000000000001 0.011137000000000005 0 1 15 15 0 0 0 0 0 0 49.193472999999997 49.252204999999996 0.0030660000000000001 0.0063470000000000002 0.012573000000000001 0.00028499999999999999 0 2 1 16 0.00115407797797932 2
0 linear 0 15 49.710445 7.2540425509600803 1 91 49.269185 0.011916 0.39541000000000004 0.0071139999999999997 0.0021210000000000001 0.0043099999999999996 0.010158 0.0099919999999999991 0.25136199999999997 48.812582999999997 0.089529999999999998 2.8e-05 0.079707 0.001799 0.0038660000000000005 0.28890099999999985 0.051818999999999955 0.012763 0 2 13 13 0 0 0 0 0 0 49.145719999999997 49.262078000000002 0.001658 0.0053480000000000003 0.012577 5.1e-05 0 1 1 8 0.0027134713756958736 1
0 linear 0 23 49.982193000000002 7.2793514851610421 1 91 49.530158999999998 0.011852 0.40545099999999995 0.0094720000000000013 0.0015330000000000001 0.0032100000000000002 0.010189 0.0098899999999999995 0.38130999999999998 48.974735000000003 0.089394000000000001 2.5999999999999998e-05 0.048867000000000001 0.0019599999999999999 0.0039389999999999998 0.28774199999999994 0.050545999999999973 0.014085000000000009 0 3 13 13 0 0 0 0 0 0 49.437812999999998 49.522615999999999 0.001604 0.005457 0.012275000000000001 4.8000000000000001e-05 0 1 1 8 0.0030160757831446021 1
0 linear 1 0 1.0387949999999999 589.76731831372365 1 105 0.62697800000000004 0.014206 0.33672699999999989 0.0071919999999999996 0.0016149999999999999 0.0034329999999999999 0.0098569999999999994 0.17777499999999999 0.127499 0 0.0081340000000000006 0.001426 0.25109399999999998 0.0016249999999999999 0.0044000000000000003 0.17688699999999999 0.084248000000000045 0.018251000000000007 0 0 0 0 0.0052680000000000001 1 0 0 14 0 0.32370300000000002 0.61739900000000003 0.0011590000000000001 0.0046540000000000002 0.015834000000000001 0.0031129999999999999 0 0 0 0 0 0
0 linear 1 7 0.69661600000000001 593.09247526628167 1 105 0.323125 0.014873000000000001 0.3295749999999999 0.0061920000000000005 0.0014969999999999998 0.0040730000000000002 0.0090500000000000008 0.0095820000000000002 0.15038000000000001 0 0.0036749999999999999 0.002251 0.10386100000000001 0.001116 0.0038749999999999995 0.17094599999999999 0.077425000000000035 0.018582000000000001 0 1 19 19 0.0030330000000000001 1 0 0 14 0 0.17316400000000001 0.31635000000000002 0.001346 0.0035479999999999999 0.015687000000000003 0.00134 0 1 1 8 0.0016863986939356674 1
0 linear 1 15 0.897594 596.53003682974679 1 128 0.39822099999999999 0.012992 0.43961800000000006 0.00728 0.0016320000000000002 0.0026679999999999998 0.0082950000000000003 0.0083079999999999994 0.11104899999999999 0 0.0034069999999999999 0.000968 0.22691299999999998 0.001054 0.0038189999999999999 0.22601399999999994 0.10161899999999997 0.022799000000000028 0 2 19 19 0.002879 1 0 0 14 0 0.13042799999999999 0.39150499999999999 0.0012019999999999999 0.003228 0.014119000000000003 0.001157 0 1 1 8 0.18679473719266346 1
0 linear 1 23 0.74664200000000003 599.54254534181996 1 128 0.26240799999999997 0.012942 0.43924099999999994 0.0066639999999999989 0.001469 0.0026570000000000001 0.0080949999999999998 0.0081560000000000001 0.13154199999999999 0 0.0034039999999999999 0.001003 0.071597000000000008 0.0010120000000000001 0.0037799999999999999 0.22799700000000012 0.099350999999999912 0.022804000000000012 0 3 19 19 0.0028999999999999998 1 0 0 14 0 0.15090000000000001 0.25624599999999997 0.001224 0.0031960000000000001 0.013790999999999999 0.0013129999999999999 0 1 1 8 0.0068439882711387309 1
0 linear 2 0 35.162461 2.3667291596036724 1 61 34.917864000000002 0.011651999999999999 0.20417600000000005 0.007953 0.0010169999999999999 0.0029659999999999999 0.0098499999999999994 0.17179 0.32799899999999999 34.268903999999999 0.084453 3.4e-05 0.041451000000000002 0.001663 0.0037560000000000002 0.13835399999999998 0.029344000000000009 0.0073419999999999996 0 0 0 0 0 0 0 0 0 0 34.834592000000001 34.910651000000001 0.00083100000000000003 0.0055430000000000002 0.012731000000000001 4.6e-05 0 0 0 0 0 0
0 linear 2 7 47.944605000000003 2.4102109454225378 1 61 47.666874999999997 0.012305 0.23899799999999996 0.0054619999999999998 0.00093599999999999998 0.0031510000000000002 0.010068000000000001 0.0098569999999999994 0.318162 47.218125999999998 0.085462999999999997 2.9e-05 0.010396000000000001 0.00158 0.0038949999999999996 0.16882999999999995 0.030315000000000016 0.0086240000000000015 0 1 16 13 0 0 0 0 0 0 47.614237000000003 47.659821000000001 0.001573 0.0057080000000000004 0.012506 5.0000000000000002e-05 0 1 1 8 0.11055858717162853 1
0 linear 2 15 47.931614000000003 2.4659804224859272 1 61 47.638669 0.011472 0.25439599999999996 0.006718 0.00092100000000000005 0.0031740000000000002 0.0099799999999999993 0.0085369999999999994 0.24266699999999999 47.271056999999999 0.084184999999999996 2.8e-05 0.0095309999999999995 0.001482 0.0037209999999999995 0.17526799999999998 0.036305000000000004 0.0092410000000000009 0 2 19 18 0 0 0 0 0 0 47.588363000000001 47.631796999999999 0.001485 0.0053819999999999996 0.011932 3.8000000000000002e-05 0 1 1 8 0.0016090859999255856 1
0 linear 2 23 49.763621999999998 2.5300557252343201 1 61 49.495168 0.011889 0.229962 0.0054889999999999991 0.001018 0.0031050000000000001 0.0099170000000000005 0.0097619999999999998 0.25573400000000002 49.105146000000005 0.090870000000000006 3.1000000000000001e-05 0.0095719999999999989 0.001737 0.0038549999999999999 0.16299899999999998 0.030654999999999995 0.0076660000000000009 0 3 17 16 0 0 0 0 0 0 49.443370999999999 49.488067999999998 0.001475 0.0056109999999999997 0.012539 4.3000000000000002e-05 0 1 1 8 0.0026246619501964687 1
