case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid
0 linear 0 0 50.988565999999999 7.0379226907888537 1 67 49.776510000000002 0.033049000000000002 0.23167600000000002 0.007389999999999999 0.001825 0.0086569999999999998 0.024253 0.18426899999999999 0.338447 48.900294000000002 0.106013 2.9e-05 0.060409999999999998 0.0074790000000000004 0.011287 0.15418699999999999 0.032821999999999983 0.0093900000000000042 0 0 0 0 0 0 0 0 0 0 49.574736999999999 49.741385000000001 0.010052999999999999 0.0078139999999999998 0.016505000000000002 0.00063500000000000004 0.039620000000000002 0 0 0 0 0
0 linear 0 7 49.625248999999997 7.165175685042759 1 83 49.198842999999997 0.013747000000000001 0.36077400000000004 0.0064539999999999997 0.002434 0.0035479999999999999 0.012732 0.019332999999999999 0.36805500000000002 48.620175999999994 0.090271999999999991 2.8e-05 0.017153999999999999 0.0027070000000000002 0.0053029999999999987 0.26121699999999998 0.048008999999999996 0.012288000000000002 0 1 15 15 0 0 0 0 0 0 49.123868000000002 49.185236000000003 0.0031110000000000001 0.0059639999999999997 0.012232 0.00045399999999999998 0.040078999999999997 2 1 16 0.00115407797797932 2
0 linear 0 15 49.606065999999998 7.2540425509600803 1 91 49.196067999999997 0.012052999999999999 0.36409499999999989 0.0080440000000000008 0.0015079999999999998 0.0032239999999999999 0.010066 0.0087320000000000002 0.24751999999999999 48.707391999999999 0.089435000000000001 3.1000000000000001e-05 0.079658000000000007 0.0018129999999999999 0.0039370000000000004 0.26267199999999996 0.050384000000000033 0.011945000000000009 0 2 13 13 0 0 0 0 0 0 49.073976000000002 49.188690000000001 0.001632 0.0055799999999999999 0.012249999999999999 4.6e-05 0.038163999999999997 1 1 8 0.0027134713756958736 1
0 linear 0 23 49.808103000000003 7.2793514851610421 1 91 49.355640999999999 0.0121 0.40537200000000012 0.0082500000000000004 0.0024020000000000001 0.0043189999999999999 0.010071999999999999 0.009051 0.376577 48.766194000000006 0.090003 3.1999999999999999e-05 0.048566999999999992 0.001668 0.00382 0.28613499999999997 0.052151999999999983 0.013081000000000013 0 3 13 13 0 0 0 0 0 0 49.262236000000001 49.348711000000002 0.001609 0.0053220000000000003 0.013629 4.5000000000000003e-05 0.038273000000000001 1 1 8 0.0030160757831446021 1
0 linear 1 0 1.0339100000000001 589.76731831372365 1 105 0.65097899999999997 0.014881 0.30878399999999989 0.0068890000000000002 0.001586 0.0032789999999999998 0.0098440000000000003 0.17403199999999999 0.12525700000000001 0 0.0069329999999999999 0.0014480000000000001 0.25240600000000002 0.0019269999999999999 0.0039789999999999999 0.16041199999999997 0.078031000000000045 0.017416000000000008 0 0 0 0 0.0041520000000000003 1 0 0 14 0 0.34675600000000001 0.64246400000000004 0.0010870000000000001 0.00348 0.015993999999999998 0.003558 0.031616999999999999 0 0 0 0 0
0 linear 1 7 0.71073200000000003 593.09247526628167 1 105 0.34092099999999997 0.013448 0.32707200000000003 0.006411 0.0015460000000000001 0.0030249999999999999 0.0094579999999999994 0.0083379999999999999 0.14246400000000001 0 0.0035929999999999998 0.001054 0.10370699999999999 0.0011969999999999999 0.0037129999999999997 0.17111800000000002 0.076619000000000034 0.017479000000000001 0 1 19 19 0.0030019999999999999 1 0 0 14 0 0.19340499999999999 0.33445000000000003 0.001382 0.0035500000000000002 0.014416 0.0013029999999999999 0.030682999999999998 1 1 8 0.0016863986939356674 1
0 linear 1 15 0.933033 596.53003682974679 1 128 0.43250100000000002 0.013431 0.44105200000000006 0.0075289999999999992 0.0016470000000000002 0.002751 0.0087620000000000007 0.0085509999999999996 0.111203 0 0.0035309999999999999 0.0010319999999999999 0.22503499999999999 0.001142 0.0040470000000000002 0.22684500000000002 0.10214300000000015 0.022867000000000012 0 2 19 19 0.0029350000000000001 1 0 0 14 0 0.16289400000000001 0.42522399999999999 0.001302 0.0034280000000000001 0.015592999999999999 0.001374 0.031491999999999999 1 1 8 0.18679473719266346 1
0 linear 1 23 0.77837500000000004 599.54254534181996 1 128 0.295653 0.013282 0.43662099999999987 0.0069959999999999987 0.0014420000000000001 0.0028960000000000001 0.0086339999999999993 0.0081340000000000006 0.13143199999999999 0 0.0034390000000000002 0.00087500000000000002 0.071604000000000015 0.0011050000000000001 0.0038120000000000003 0.22528100000000001 0.09939200000000005 0.022888000000000023 0 3 19 19 0.0029290000000000002 1 0 0 14 0 0.18184800000000001 0.289414 0.0012669999999999999 0.0034250000000000001 0.014695999999999999 0.001395 0.030921000000000001 1 1 8 0.0068439882711387309 1
0 linear 2 0 35.151715000000003 2.3667291596036724 1 61 34.904532000000003 0.011955 0.20650800000000002 0.0077359999999999998 0.0010860000000000002 0.0032659999999999998 0.0099299999999999996 0.171095 0.32817400000000002 34.220787000000001 0.086074999999999999 3.1999999999999999e-05 0.041457000000000001 0.0017780000000000001 0.0038700000000000006 0.13673699999999997 0.029436000000000004 0.0073620000000000022 0 0 0 0 0 0 0 0 0 0 34.821305000000002 34.897067999999997 0.00091600000000000004 0.0056889999999999996 0.012049000000000001 6.3999999999999997e-05 0.034028000000000003 0 0 0 0 0
0 linear 2 7 47.958640000000003 2.4102109454225378 1 61 47.647961000000002 0.012055 0.27030100000000001 0.0075599999999999999 0.001026 0.003127 0.010251 0.0099129999999999999 0.33644000000000002 47.144053999999997 0.087271999999999988 3.8999999999999999e-05 0.0098639999999999995 0.0015200000000000001 0.0038149999999999998 0.195826 0.031827000000000015 0.0094340000000000014 0 1 16 13 0 0 0 0 0 0 47.594968999999999 47.640887999999997 0.0016850000000000001 0.0057970000000000001 0.013515000000000001 6.7999999999999999e-05 0.034757999999999997 1 1 8 0.11055858717162853 1
