name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,0,1,1.0e-05,1,0,Converged,6.0267740817994939,5.769977e-05,208,208,139,0,0.476865,0.207005,0.020751,0.000019,0.001179,0.018278,0.001163,8,0,0,0,0,0,0,0,208,56,56,0,0,0.204341,0.008884,0.002176,0.505616,6.027232423426514,0,0,4.5576713e-14,8.7047571e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-05,0,0,Converged,6.0267740817994939,5.769977e-05,208,347,0,0,0.617479,0.211749,0.022379,0.000019,0.001193,0.019731,0.001327,8,0,0,0,0,0,0,0,347,56,56,0,0,0.316723,0.009045,0.002123,0.518615,6.027232423426514,0,0,4.5442016e-14,8.7047571e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,1,0,Converged,6.0267740818625253,2.6054181e-06,264,264,192,0,0.527039,0.204772,0.022314,0.000020,0.001172,0.019756,0.001251,8,0,0,0,0,0,0,0,264,56,56,0,0,0.242674,0.013029,0.002608,0.521201,6.027232423426514,0,0,4.554222e-14,8.7047379e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,0,0,Converged,6.0267740818625253,2.6054181e-06,264,456,0,0,0.704394,0.201863,0.021312,0.000019,0.001234,0.018705,0.001245,8,0,0,0,0,0,0,0,456,56,56,0,0,0.394314,0.013277,0.002666,0.509483,6.027232423426514,0,0,4.5404197e-14,8.7047379e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-08,1,0,Converged,6.026774081862742,2.203267e-08,328,328,254,0,0.608307,0.212220,0.020949,0.000018,0.001187,0.018399,0.001248,8,0,0,0,0,0,0,0,328,56,56,0,0,0.301956,0.018086,0.002983,0.507285,6.027232423426514,0,0,4.5653303e-14,8.6679913e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-08,0,0,Converged,6.026774081862742,2.203267e-08,328,582,0,0,0.835326,0.204418,0.021042,0.000019,0.001220,0.018522,0.001184,8,0,0,0,0,0,0,0,582,56,56,0,0,0.497264,0.017776,0.003039,0.509529,6.027232423426514,0,0,4.5637747e-14,8.6679913e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,1,0,1.0e-03,1,0,EventLocationLimited,6.0199516089053375,0.005839888,3219,3219,2948,10,22.579307,0.328046,0.030599,0.000020,0.001747,0.024470,0.003712,8,0,0,0,0,0,0,0,120,0,0,31,0,3.066914,2.839577,0.074549,1.209599,6.0204103664095419,0,0,4.6170159e-14,8.8840111e-15,2.6733956e-15,5.5616784633860261,-17.137986489592233,-10.351485565404818,-4.9880854834523172,1.2384878988089743,2.5764753e-06,3.876119e-06,4.9682973e-06,2.1627251e-06,1.2304252e-06
plan15,0.0,1,0,1.0e-03,0,0,EventLocationLimited,6.0199516089053384,0.005839888,3219,6167,0,10,38.484563,0.349418,0.030193,0.000131,0.001930,0.022547,0.005185,8,0,0,0,0,0,0,0,177,0,0,31,0,5.946204,2.830788,0.063210,1.202869,6.0204103664095419,0,0,4.6013409e-14,8.8840111e-15,2.6733956e-15,5.5616784633862402,-17.137986489591551,-10.351485565404539,-4.9880854834519397,1.2384878988089782,2.5765056e-06,3.8761389e-06,4.9683335e-06,2.162737e-06,1.2304286e-06
plan15,0.0,1,0,1.0e-04,1,0,EventLocationLimited,6.019953359604493,0.00031935832,3219,3219,2948,10,10.048950,0.346248,0.030321,0.000136,0.002318,0.022625,0.004852,8,0,0,0,0,0,0,0,176,0,0,31,0,2.950528,2.804730,0.048488,1.162775,6.0204103664095419,0,0,4.5703128e-14,8.8114434e-15,2.6733963e-15,5.5616784633860261,-17.137986489592233,-10.351485565404818,-4.9880854834523172,1.2384878988089743,2.5764753e-06,3.876119e-06,4.9682973e-06,2.1627251e-06,1.2304252e-06
plan15,0.0,1,0,1.0e-04,0,0,EventLocationLimited,6.0199533596044921,0.00031935832,3219,6167,0,10,16.293662,0.339435,0.029234,0.000190,0.002272,0.021634,0.004853,8,0,0,0,0,0,0,0,285,0,0,31,0,5.561422,2.767429,0.049232,1.204503,6.0204103664095419,0,0,4.5548444e-14,8.8114434e-15,2.6733963e-15,5.5616784633862402,-17.137986489591551,-10.351485565404539,-4.9880854834519397,1.2384878988089782,2.5765056e-06,3.8761389e-06,4.9683335e-06,2.162737e-06,1.2304286e-06
