name,u,rtol,stop,component,Q,budget,error,radial,inner,geometry,event,roundoff,nodes
plan15,0.5,0.001,TopologyUnresolved,1,7.3097580436538454,0.00730975804,1.75340053e-06,6.95578843e-07,5.60234756e-08,6.07970651e-10,1.00119023e-06,1.21631531e-14,2236
plan15,0.5,0.001,TopologyUnresolved,2,-17.352260795200259,0.0173522608,2.82479603e-06,1.50264051e-06,2.26105354e-07,4.5562718e-10,1.09559451e-06,2.06803524e-14,2236
plan15,0.5,0.001,TopologyUnresolved,3,-11.441453834806405,0.0114414538,3.21676766e-06,1.39037969e-06,2.8932546e-07,7.65568404e-10,1.53629687e-06,7.43451516e-14,2236
plan15,0.5,0.001,TopologyUnresolved,4,-5.4831820637373294,0.00548318206,1.51994913e-06,7.2278162e-07,8.04893627e-08,7.19902617e-10,7.15958235e-07,1.07879257e-14,2236
plan15,0.5,0.001,TopologyUnresolved,5,1.3006760642810558,0.00130067606,6.90389524e-07,1.28665075e-07,3.42435066e-08,2.05013569e-09,5.25430801e-07,5.63373458e-15,2236
plan15,0.5,0.0001,TopologyUnresolved,0,6.1205016288542389,0.000612050163,0.000424651965,0.000424650945,1.01997096e-09,5.51545681e-14,7.83678448e-15,2.71804873e-15,2236
plan15,0.5,0.0001,TopologyUnresolved,1,7.3097580436538454,0.000730975804,1.75340053e-06,6.95578843e-07,5.60234756e-08,6.07970651e-10,1.00119023e-06,1.21631531e-14,2236
plan15,0.5,0.0001,TopologyUnresolved,2,-17.352260795200259,0.00173522608,2.82479603e-06,1.50264051e-06,2.26105354e-07,4.5562718e-10,1.09559451e-06,2.06803524e-14,2236
plan15,0.5,0.0001,TopologyUnresolved,3,-11.441453834806405,0.00114414538,3.21676766e-06,1.39037969e-06,2.8932546e-07,7.65568404e-10,1.53629687e-06,7.43451516e-14,2236
plan15,0.5,0.0001,TopologyUnresolved,4,-5.4831820637373294,0.000548318206,1.51994913e-06,7.2278162e-07,8.04893627e-08,7.19902617e-10,7.15958235e-07,1.07879257e-14,2236
plan15,0.5,0.0001,TopologyUnresolved,5,1.3006760642810558,0.000130067606,6.90389524e-07,1.28665075e-07,3.42435066e-08,2.05013569e-09,5.25430801e-07,5.63373458e-15,2236
plan15,0.5,1e-05,TopologyUnresolved,0,6.1205016227633129,6.12050162e-05,2.15178433e-05,2.15167678e-05,1.07543817e-09,5.49923668e-14,7.78253177e-15,2.71804873e-15,2236
plan15,0.5,1e-05,TopologyUnresolved,1,7.3097580436538454,7.30975804e-05,1.75340053e-06,6.95578843e-07,5.60234756e-08,6.07970651e-10,1.00119023e-06,1.21631531e-14,2236
plan15,0.5,1e-05,TopologyUnresolved,2,-17.352260795200259,0.000173522608,2.82479603e-06,1.50264051e-06,2.26105354e-07,4.5562718e-10,1.09559451e-06,2.06803524e-14,2236
plan15,0.5,1e-05,TopologyUnresolved,3,-11.441453834806405,0.000114414538,3.21676766e-06,1.39037969e-06,2.8932546e-07,7.65568404e-10,1.53629687e-06,7.43451516e-14,2236
plan15,0.5,1e-05,TopologyUnresolved,4,-5.4831820637373294,5.48318206e-05,1.51994913e-06,7.2278162e-07,8.04893627e-08,7.19902617e-10,7.15958235e-07,1.07879257e-14,2236
plan15,0.5,1e-05,TopologyUnresolved,5,1.3006760642810558,1.30067606e-05,6.90389524e-07,1.28665075e-07,3.42435066e-08,2.05013569e-09,5.25430801e-07,5.63373458e-15,2236
plan15,0.5,1e-06,TopologyUnresolved,0,6.1205016227777014,6.12050162e-06,5.80467026e-06,5.80350525e-06,1.16494934e-09,5.49074067e-14,7.78251012e-15,2.71804873e-15,2236
plan15,0.5,1e-06,TopologyUnresolved,1,7.3097580436538454,7.30975804e-06,1.75340053e-06,6.95578843e-07,5.60234756e-08,6.07970651e-10,1.00119023e-06,1.21631531e-14,2236
plan15,0.5,1e-06,TopologyUnresolved,2,-17.352260795200259,1.73522608e-05,2.82479603e-06,1.50264051e-06,2.26105354e-07,4.5562718e-10,1.09559451e-06,2.06803524e-14,2236
plan15,0.5,1e-06,TopologyUnresolved,3,-11.441453834806405,1.14414538e-05,3.21676766e-06,1.39037969e-06,2.8932546e-07,7.65568404e-10,1.53629687e-06,7.43451516e-14,2236
plan15,0.5,1e-06,TopologyUnresolved,4,-5.4831820637373294,5.48318206e-06,1.51994913e-06,7.2278162e-07,8.04893627e-08,7.19902617e-10,7.15958235e-07,1.07879257e-14,2236
plan15,0.5,1e-06,TopologyUnresolved,5,1.3006760642810558,1.30067606e-06,6.90389524e-07,1.28665075e-07,3.42435066e-08,2.05013569e-09,5.25430801e-07,5.63373458e-15,2236
plan15,0.5,1e-08,EventLocationLimited,0,6.1205016227172315,6.12050162e-08,3.60303639e-08,3.46908164e-08,1.33948223e-09,5.48283376e-14,7.76021772e-15,2.71804873e-15,344
plan15,0.5,1e-08,EventLocationLimited,1,7.3097580436847327,1e-06,1.55096339e-06,4.91820745e-07,5.63639965e-08,7.09337417e-11,1.0027077e-06,1.2163869e-14,344
plan15,0.5,1e-08,EventLocationLimited,2,-17.352260795223096,1e-06,2.36049147e-06,1.03699357e-06,2.2713386e-07,7.53301375e-11,1.09628869e-06,2.0679838e-14,344
plan15,0.5,1e-08,EventLocationLimited,3,-11.441453834847328,1e-06,2.84293036e-06,1.01373027e-06,2.91117206e-07,1.07313537e-10,1.53797549e-06,7.43448642e-14,344
plan15,0.5,1e-08,EventLocationLimited,4,-5.4831820636967556,1e-06,1.4252933e-06,6.26423568e-07,8.08843012e-08,4.07860002e-11,7.17944636e-07,1.07889234e-14,344
plan15,0.5,1e-08,EventLocationLimited,5,1.3006760643999606,1e-06,9.64789213e-07,4.01839413e-07,3.42533984e-08,1.9182667e-11,5.28677214e-07,5.63356632e-15,344
resonant,0,0.001,EventLocationLimited,0,13.730120074185391,0.0137301201,0.0108194838,0.0108194838,0,1.68377885e-13,2.14985109e-13,6.09739817e-15,3536
resonant,0,0.001,EventLocationLimited,1,155.52847183759783,0.155528472,2.87717606e-05,5.30050771e-06,0,2.62557621e-07,2.32086952e-05,1.22220934e-13,3536
resonant,0,0.001,EventLocationLimited,2,-93.344503167417017,0.0933445032,4.08776233e-05,6.39041584e-06,0,3.76464509e-08,3.44495609e-05,9.31736796e-14,3536
resonant,0,0.001,EventLocationLimited,3,-97.151214174964508,0.0971512142,6.03829104e-05,1.33701573e-05,0,2.67271905e-07,4.67454807e-05,4.39109709e-13,3536
resonant,0,0.001,EventLocationLimited,4,-42.286494796796092,0.0422864948,1.96102736e-05,3.0898024e-06,0,3.11603229e-07,1.62088679e-05,5.41205872e-14,3536
resonant,0,0.001,EventLocationLimited,5,-2.8705636326938491,0.00287056363,7.82834527e-06,1.8156208e-06,0,4.73377853e-07,5.5393466e-06,1.78756087e-14,3536
resonant,0,0.0001,EventLocationLimited,0,13.730116144653453,0.00137301161,0.00071444952,0.000714449519,0,1.68139215e-13,2.14790174e-13,6.09739643e-15,3536
resonant,0,0.0001,EventLocationLimited,1,155.52847183759783,0.0155528472,2.87717606e-05,5.30050771e-06,0,2.62557621e-07,2.32086952e-05,1.22220934e-13,3536
resonant,0,0.0001,EventLocationLimited,2,-93.344503167417017,0.00933445032,4.08776233e-05,6.39041584e-06,0,3.76464509e-08,3.44495609e-05,9.31736796e-14,3536
resonant,0,0.0001,EventLocationLimited,3,-97.151214174964508,0.00971512142,6.03829104e-05,1.33701573e-05,0,2.67271905e-07,4.67454807e-05,4.39109709e-13,3536
resonant,0,0.0001,EventLocationLimited,4,-42.286494796796092,0.00422864948,1.96102736e-05,3.0898024e-06,0,3.11603229e-07,1.62088679e-05,5.41205872e-14,3536
resonant,0,0.0001,EventLocationLimited,5,-2.8705636326938491,0.000287056363,7.82834527e-06,1.8156208e-06,0,4.73377853e-07,5.5393466e-06,1.78756087e-14,3536
resonant,0,1e-05,EventLocationLimited,0,13.730115998776759,0.00013730116,0.000128320681,0.00012832068,0,1.68715374e-13,2.14563603e-13,6.09739637e-15,3536
resonant,0,1e-05,EventLocationLimited,1,155.52847183759783,0.00155528472,2.87717606e-05,5.30050771e-06,0,2.62557621e-07,2.32086952e-05,1.22220934e-13,3536
resonant,0,1e-05,EventLocationLimited,2,-93.344503167417017,0.000933445032,4.08776233e-05,6.39041584e-06,0,3.76464509e-08,3.44495609e-05,9.31736796e-14,3536
resonant,0,1e-05,EventLocationLimited,3,-97.151214174964508,0.000971512142,6.03829104e-05,1.33701573e-05,0,2.67271905e-07,4.67454807e-05,4.39109709e-13,3536
resonant,0,1e-05,EventLocationLimited,4,-42.286494796796092,0.000422864948,1.96102736e-05,3.0898024e-06,0,3.11603229e-07,1.62088679e-05,5.41205872e-14,3536
resonant,0,1e-05,EventLocationLimited,5,-2.8705636326938491,2.87056363e-05,7.82834527e-06,1.8156208e-06,0,4.73377853e-07,5.5393466e-06,1.78756087e-14,3536
resonant,0,1e-06,EventLocationLimited,0,13.730115998934352,1.3730116e-05,3.13270182e-06,3.13270143e-06,0,1.66442949e-13,2.14530756e-13,6.09739637e-15,351
resonant,0,1e-06,EventLocationLimited,1,155.52847192279543,0.000155528472,4.58432753e-05,2.2627897e-05,0,1.24135472e-09,2.32141369e-05,1.22217522e-13,351
resonant,0,1e-06,EventLocationLimited,2,-93.34450317874645,9.33445032e-05,5.37766127e-05,1.9357899e-05,0,4.79602925e-09,3.44139176e-05,9.31735116e-14,351
resonant,0,1e-06,EventLocationLimited,3,-97.151214262349512,9.71512143e-05,7.85635997e-05,3.18377008e-05,0,5.24880854e-09,4.67206497e-05,4.39111003e-13,351
resonant,0,1e-06,EventLocationLimited,4,-42.286494694519781,4.22864947e-05,2.71905458e-05,1.10210964e-05,0,1.79793193e-09,1.61676514e-05,5.41165966e-14,351
resonant,0,1e-06,EventLocationLimited,5,-2.8705634762157572,2.87056348e-06,7.47049626e-06,1.9745523e-06,0,4.25110211e-10,5.49551883e-06,1.78806196e-14,351
resonant,0,1e-08,EventLocationLimited,0,13.730115998899567,1.3730116e-07,8.40473434e-08,8.40469565e-08,0,1.66204848e-13,2.14531415e-13,6.09739637e-15,351
resonant,0,1e-08,EventLocationLimited,1,155.52847192279543,1.55528472e-06,4.58432753e-05,2.2627897e-05,0,1.24135472e-09,2.32141369e-05,1.22217522e-13,351
resonant,0,1e-08,EventLocationLimited,2,-93.34450317874645,1e-06,5.37766127e-05,1.9357899e-05,0,4.79602925e-09,3.44139176e-05,9.31735116e-14,351
resonant,0,1e-08,EventLocationLimited,3,-97.151214262349512,1e-06,7.85635997e-05,3.18377008e-05,0,5.24880854e-09,4.67206497e-05,4.39111003e-13,351
resonant,0,1e-08,EventLocationLimited,4,-42.286494694519781,1e-06,2.71905458e-05,1.10210964e-05,0,1.79793193e-09,1.61676514e-05,5.41165966e-14,351
resonant,0,1e-08,EventLocationLimited,5,-2.8705634762157572,1e-06,7.47049626e-06,1.9745523e-06,0,4.25110211e-10,5.49551883e-06,1.78806196e-14,351
resonant,0.5,0.001,Converged,0,13.877484232546381,0.0138774842,0.0128503658,0.0128502971,6.86478971e-08,1.97605136e-13,2.04014305e-13,6.16284101e-15,10427
resonant,0.5,0.001,Converged,1,166.71135954069845,0.16671136,0.00621797267,0.000297268207,0.00590670713,1.74623009e-09,1.3995587e-05,1.2245231e-13,10427
resonant,0.5,0.001,Converged,2,-122.31932763721663,0.122319328,0.00845249246,0.000214810554,0.00821701311,9.9594096e-09,2.06588329e-05,1.10220326e-13,10427
resonant,0.5,0.001,Converged,3,-85.564484225129689,0.0855644842,0.0103181749,0.000602762153,0.00968730242,1.03055787e-08,2.80999802e-05,4.32299506e-13,10427
resonant,0.5,0.001,Converged,4,-44.316873265969434,0.0443168733,0.00309489905,0.000112149455,0.0029730205,3.47691858e-09,9.72562339e-06,5.79013295e-14,10427
resonant,0.5,0.001,Converged,5,-2.9008846132790471,0.00290088461,0.000639444252,2.27602137e-05,0.000613365244,7.14026047e-10,3.31808027e-06,1.88406257e-14,10427
resonant,0.5,0.0001,InnerAccuracyLimited,0,13.877481553095596,0.00138774816,0.00138595502,0.00138587835,7.66691282e-08,2.01185089e-13,2.03724654e-13,6.16283982e-15,351
resonant,0.5,0.0001,InnerAccuracyLimited,1,166.71135115793999,0.0166711351,0.0173462054,0.0114258633,0.00590629204,7.44882588e-10,1.40492997e-05,1.22451329e-13,351
resonant,0.5,0.0001,InnerAccuracyLimited,2,-122.31934038421828,0.012231934,0.0130472879,0.00479772858,0.00822878301,2.87763084e-09,2.07734866e-05,1.10220332e-13,351
resonant,0.5,0.0001,InnerAccuracyLimited,3,-85.564469649825213,0.00855644696,0.0229808212,0.0132632459,0.00968939472,3.15334915e-09,2.81774075e-05,4.32293689e-13,351
resonant,0.5,0.0001,InnerAccuracyLimited,4,-44.316878049327478,0.0044316878,0.00666125981,0.00367326192,0.00297822048,1.07877859e-09,9.7763288e-06,5.78985406e-14,351
resonant,0.5,0.0001,InnerAccuracyLimited,5,-2.900885603239169,0.00029008856,0.00145435564,0.0008369783,0.000614049347,2.55070657e-10,3.32774113e-06,1.88404115e-14,351
resonant,0.5,1e-05,InnerAccuracyLimited,0,13.87748142586519,0.000138774814,9.86054728e-05,9.85288033e-05,7.66691387e-08,2.01175483e-13,2.03712021e-13,6.16283976e-15,255
resonant,0.5,1e-05,InnerAccuracyLimited,1,166.71136360757131,0.00166711364,0.0303250742,0.0244171915,0.00589381026,6.24168803e-10,1.40718463e-05,1.22454899e-13,255
resonant,0.5,1e-05,InnerAccuracyLimited,2,-122.31932038490488,0.0012231932,0.0326411766,0.0243748418,0.00824549367,2.31299049e-09,2.08388937e-05,1.10213439e-13,255
resonant,0.5,1e-05,InnerAccuracyLimited,3,-85.564493200412315,0.000855644932,0.0450889149,0.0354332885,0.00962738868,2.5760209e-09,2.82351496e-05,4.3230582e-13,255
resonant,0.5,1e-05,InnerAccuracyLimited,4,-44.316870806379768,0.000443168708,0.0137203854,0.0107455749,0.00296500871,8.72150733e-10,9.80090156e-06,5.78957629e-14,255
resonant,0.5,1e-05,InnerAccuracyLimited,5,-2.9008841099059208,2.90088411e-05,0.00290767077,0.00229353823,0.000610799671,2.06851606e-10,3.33265801e-06,1.88411424e-14,255
resonant,0.5,1e-06,InnerAccuracyLimited,0,13.8774814244188,1.38774814e-05,6.9405254e-06,6.86482e-06,7.57049856e-08,1.99731539e-13,2.03712505e-13,6.16283976e-15,287
resonant,0.5,1e-06,InnerAccuracyLimited,1,166.71136351754612,0.000166711364,0.0225175831,0.0166097652,0.00589374779,7.44882945e-10,1.40693867e-05,1.22449086e-13,287
resonant,0.5,1e-06,InnerAccuracyLimited,2,-122.31932052196998,0.000122319321,0.0213869874,0.0131206932,0.00824546406,2.87763181e-09,2.08273078e-05,1.10220323e-13,287
resonant,0.5,1e-06,InnerAccuracyLimited,3,-85.564493043909096,8.5564493e-05,0.0327242332,0.0230687357,0.00962727105,3.1533468e-09,2.82233373e-05,4.32294729e-13,287
resonant,0.5,1e-06,InnerAccuracyLimited,4,-44.316870855802748,4.43168709e-05,0.00966300948,0.00668823416,0.00296497758,1.07877879e-09,9.79665709e-06,5.78957629e-14,287
resonant,0.5,1e-06,InnerAccuracyLimited,5,-2.9008841200922775,2.90088412e-06,0.00207274219,0.00145861693,0.000610793339,2.55070732e-10,3.3316681e-06,1.88411424e-14,287
resonant,0.5,1e-08,InnerAccuracyLimited,0,13.877481424397956,1.38774814e-07,1.34401336e-07,5.86959421e-08,7.57049845e-08,1.99745513e-13,2.03629226e-13,6.16283976e-15,327
resonant,0.5,1e-08,InnerAccuracyLimited,1,166.71136401542074,1.66711364e-06,0.0123677044,0.00645995608,0.0058937477,1.91174591e-09,1.39987529e-05,1.22449086e-13,327
resonant,0.5,1e-08,InnerAccuracyLimited,2,-122.31932063635058,1.22319321e-06,0.0185176228,0.0102513692,0.00824546404,3.14552547e-09,2.07864442e-05,1.10220323e-13,327
resonant,0.5,1e-08,InnerAccuracyLimited,3,-85.564492532065572,1e-06,0.0218062156,0.0121507603,0.00962727096,4.3505675e-09,2.81800099e-05,4.32296319e-13,327
resonant,0.5,1e-08,InnerAccuracyLimited,4,-44.316870715987911,1e-06,0.00670720534,0.00373245671,0.00296497755,1.40658516e-09,9.7696661e-06,5.7895763e-14,327
resonant,0.5,1e-08,InnerAccuracyLimited,5,-2.9008840871117947,1e-06,0.00138457943,0.000770459579,0.000610793333,3.3240852e-10,3.32618209e-06,1.88411424e-14,327
close-binary,0,0.001,EventLocationLimited,0,8.1331861615733274,0.00813318616,0.00748809419,0.00748809419,0,1.08142962e-13,5.44970328e-14,3.61186022e-15,3322
close-binary,0,0.001,EventLocationLimited,1,-50.834954218374733,0.0508349542,9.34447688e-06,1.8945638e-06,0,5.86235716e-07,6.86367732e-06,5.12953541e-14,3322
close-binary,0,0.001,EventLocationLimited,2,40.750227536761464,0.0407502275,3.50770995e-06,9.54456494e-07,0,2.79649259e-07,2.27360418e-06,1.87995547e-14,3322
close-binary,0,0.001,EventLocationLimited,3,-11.05939042330834,0.0110593904,1.10624748e-05,2.99206072e-06,0,6.49539721e-07,7.4208742e-06,1.42053677e-13,3322
close-binary,0,0.001,EventLocationLimited,4,8.2684281621653692,0.00826842816,1.33619922e-06,2.37349271e-07,0,7.36261557e-08,1.02522379e-06,6.42835834e-15,3322
close-binary,0,0.001,EventLocationLimited,5,33.087478125874227,0.0330874781,4.97090842e-06,9.50048694e-07,0,3.04096738e-07,3.71676297e-06,2.40834637e-14,3322
close-binary,0,0.0001,EventLocationLimited,0,8.1331871350959766,0.000813318714,0.000344274163,0.000344274163,0,1.06956654e-13,5.43860107e-14,3.61186065e-15,3322
close-binary,0,0.0001,EventLocationLimited,1,-50.834954218374733,0.00508349542,9.34447688e-06,1.8945638e-06,0,5.86235716e-07,6.86367732e-06,5.12953541e-14,3322
close-binary,0,0.0001,EventLocationLimited,2,40.750227536761464,0.00407502275,3.50770995e-06,9.54456494e-07,0,2.79649259e-07,2.27360418e-06,1.87995547e-14,3322
close-binary,0,0.0001,EventLocationLimited,3,-11.05939042330834,0.00110593904,1.10624748e-05,2.99206072e-06,0,6.49539721e-07,7.4208742e-06,1.42053677e-13,3322
close-binary,0,0.0001,EventLocationLimited,4,8.2684281621653692,0.000826842816,1.33619922e-06,2.37349271e-07,0,7.36261557e-08,1.02522379e-06,6.42835834e-15,3322
close-binary,0,0.0001,EventLocationLimited,5,33.087478125874227,0.00330874781,4.97090842e-06,9.50048694e-07,0,3.04096738e-07,3.71676297e-06,2.40834637e-14,3322
close-binary,0,1e-05,EventLocationLimited,0,8.133187125232892,8.13318713e-05,5.64457211e-05,5.6445721e-05,0,1.07147661e-13,5.43442761e-14,3.61186064e-15,3322
close-binary,0,1e-05,EventLocationLimited,1,-50.834954218374733,0.000508349542,9.34447688e-06,1.8945638e-06,0,5.86235716e-07,6.86367732e-06,5.12953541e-14,3322
close-binary,0,1e-05,EventLocationLimited,2,40.750227536761464,0.000407502275,3.50770995e-06,9.54456494e-07,0,2.79649259e-07,2.27360418e-06,1.87995547e-14,3322
close-binary,0,1e-05,EventLocationLimited,3,-11.05939042330834,0.000110593904,1.10624748e-05,2.99206072e-06,0,6.49539721e-07,7.4208742e-06,1.42053677e-13,3322
close-binary,0,1e-05,EventLocationLimited,4,8.2684281621653692,8.26842816e-05,1.33619922e-06,2.37349271e-07,0,7.36261557e-08,1.02522379e-06,6.42835834e-15,3322
