name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
plan15,0.5,Strict,0,1.0e-03,0,TopologyUnresolved,Converged,Converged,1,6.1205006645589846,0.0043222585,10.313872,0.325483,0.023902,0.000018,0.001475,0.020137,0.002163,2236,2236,8,0,0,0,0,0,0,0,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,Strict,0,1.0e-04,0,TopologyUnresolved,Converged,Converged,1,6.1205016288542389,0.00042465197,7.422947,0.364646,0.026955,0.000043,0.001839,0.022412,0.002508,2236,2236,8,0,0,0,0,0,0,0,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,Strict,1,1.0e-03,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.129454459435534,0.0043589451,8.263938,0.242622,0.025421,0.000043,0.001608,0.021266,0.002323,2284,2284,8,0,0,0,0,0,0,0,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,Strict,1,1.0e-04,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.1294554772635719,0.00044604833,8.041817,0.240456,0.024780,0.000050,0.001462,0.021232,0.001897,2284,2284,8,0,0,0,0,0,0,0,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.1205006645589846,0.0043222585,0.872562,0.350009,0.028210,0.000044,0.002359,0.020349,0.005311,176,176,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.5,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.1205016288542389,0.00042465197,0.925676,0.335657,0.022014,0.000027,0.001322,0.019081,0.001489,216,216,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.5,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.129454459435534,0.0043589451,0.669006,0.222842,0.021948,0.000022,0.001291,0.019018,0.001500,176,176,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.5,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.1294554772635719,0.00044604833,0.823179,0.217464,0.021619,0.000026,0.001411,0.018836,0.001235,232,232,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.0,None,0,1.0e-03,0,Converged,Converged,Converged,1,13.730120074185391,0.010819484,0.689571,0.457336,0.026696,0.000026,0.002143,0.020180,0.004231,119,119,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.0,None,0,1.0e-04,0,Converged,Converged,Converged,1,13.730116144653453,0.00071444952,0.717485,0.448370,0.022566,0.000024,0.001354,0.019356,0.001733,151,151,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
