repeat method points cycles ns_per_correction nonfinite
0 0 2082 32 433.26268311719502 0
0 1 2082 32 365.26762127761765 0
1 1 2082 32 365.71550792507202 0
1 0 2082 32 433.20072346301635 0
2 0 2082 32 433.09456051873201 0
2 1 2082 32 365.57191102305478 0
3 1 2082 32 366.14991594620557 0
3 0 2082 32 433.67543227665703 0
4 0 2082 32 433.14386707492798 0
4 1 2082 32 365.44562019692603 0
5 1 2082 32 366.01699087415949 0
5 0 2082 32 432.9922400336215 0
6 0 2082 32 433.50517831412105 0
6 1 2082 32 366.05790706051874 0
7 1 2082 32 365.42442663304513 0
7 0 2082 32 433.39794968780018 0
