case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid
0 linear 0 0 54.430522000000003 7.0379226907888537 1 67 53.200091999999998 0.034602000000000001 0.23407300000000003 0.0070390000000000001 0.0015229999999999998 0.0095069999999999998 0.018804000000000001 0.20133799999999999 0.27907300000000002 52.352602999999995 0.11355299999999999 2.5999999999999998e-05 0.061948000000000003 0.009724 0.012239999999999997 0.15571299999999996 0.032727000000000006 0.0096880000000000039 0 0 0 0 0 0 0 0 0 0 52.992795000000001 53.169843 0.011339999999999999 0.012154999999999999 0.015058999999999999 0.00069800000000000005 0.043347999999999998 0 0 0 0 0
0 linear 0 7 49.512253999999999 7.165175685042759 1 83 49.088653999999998 0.015886000000000001 0.35903000000000002 0.0063010000000000002 0.0019599999999999999 0.0069569999999999996 0.020178999999999999 0.020573999999999999 0.25540600000000002 48.604543 0.092476000000000003 0.00030600000000000001 0.016360999999999997 0.0043020000000000003 0.0047609999999999996 0.25810900000000009 0.049910000000000003 0.011533000000000002 0 1 15 15 0 0 0 0 0 0 49.002724000000001 49.074942 0.0047939999999999997 0.0072269999999999999 0.012406000000000002 0.00041199999999999999 0.039940999999999997 2 1 16 0.00115407797797932 2
0 linear 0 15 49.694172999999999 7.2540425509600803 1 91 49.284554999999997 0.01201 0.36587200000000003 0.0073169999999999997 0.001611 0.0032550000000000001 0.010154 0.0097890000000000008 0.256573 48.784960999999996 0.090367000000000003 2.6999999999999999e-05 0.079531999999999992 0.001916 0.0037290000000000001 0.25896099999999994 0.05420400000000003 0.012356000000000009 0 2 13 13 0 0 0 0 0 0 49.163026000000002 49.277838000000003 0.0016540000000000001 0.0053379999999999999 0.012418 6.0000000000000002e-05 0.03841 1 1 8 0.0027134713756958736 1
0 linear 0 23 49.794727000000002 7.2793514851610421 1 91 49.345260000000003 0.011887999999999999 0.40547099999999986 0.0086 0.0020239999999999998 0.0043620000000000004 0.010165 0.010022 0.26066600000000001 48.871363000000002 0.090962999999999988 2.6999999999999999e-05 0.048668999999999997 0.0017910000000000001 0.0037339999999999995 0.28416599999999997 0.053574999999999977 0.013908999999999999 0 3 13 13 0 0 0 0 0 0 49.253816999999998 49.338583 0.0016130000000000001 0.0052810000000000001 0.012240000000000001 4.6999999999999997e-05 0.038778 1 1 8 0.0030160757831446021 1
0 linear 1 0 1.0381180000000001 589.76731831372365 1 105 0.65503299999999998 0.013542999999999999 0.31555000000000011 0.0070740000000000004 0.0016400000000000002 0.0032529999999999998 0.0097509999999999993 0.17893400000000001 0.12422900000000001 0 0.0091739999999999999 0.0014339999999999999 0.25101600000000002 0.0017619999999999999 0.0040760000000000006 0.16280799999999993 0.082367000000000037 0.017464000000000025 0 0 0 0 0.0046499999999999996 1 0 0 14 0 0.35305300000000001 0.64648700000000003 0.0010839999999999999 0.0038240000000000001 0.015610999999999998 0.003313 0.031372999999999998 0 0 0 0 0
0 linear 1 7 0.70678700000000005 593.09247526628167 1 105 0.33998899999999999 0.013532000000000001 0.32488899999999998 0.0063009999999999993 0.001516 0.0030079999999999998 0.0091929999999999998 0.0083359999999999997 0.14147699999999999 0 0.0036129999999999999 0.0010759999999999999 0.103764 0.0011429999999999999 0.0037040000000000003 0.16915800000000009 0.07642300000000006 0.017539000000000006 0 1 19 19 0.0029880000000000002 1 0 0 14 0 0.19237399999999999 0.333538 0.0014499999999999999 0.003398 0.014724000000000001 0.001291 0.030619 1 1 8 0.0016863986939356674 1
0 linear 1 15 0.93516299999999997 596.53003682974679 1 128 0.43248900000000001 0.013303000000000001 0.440861 0.007528 0.0018519999999999999 0.002712 0.0087510000000000001 0.0082470000000000009 0.111941 0 0.0035950000000000001 0.001008 0.22773399999999999 0.0011100000000000001 0.0037549999999999997 0.22679700000000003 0.10164500000000005 0.022834000000000007 0 2 19 19 0.0029650000000000002 1 0 0 14 0 0.16303400000000001 0.42588999999999999 0.001392 0.0031380000000000002 0.014177 0.0012669999999999999 0.031357000000000003 1 1 8 0.18679473719266346 1
0 linear 1 23 0.800145 599.54254534181996 1 128 0.30952099999999999 0.014912 0.43842700000000001 0.007986 0.0017730000000000001 0.0041710000000000002 0.010178 0.0085769999999999996 0.13195999999999999 0 0.0040010000000000002 0.001188 0.072096000000000007 0.0019859999999999999 0.0042880000000000001 0.22431400000000004 0.100078 0.022872000000000021 0 3 19 19 0.0030430000000000001 1 0 0 14 0 0.186589 0.301458 0.001892 0.003771 0.014732 0.0018450000000000001 0.031586999999999997 1 1 8 0.0068439882711387309 1
0 linear 2 0 35.034520000000001 2.3667291596036724 1 61 34.790531000000001 0.011592 0.20473100000000005 0.0071120000000000003 0.0013599999999999999 0.0031679999999999998 0.010068000000000001 0.17352699999999999 0.24800900000000001 34.182056000000003 0.085639999999999994 2.6999999999999999e-05 0.041285999999999996 0.0023110000000000001 0.0039000000000000003 0.13826799999999997 0.02955000000000001 0.008202000000000001 0 0 0 0 0 0 0 0 0 0 34.704067000000002 34.780484000000001 0.000892 0.0053740000000000003 0.011952000000000001 6.2000000000000003e-05 0.033590000000000002 0 0 0 0 0
0 linear 2 7 47.747036999999999 2.4102109454225378 1 61 47.442112000000002 0.011781 0.26482200000000006 0.0073990000000000011 0.0010399999999999999 0.0031510000000000002 0.0099950000000000004 0.0099019999999999993 0.26949000000000001 47.011495000000004 0.084437999999999999 2.5999999999999998e-05 0.0098250000000000004 0.0016299999999999999 0.003872 0.1908 0.032685000000000006 0.0081919999999999979 0 1 16 13 0 0 0 0 0 0 47.390912999999998 47.435214000000002 0.0016869999999999999 0.0054819999999999999 0.012109 4.1999999999999998e-05 0.033217999999999998 1 1 8 0.11055858717162853 1
