case_id configuration_id profile d_bin_index epoch_index rep lane root_index source_root_index role role_hint physical_real v_re v_im final_v_re final_v_im d14real_updates cluster_id double_seed_index double_seed_v_re double_seed_v_im double_seed_valid expanded_seed_source_index expanded_seed_displacement expanded_seed_match_valid cluster_size freeze_count reactivation_count d14real_newton d14real_nearest_sep d14real_rel_correction d14real_position_error qf_escalated qf_source_match_valid qf_displacement qf_displacement_valid qf_newton qf_nearest_sep qf_position_error qf_expanded_relative_residual
64 64 linear 0 0 0 cold 0 -1 2 0 -1 3.5655217996643001 -1.2151516137714178 3.5655217996643001 -1.2151516137714178 0 -1 0 3.5655217996642992 -1.2151516137714213 1 0 3.7000799159457133e-15 1 1 0 0 0 0 0 0 0 0 0 0 1.2577042173057064e-31 2.4303032275428356 3.3303277295332409e-32 7.5411083089031451e-27
64 64 linear 0 0 0 cold 1 -1 1 0 1 17.872370293060641 1.4412602974768725e-74 17.872370293060641 1.4412602974768725e-74 0 -1 1 17.872370293067956 8.8654939726672789e-29 1 1 7.3151860685057769e-12 1 1 0 0 0 0 0 0 0 0 0 0 2.6597151992897607e-28 0.002229988511742457 3.1456765332091956e-29 8.5743136530980236e-20
64 64 linear 0 0 0 cold 2 -1 1 0 1 17.870140304548897 1.4445934024886706e-74 17.870140304548897 1.4445934024886706e-74 0 -1 2 17.87014030454128 5.7621328811825715e-30 1 2 7.6177984730843951e-12 1 1 0 0 0 0 0 0 0 0 0 0 1.5922921528302443e-27 0.002229988511742457 1.8833402062747915e-28 5.1251954949192206e-19
64 64 linear 0 0 0 cold 3 -1 2 0 -1 3.5655217996643001 1.2151516137714178 3.5655217996643001 1.2151516137714178 0 -1 3 3.5655217996643001 1.2151516137714204 1 3 2.6877672510645272e-15 1 1 0 0 0 0 0 0 0 0 0 0 1.2577042173057064e-31 2.4303032275428356 3.3303277295332409e-32 7.5411083089031451e-27
64 64 linear 0 0 0 cold 4 -1 1 0 1 0.0080430445684982841 2.2981336283403269e-60 0.0080430445684982841 2.2981336283403269e-60 0 -1 4 0.0080430229050926921 7.1607565024398303e-16 1 4 2.1663405591207749e-08 1 1 0 0 0 0 0 0 0 0 0 0 1.1280772610823485e-24 3.359182336769878e-05 6.2892464290739872e-24 8.5112288987145714e-52
64 64 linear 0 0 0 cold 5 -1 1 0 1 0.0080094527451305842 4.6964954392410727e-63 0.0080094527451305842 4.6964954392410727e-63 0 -1 5 0.0080094655604101197 4.3021112072106697e-15 1 5 1.281527953512825e-08 1 1 0 0 0 0 0 0 0 0 0 0 1.1361733913325705e-24 3.359182336769878e-05 6.3476532784668966e-24 7.1375338164742922e-52
64 64 linear 0 0 0 cold 6 -1 2 0 -1 0.0066164855082451865 4.5444445392301376e-05 0.0066164855082451865 4.5444445392301376e-05 0 -1 6 0.0067512279151126656 8.4305030129558557e-05 1 7 0.00014820562353110671 0 1 0 0 0 0 0 0 0 0 0 0 8.8877060258923892e-19 4.6082888778488174e-05 5.4631862009365053e-18 9.8593285874157046e-53
64 64 linear 0 0 0 cold 7 -1 1 0 1 0.0066088412279548875 2.381793327676672e-46 0.0066088412279548875 2.381793327676672e-46 0 -1 7 0.0066289352862574733 0.0001931262312485433 1 6 0.00016547297901746004 0 1 0 0 0 0 0 0 0 0 0 0 2.122549272430777e-19 4.6082888778488174e-05 1.3054646785523501e-18 7.2658980147346035e-54
64 64 linear 0 0 0 cold 8 -1 2 0 -1 0.0065627664897894948 6.8096021373698228e-05 0.0065627664897894948 6.8096021373698228e-05 0 -1 8 0.0064746458200106542 0.00017906350937866482 1 8 0.00014170051459470371 0 1 0 0 0 0 0 0 0 0 0 0 7.9618069139366291e-19 5.829945830180519e-05 4.914034140829574e-18 1.044321233911356e-52
64 64 linear 0 0 0 cold 9 -1 1 0 1 0.0065035233154070709 -1.698413052027121e-43 0.0065035233154070709 -1.698413052027121e-43 0 -1 9 0.0063737649817222916 7.0362846338613465e-05 1 10 0.00014293045196270217 0 1 0 0 0 0 0 0 0 0 0 0 2.4198633281993002e-17 8.0123945203540998e-06 1.5003289578158868e-16 8.6970597449096013e-53
