case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations
0 linear 0 0 54.574928999999997 7.0379226907888537 1 67 53.443783000000003 0.023899 0.21309999999999996 0.0056040000000000005 0.0015990000000000002 0.0093310000000000008 0.022152000000000002 0.19383700000000001 0.34538400000000002 52.574223000000003 0.103718 3.6000000000000001e-05 0.060918999999999994 0.0045580000000000004 0.010060000000000001 0.14533800000000002 0.03177 0.0080710000000000018 0 0 0 0 0 0 0 0 0 0
0 linear 0 7 53.218454999999999 7.165175685042759 1 83 52.838262 0.010753 0.31759100000000007 0.0066709999999999998 0.0013349999999999998 0.004065 0.015007 0.052234000000000003 0.25627299999999997 52.328593999999995 0.088163999999999992 2.6999999999999999e-05 0.016896999999999999 0.002003 0.0045869999999999999 0.22762399999999999 0.046420999999999962 0.010193000000000004 0 1 15 15 0 0 0 0 0 0
0 linear 0 15 53.780701000000001 7.2540425509600803 1 91 53.319614999999999 0.011311 0.41013200000000011 0.0078469999999999998 0.0020799999999999998 0.0043959999999999997 0.012529999999999999 0.050874000000000003 0.30214400000000002 52.708387000000002 0.088802999999999993 2.0000000000000002e-05 0.081911999999999999 0.001841 0.0037650000000000001 0.29159799999999991 0.061493999999999979 0.012329000000000005 0 2 13 13 0 0 0 0 0 0
0 linear 0 23 53.658617 7.2793514851610421 1 91 53.230882999999999 0.011932999999999999 0.37839600000000007 0.0079039999999999996 0.0016539999999999999 0.0032439999999999999 0.012586999999999999 0.050528999999999998 0.25811499999999998 52.689132000000001 0.090210999999999986 2.0999999999999999e-05 0.052787000000000008 0.0019369999999999999 0.003823 0.26051200000000008 0.056325999999999973 0.013586000000000001 0 3 13 13 0 0 0 0 0 0
0 linear 1 0 1.0794109999999999 589.76731831372365 1 105 0.69323999999999997 0.011377999999999999 0.31267 0.0073119999999999991 0.001627 0.003601 0.012947 0.182666 0.133192 0 0.0058859999999999997 0.0011529999999999999 0.25257099999999999 0.001235 0.003967 0.16323000000000001 0.079252999999999948 0.017578999999999994 0 0 0 0 0.003787 1 0 0 14 0
0 linear 1 7 0.800674 593.09247526628167 1 105 0.42302200000000001 0.012496 0.3295820000000001 0.0067030000000000006 0.0015650000000000002 0.0031210000000000001 0.011639999999999999 0.051373000000000002 0.15576999999999999 0 0.0035260000000000001 0.00095699999999999995 0.104731 0.0012390000000000001 0.0037499999999999999 0.17241300000000004 0.077608000000000038 0.017756999999999998 0 1 19 19 0.002911 1 0 0 14 0
0 linear 1 15 1.035992 596.53003682974679 1 128 0.52119300000000002 0.012426 0.44662400000000013 0.0077140000000000004 0.0017880000000000001 0.0028670000000000002 0.010799 0.051262000000000002 0.13116700000000001 0 0.003503 0.00091 0.22983699999999996 0.0012520000000000001 0.0038059999999999999 0.23080300000000004 0.103175 0.023001999999999995 0 2 19 19 0.0029320000000000001 1 0 0 14 0
0 linear 1 23 0.85918899999999998 599.54254534181996 1 128 0.36401 0.012463 0.43997900000000001 0.0087849999999999994 0.0016420000000000002 0.0027439999999999999 0.010576 0.051212000000000001 0.130466 0 0.0034849999999999998 0.00089099999999999997 0.076486000000000012 0.0011659999999999999 0.0037049999999999995 0.22603900000000005 0.10145799999999996 0.023048000000000009 0 3 19 19 0.0029320000000000001 1 0 0 14 0
0 linear 2 0 37.849456000000004 2.3667291596036724 1 61 37.597529999999999 0.010822 0.20918999999999996 0.0071549999999999999 0.0011330000000000001 0.0031389999999999999 0.012467000000000001 0.17626500000000001 0.34223999999999999 36.874306999999995 0.084153000000000006 2.0000000000000002e-05 0.042481000000000005 0.0016559999999999999 0.0037660000000000003 0.14042999999999994 0.030216 0.0078170000000000045 0 0 0 0 0 0 0 0 0 0
0 linear 2 7 51.368828000000001 2.4102109454225378 1 61 51.133327000000001 0.010997 0.19762699999999997 0.0051339999999999997 0.001052 0.0044140000000000004 0.012585000000000001 0.053068999999999998 0.26639800000000002 50.635230999999997 0.084744 2.0000000000000002e-05 0.010786 0.001743 0.0040650000000000009 0.14014199999999996 0.028360000000000007 0.0067680000000000023 0 1 16 13 0 0 0 0 0 0
