case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations
0 linear 0 0 54.663772000000002 7.0379226907888537 1 67 53.557274999999997 0.023563000000000001 0.22286700000000001 0.0058450000000000004 0.0015330000000000001 0.010544 0.022013999999999999 0.199071 0.34622000000000003 52.662728000000001 0.10853500000000001 3.6000000000000001e-05 0.060465999999999999 0.0055339999999999999 0.010175 0.15183700000000006 0.032763000000000014 0.0084499999999999974 0 0 0 0 0.0043340000000000002 3 0 0
0 linear 0 7 53.269240000000003 7.165175685042759 1 83 52.875822999999997 0.011152 0.32434700000000005 0.0076559999999999996 0.001305 0.0046940000000000003 0.014669 0.054063 0.26443499999999998 52.35154 0.096594000000000013 3.3000000000000003e-05 0.016772000000000002 0.0017719999999999999 0.0045389999999999996 0.22551900000000008 0.054006000000000012 0.010491000000000004 0 1 15 15 0.0066739999999999994 3 0 0
0 linear 0 15 53.767207999999997 7.2540425509600803 1 91 53.303601999999998 0.011707 0.405557 0.0094540000000000006 0.0014250000000000001 0.0044190000000000002 0.012304000000000001 0.051204 0.30391000000000001 52.687613999999996 0.091264000000000012 2.9e-05 0.082123000000000002 0.0018680000000000001 0.003803 0.29472199999999987 0.057034999999999995 0.011727999999999999 0 2 13 13 0.0025690000000000001 3 0 0
0 linear 0 23 53.746763000000001 7.2793514851610421 1 91 53.258118000000003 0.012409999999999999 0.43090400000000006 0.0093619999999999988 0.0015 0.0033500000000000001 0.012286 0.053844000000000003 0.261239 52.710017999999998 0.092981999999999995 2.5999999999999998e-05 0.052830000000000002 0.0021940000000000002 0.0044020000000000005 0.30461900000000008 0.054176000000000002 0.014589 0 3 13 13 0.0052909999999999997 3 0 0
0 linear 1 0 1.118098 589.76731831372365 1 105 0.72326000000000001 0.011823 0.3134309999999999 0.0074289999999999998 0.001578 0.0036219999999999998 0.012918000000000001 0.189994 0.13444500000000001 0 0.030124000000000001 0.0010529999999999999 0.25274000000000002 0.0011670000000000001 0.0038149999999999994 0.16359300000000004 0.079394999999999938 0.017579000000000004 0 0 0 0 0.0029060000000000002 1 1 0
0 linear 1 7 0.83522200000000002 593.09247526628167 1 105 0.45218900000000001 0.012999 0.32868500000000006 0.0067060000000000002 0.0013919999999999998 0.003091 0.011575999999999999 0.05185 0.154945 0 0.030204999999999999 0.00089599999999999999 0.105059 0.0011820000000000001 0.0037140000000000007 0.17183000000000004 0.077561999999999992 0.017711999999999995 0 1 19 19 0.0028300000000000001 1 1 0
0 linear 1 15 1.081645 596.53003682974679 1 128 0.54857199999999995 0.013112 0.4454189999999999 0.007801999999999999 0.0016619999999999998 0.002882 0.011098 0.051622000000000001 0.13195999999999999 0 0.029586999999999999 0.00086499999999999999 0.22900999999999996 0.00099299999999999996 0.0038390000000000004 0.22991800000000004 0.10295599999999996 0.023087 0 2 19 19 0.002833 1 1 0
0 linear 1 23 0.88977300000000004 599.54254534181996 1 128 0.39202999999999999 0.012883 0.43637999999999988 0.0073179999999999999 0.0015339999999999998 0.0027690000000000002 0.010914 0.051561000000000003 0.13266 0 0.033195000000000002 0.00088500000000000004 0.072026999999999994 0.001077 0.0036850000000000003 0.22310300000000008 0.10112700000000013 0.023102999999999992 0 3 19 19 0.0071630000000000001 1 1 0
0 linear 2 0 37.743403000000001 2.3667291596036724 1 61 37.530287000000001 0.011882999999999999 0.16907600000000003 0.0054719999999999994 0.00088400000000000002 0.0030959999999999998 0.011923 0.17854700000000001 0.34321499999999999 36.792506000000003 0.087319000000000008 3.6999999999999998e-05 0.044671999999999996 0.001732 0.0039320000000000006 0.11040899999999998 0.028806000000000002 0.0070270000000000011 0 0 0 0 0.0024910000000000002 3 0 0
0 linear 2 7 51.492100999999998 2.4102109454225378 1 61 51.158982000000002 0.011953 0.28560699999999994 0.0066740000000000002 0.0010079999999999998 0.0034120000000000001 0.012626 0.051740000000000001 0.26635300000000001 50.656412000000003 0.089152000000000009 3.6999999999999998e-05 0.010548000000000002 0.0017329999999999999 0.0036019999999999997 0.20482799999999993 0.036388000000000011 0.009018 0 1 16 13 0.0051789999999999996 3 0 0
