case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations
0 linear 0 0 54.739094999999999 7.0379226907888537 1 67 53.546551000000001 0.034691 0.23741899999999999 0.007144000000000001 0.002313 0.0091990000000000006 0.021111999999999999 0.195522 0.34267500000000001 52.584851 0.18938499999999997 2.8e-05 0.061559999999999997 0.0083009999999999994 0.015393999999999998 0.16135800000000006 0.033425000000000017 0.01038 0 0 0 0 0.0098230000000000001 3 0 0 23 0
0 linear 0 7 53.719965000000002 7.165175685042759 1 83 53.274442999999998 0.01205 0.36987700000000007 0.006595000000000001 0.0012929999999999999 0.0037959999999999999 0.015221 0.053601000000000003 0.26021699999999998 52.679603999999998 0.184448 3.8000000000000002e-05 0.017817 0.003532 0.0042750000000000002 0.26453700000000013 0.050714999999999975 0.012040000000000004 0 1 15 15 0.0092159999999999985 3 0 0 27 0
0 linear 0 15 54.105136000000002 7.2540425509600803 1 91 53.644843999999999 0.011534000000000001 0.40861699999999995 0.0083040000000000006 0.0024839999999999997 0.003248 0.012448000000000001 0.049492000000000001 0.30674699999999999 52.974917000000005 0.17189000000000002 2.5000000000000001e-05 0.081696000000000005 0.0017459999999999999 0.003859 0.29704899999999995 0.056768999999999993 0.011698000000000002 0 2 13 13 0.0085190000000000005 3 0 0 23 0
0 linear 0 23 53.963034999999998 7.2793514851610421 1 91 53.480220000000003 0.01205 0.42988099999999979 0.010187999999999999 0.0016749999999999998 0.0033419999999999999 0.012788000000000001 0.050307999999999999 0.26248100000000002 52.879896000000002 0.17635100000000001 3.6999999999999998e-05 0.052550999999999994 0.0017960000000000001 0.003836 0.30340400000000017 0.053741999999999984 0.015058000000000012 0 3 13 13 0.0088340000000000016 3 0 0 25 0
0 linear 1 0 1.152671 589.76731831372365 1 105 0.75819300000000001 0.011423000000000001 0.3133450000000001 0.0072600000000000008 0.0017850000000000001 0.0035000000000000001 0.013722 0.19381899999999999 0.13282099999999999 0 0.060454000000000001 0.001005 0.25304899999999997 0.001206 0.0038939999999999999 0.16386899999999996 0.079327999999999996 0.017573000000000002 0 0 0 0 0.003055 1 1 0 14 0
0 linear 1 7 0.85295500000000002 593.09247526628167 1 105 0.47439300000000001 0.012800000000000001 0.33031799999999989 0.0064390000000000003 0.001578 0.0030850000000000001 0.011745 0.051275000000000001 0.151222 0 0.058255000000000001 0.00097000000000000005 0.10483899999999999 0.0011659999999999999 0.003715 0.17347300000000004 0.077614000000000016 0.017571000000000007 0 1 19 19 0.0029880000000000002 1 1 0 14 0
0 linear 1 15 1.104276 596.53003682974679 1 128 0.57506199999999996 0.012803999999999999 0.45867699999999995 0.0086109999999999989 0.0017470000000000001 0.0031340000000000001 0.010992 0.051258999999999999 0.13387499999999999 0 0.057779999999999998 0.00089999999999999998 0.22581199999999996 0.001122 0.0039159999999999993 0.24151300000000006 0.10383200000000006 0.023296999999999995 0 2 19 19 0.0030140000000000002 1 1 0 14 0
0 linear 1 23 0.91299200000000003 599.54254534181996 1 128 0.42075800000000002 0.012489999999999999 0.43894100000000003 0.007363999999999999 0.001498 0.0029139999999999999 0.011221999999999999 0.051261000000000001 0.13184199999999999 0 0.059171000000000001 0.00084900000000000004 0.07205700000000001 0.00108 0.0037229999999999997 0.22517000000000006 0.10135900000000014 0.023013999999999993 0 3 19 19 0.003006 1 1 0 14 0
0 linear 2 0 37.990242000000002 2.3667291596036724 1 61 37.726201000000003 0.011615 0.21786000000000003 0.0081339999999999989 0.0010369999999999999 0.0031740000000000002 0.012048 0.18018300000000001 0.336557 36.940999000000005 0.16710900000000001 2.9e-05 0.044561999999999997 0.0017409999999999999 0.0039909999999999998 0.14513000000000001 0.032797999999999987 0.0080669999999999995 0 0 0 0 0.0081550000000000008 3 0 0 22 0
0 linear 2 7 51.578851999999998 2.4102109454225378 1 61 51.241183999999997 0.01447 0.28599299999999989 0.0075840000000000005 0.0013140000000000001 0.0043010000000000001 0.013162999999999999 0.05185 0.26599499999999998 50.672439000000004 0.169738 3.3000000000000003e-05 0.012083999999999999 0.0022720000000000001 0.0051830000000000001 0.202684 0.036457999999999997 0.0087440000000000035 0 1 16 13 0.0086870000000000003 3 0 0 25 0
0 linear 2 15 51.921760999999996 2.4659804224859272 1 61 51.617427999999997 0.011681 0.26223599999999997 0.006378 0.00093899999999999995 0.0036240000000000001 0.013657000000000001 0.055458 0.33706700000000001 50.989511 0.169463 3.6999999999999998e-05 0.0098689999999999993 0.001603 0.0037190000000000001 0.18082800000000002 0.037151000000000003 0.0091370000000000062 0 2 19 18 0.0084409999999999989 3 0 0 23 0
0 linear 2 23 53.716335999999998 2.5300557252343201 1 61 53.398114 0.011553000000000001 0.2767460000000001 0.0063109999999999998 0.00091500000000000001 0.003447 0.012482 0.056924000000000002 0.263961 52.838058000000004 0.17388200000000001 3.4e-05 0.0098450000000000013 0.001663 0.0037950000000000002 0.19767699999999996 0.036788999999999988 0.0080580000000000027 0 3 17 16 0.0090569999999999991 3 0 0 24 0
0 linear 3 0 0.800956 488.05716329461848 1 83 0.59269099999999997 0.016596 0.15591399999999991 0.0058050000000000003 0.0013960000000000001 0.0033609999999999998 0.01231 0.180755 0.12117600000000001 0 0.057493000000000002 0.001137 0.11293299999999999 0.00075699999999999997 0.0040599999999999994 0.084701999999999958 0.03523999999999998 0.0094459999999999995 0 0 0 0 0.0030999999999999999 1 1 0 14 0
0 linear 3 7 0.76861699999999999 497.79296944733449 1 83 0.52537999999999996 0.01498 0.19413699999999998 0.0059430000000000004 0.0012309999999999999 0.0032230000000000002 0.011549 0.051318999999999997 0.096818000000000001 0 0.057384999999999999 0.00092000000000000003 0.20341400000000001 0.00076599999999999997 0.003689 0.12601099999999998 0.03401400000000001 0.0093869999999999995 0 1 56 56 0.0030609999999999999 1 1 0 14 0
