case_id	d_bin_index	epoch_index	target	lane	base_ms	candidate_ms	delta_ms	base_mu	candidate_mu	scaled_mu_delta	base_value_converged	candidate_value_converged	base_status	candidate_status
149	1	0	0.0001	cold	52.748778	53.175816499999996	0.42703849999999477	439.83628148444905	439.83628148444905	0.0	1	1	OK	OK
149	1	0	0.001	cold	52.5464415	53.0132615	0.46681999999999846	439.8360798968717	439.8360798968717	0.0	1	1	OK	OK
149	1	15	0.0001	cold	54.438595	54.8128635	0.37426849999999945	311.89263248559104	311.89263248559104	0.0	1	1	OK	OK
149	1	15	0.001	cold	54.429178	54.860978	0.4318000000000026	311.89263248559104	311.89263248559104	0.0	1	1	OK	OK
149	1	23	0.0001	cold	0.882856	0.8712755000000001	-0.011580499999999883	242.48885214637858	242.48885214637858	0.0	1	1	OK	OK
149	1	23	0.001	cold	0.8666294999999999	0.868264	0.0016345000000000942	242.48885214637858	242.48885214637858	0.0	1	1	OK	OK
149	1	7	0.0001	cold	56.1918635	56.764866999999995	0.5730034999999987	380.33221840871994	380.33221840871994	0.0	1	1	OK	OK
149	1	7	0.001	cold	56.15755	56.612586500000006	0.4550365000000056	380.3321179510988	380.3321179510988	0.0	1	1	OK	OK
9	2	0	0.0001	cold	1.347181	1.34189	-0.005290999999999935	10.095440834243291	10.095440834243291	0.0	1	1	OK	OK
9	2	0	0.001	cold	1.1954845	1.2076135	0.012128999999999834	10.095440872700099	10.095440872700099	0.0	1	1	OK	OK
9	2	15	0.0001	cold	1.018145	1.0250569999999999	0.006911999999999807	5.1332020181265126	5.1332020181265126	0.0	1	1	OK	OK
9	2	15	0.001	cold	0.918701	0.9197635	0.0010624999999999662	5.133202120741542	5.133202120741542	0.0	1	1	OK	OK
9	2	23	0.0001	cold	0.900903	0.9052645	0.004361500000000018	4.220551918422449	4.220551918422449	0.0	1	1	OK	OK
9	2	23	0.001	cold	0.8699635	0.8742555	0.0042919999999999625	4.220551918412217	4.220551918412217	0.0	1	1	OK	OK
9	2	7	0.0001	cold	3.599798	3.6753145	0.07551649999999999	7.777886004418398	7.777886004418398	0.0	1	1	OK	OK
9	2	7	0.001	cold	3.3749065	3.3783905	0.0034840000000002647	7.777886422270644	7.777886422270644	0.0	1	1	OK	OK
149	1	0	0.0001	warm	52.7546935	53.156636500000005	0.4019430000000028	439.83628148444905	439.83628148444905	0.0	1	1	OK	OK
149	1	0	0.001	warm	52.597961	53.017524	0.4195630000000037	439.8360798968717	439.8360798968717	0.0	1	1	OK	OK
149	1	15	0.0001	warm	54.2667145	4.5776215	-49.689093	311.89263248559104	311.8926324854873	3.3261202290748957e-13	1	1	OK	OK
149	1	15	0.001	warm	54.3054075	4.5956355	-49.709772	311.89263248559104	311.8926324854873	3.3261202290748957e-13	1	1	OK	OK
149	1	23	0.0001	warm	53.858425	54.5516975	0.6932725000000062	242.48885214622607	242.48885214622607	0.0	1	1	OK	OK
149	1	23	0.001	warm	53.843132999999995	54.4682465	0.6251135000000048	242.48885214622607	242.48885214622607	0.0	1	1	OK	OK
149	1	7	0.0001	warm	56.1715595	56.580183000000005	0.40862350000000447	380.33221840871994	380.33221840871994	0.0	1	1	OK	OK
149	1	7	0.001	warm	56.0014465	56.475409	0.47396249999999895	380.3321179510988	380.3321179510988	0.0	1	1	OK	OK
9	2	0	0.0001	warm	1.3337695	1.332979	-0.0007905000000001383	10.095440834243291	10.095440834243291	0.0	1	1	OK	OK
9	2	0	0.001	warm	1.1821945	1.1807759999999998	-0.0014185000000002113	10.095440872700099	10.095440872700099	0.0	1	1	OK	OK
9	2	15	0.0001	warm	1.0382565000000001	1.1147555	0.07649899999999987	5.1332020181195075	5.1332020181278635	1.6278304541771963e-12	1	1	OK	OK
9	2	15	0.001	warm	0.91544	0.99335	0.07790999999999992	5.133202120730574	5.133202120740397	1.9136696921034755e-12	1	1	OK	OK
9	2	23	0.0001	warm	0.8255005	0.69172	-0.13378049999999997	4.220551918422449	4.220551918422449	0.0	1	1	OK	OK
9	2	23	0.001	warm	0.7733165	0.6452125	-0.128104	4.220551918412217	4.220551918412217	0.0	1	1	OK	OK
9	2	7	0.0001	warm	54.973907	5.2398885	-49.7340185	7.777886004418398	7.777886004418398	0.0	1	1	OK	OK
9	2	7	0.001	warm	54.6055375	4.9078585	-49.697678999999994	7.777886422270644	7.777886422270644	0.0	1	1	OK	OK
149	1	0	0.0001	radial	0.362559	0.36636250000000004	0.003803500000000015	439.83628148444905	439.83628148444905	0.0	1	1	OK	OK
149	1	0	0.001	radial	0.26653950000000004	0.2683775	0.0018379999999999508	439.8360798968717	439.8360798968717	0.0	1	1	OK	OK
149	1	15	0.0001	radial	0.29181250000000003	0.288045	-0.0037675000000000347	311.89263248559104	311.89263248559104	0.0	1	1	OK	OK
149	1	15	0.001	radial	0.29583349999999997	0.2885855	-0.007247999999999977	311.89263248559104	311.89263248559104	0.0	1	1	OK	OK
149	1	23	0.0001	radial	0.28167600000000004	0.2833215	0.0016454999999999664	242.48885214637858	242.48885214637858	0.0	1	1	OK	OK
149	1	23	0.001	radial	0.28425199999999995	0.2835515	-0.0007004999999999373	242.48885214637858	242.48885214637858	0.0	1	1	OK	OK
149	1	7	0.0001	radial	0.33402	0.329589	-0.004430999999999963	380.33221840871994	380.33221840871994	0.0	1	1	OK	OK
149	1	7	0.001	radial	0.2368605	0.23632999999999998	-0.0005305000000000171	380.3321179510988	380.3321179510988	0.0	1	1	OK	OK
9	2	0	0.0001	radial	0.4748275	0.47454949999999996	-0.000278000000000056	10.095440834243291	10.095440834243291	0.0	1	1	OK	OK
9	2	0	0.001	radial	0.3243115	0.322012	-0.0022994999999999544	10.095440872700099	10.095440872700099	0.0	1	1	OK	OK
9	2	15	0.0001	radial	0.382789	0.383917	0.0011280000000000179	5.1332020181265126	5.1332020181265126	0.0	1	1	OK	OK
9	2	15	0.001	radial	0.2770405	0.2760265	-0.0010140000000000149	5.133202120741542	5.133202120741542	0.0	1	1	OK	OK
9	2	23	0.0001	radial	0.226084	0.210456	-0.015628000000000003	4.220551918422449	4.220551918422449	0.0	1	1	OK	OK
9	2	23	0.001	radial	0.1796275	0.17711	-0.002517500000000006	4.220551918412217	4.220551918412217	0.0	1	1	OK	OK
9	2	7	0.0001	radial	0.6392315	0.6364945	-0.0027369999999999894	7.777886004418398	7.777886004418398	0.0	1	1	OK	OK
9	2	7	0.001	radial	0.4068275	0.40310250000000003	-0.0037249999999999783	7.777886422270644	7.777886422270644	0.0	1	1	OK	OK
