# V2 adaptive trajectory benchmark; value-only; radial-only topology prebuilt; full-cold D14/topology per epoch; full-warm L2 D14 warm seed; repeats median; n_r=adaptive
case_id configuration_id profile d_bin_index epoch_index trajectory_id trajectory_pos target s q rho x y time u X reference topology_status topology_cells topology_events cold_ms warm_ms radial_ms cold_topology_ms warm_topology_ms radial_topology_ms cold_adaptive_ms warm_adaptive_ms radial_adaptive_ms cold_setup_ms warm_setup_ms radial_setup_ms cold_physical_ms warm_physical_ms radial_physical_ms cold_estimator_ms warm_estimator_ms radial_estimator_ms cold_scheduler_ms warm_scheduler_ms radial_scheduler_ms cold_mu warm_mu radial_mu cold_error warm_error radial_error cold_value_converged warm_value_converged radial_value_converged cold_stop warm_stop radial_stop cold_status warm_status radial_status cold_nodes warm_nodes radial_nodes cold_evaluations warm_evaluations radial_evaluations cold_panels warm_panels radial_panels cold_splits warm_splits radial_splits warm_l1 warm_l2 warm_l3 warm_rescreen_fail warm_seed_used
9 9 uniform 2 0 0 0 0.001 0.57986328980431667 0.0010079841577647793 5.470597280025246e-05 1.1422862733622734 0.09455346559252209 1.1422753321677133 0 -1.1416914277243497 10.095440063549839 OK 14 13 1.214073 1.1813119999999999 0.32204300000000002 0.86520200000000003 0.85172499999999995 0 0.34887099999999993 0.32958699999999996 0.32204300000000002 0.072453000000000004 0.074518000000000001 0.070512000000000005 0.23242299999999996 0.22089199999999998 0.21703800000000001 0.0044200000000000003 0.0046240000000000005 0.0045370000000000002 0.0013780000000000001 0.0015070000000000001 0.001428 10.095440872700099 10.095440872700099 10.095440872700099 0.0071637301049094935 0.0071637301049094935 0.0071637301049094935 1 1 1 Converged Converged Converged OK OK OK 90 90 90 90 90 90 6 6 6 0 0 0 0 0 1 0 0
9 9 uniform 2 7 0 1 0.001 0.57986328980431667 0.0010079841577647793 5.470597280025246e-05 1.1422862733622734 0.09455346559252209 1.1422819920252716 0 -1.141698087581908 7.7778861399901871 OK 15 14 3.4225639999999999 4.8536219999999997 0.40265400000000001 2.9194499999999999 4.331169 0 0.50311400000000006 0.52245299999999961 0.40265400000000001 0.117294 0.112333 0.10305 0.34710100000000005 0.36365199999999998 0.26057200000000003 0.0063749999999999987 0.0062190000000000006 0.0049959999999999996 0.0016040000000000002 0.0016080000000000001 0.0014599999999999999 7.7778864222706439 7.7778864222706439 7.7778864222706439 0.0055985368940478621 0.0055985368940478621 0.0055985368940478621 1 1 1 Converged Converged Converged OK OK OK 97 97 97 97 97 97 7 7 7 0 0 0 0 1 0 0 1
9 9 uniform 2 15 0 2 0.001 0.57986328980431667 0.0010079841577647793 5.470597280025246e-05 1.1422862733622734 0.09455346559252209 1.1422896032910526 0 -1.141705698847689 5.1332025059639967 OK 14 13 0.92747900000000005 0.99343400000000004 0.27635799999999999 0.62843700000000002 0.65752100000000002 0 0.29904200000000003 0.33591300000000002 0.27635799999999999 0.074828000000000006 0.073538000000000006 0.067662 0.19873100000000002 0.23869400000000002 0.18639100000000008 0.004751 0.0045769999999999995 0.0042130000000000006 0.0012749999999999999 0.001142 0.0010350000000000001 5.1332021207415419 5.1332021207403971 5.1332021207415419 0.0050369323497478236 0.0050369323469623278 0.0050369323497478236 1 1 1 Converged Converged Converged OK OK OK 83 83 83 83 83 83 5 5 5 0 0 0 0 1 0 0 1
9 9 uniform 2 23 0 3 0.001 0.57986328980431667 0.0010079841577647793 5.470597280025246e-05 1.1422862733622734 0.09455346559252209 1.1422972145568335 0 -1.14171331011347 4.2205520330883575 OK 13 12 0.88020299999999996 0.64319300000000001 0.17727399999999999 0.69200600000000001 0.39483400000000002 0 0.18819699999999995 0.248359 0.17727399999999999 0.040726999999999999 0.039524999999999998 0.034981999999999999 0.12579000000000001 0.18816699999999997 0.123014 0.00381 0.003653 0.0031540000000000006 0.00090900000000000009 0.00086700000000000004 0.00081899999999999985 4.2205519184122169 4.2205519184122169 4.2205519184122169 0.0016503719004966595 0.0016503719004966595 0.0016503719004966595 1 1 1 Converged Converged Converged OK OK OK 61 61 61 61 61 61 3 3 3 0 0 0 0 1 0 0 1
9 9 uniform 2 0 0 0 0.0001 0.57986328980431667 0.0010079841577647793 5.470597280025246e-05 1.1422862733622734 0.09455346559252209 1.1422753321677133 0 -1.1416914277243497 10.095440063549839 OK 14 13 1.3304590000000001 1.3364039999999999 0.476794 0.85715399999999997 0.85585800000000001 0 0.47330500000000009 0.48054599999999992 0.476794 0.071290000000000006 0.074375999999999998 0.070533999999999999 0.33852000000000015 0.34103700000000003 0.34415400000000007 0.0072540000000000009 0.0074949999999999991 0.0074180000000000001 0.0019130000000000002 0.0018660000000000003 0.0019909999999999997 10.095440834243291 10.095440834243291 10.095440834243291 0.00040338684387990941 0.00040338684387990941 0.00040338684387990941 1 1 1 Converged Converged Converged OK OK OK 138 138 138 138 138 138 6 6 6 0 0 0 0 0 1 0 0
9 9 uniform 2 7 0 1 0.0001 0.57986328980431667 0.0010079841577647793 5.470597280025246e-05 1.1422862733622734 0.09455346559252209 1.1422819920252716 0 -1.141698087581908 7.7778861399901871 OK 15 14 3.6343049999999999 5.265898 0.63689899999999999 2.9413649999999998 4.3356279999999998 0 0.69294000000000011 0.93027000000000015 0.63689899999999999 0.117574 0.112401 0.102491 0.4889410000000004 0.71432999999999991 0.45215700000000009 0.012080999999999998 0.012173 0.0095819999999999985 0.0023830000000000001 0.0023999999999999998 0.0021540000000000001 7.7778860044183977 7.7778860044183977 7.7778860044183977 0.00040700567954328671 0.00040700567954328671 0.00040700567954328671 1 1 1 Converged Converged Converged OK OK OK 177 177 177 177 177 177 7 7 7 0 0 0 0 1 0 0 1
9 9 uniform 2 15 0 2 0.0001 0.57986328980431667 0.0010079841577647793 5.470597280025246e-05 1.1422862733622734 0.09455346559252209 1.1422896032910526 0 -1.141705698847689 5.1332025059639967 OK 14 13 1.0194300000000001 1.1187240000000001 0.38215199999999999 0.629027 0.66585399999999995 0 0.39040300000000006 0.45287000000000011 0.38215199999999999 0.075687000000000004 0.073215000000000002 0.067177000000000001 0.27884700000000001 0.34033899999999995 0.28107900000000002 0.0068499999999999993 0.0066529999999999992 0.0061049999999999993 0.0016479999999999999 0.001655 0.0014869999999999996 5.1332020181265126 5.1332020181278635 5.1332020181265126 0.00040958789470415337 0.00040958788742367246 0.00040958789470415337 1 1 1 Converged Converged Converged OK OK OK 123 123 123 123 123 123 5 5 5 0 0 0 0 1 0 0 1
9 9 uniform 2 23 0 3 0.0001 0.57986328980431667 0.0010079841577647793 5.470597280025246e-05 1.1422862733622734 0.09455346559252209 1.1422972145568335 0 -1.14171331011347 4.2205520330883575 OK 13 12 0.89805100000000004 0.69146600000000003 0.205763 0.68542199999999998 0.39955600000000002 0 0.21262900000000007 0.29191 0.205763 0.040122999999999999 0.040890000000000003 0.035291000000000003 0.14730799999999999 0.22590099999999996 0.14672000000000004 0.0040769999999999999 0.0040949999999999997 0.0037489999999999997 0.00099799999999999997 0.0009810000000000001 0.00097900000000000005 4.2205519184224487 4.2205519184224487 4.2205519184224487 0.00038178030528326673 0.00038178030528326673 0.00038178030528326673 1 1 1 Converged Converged Converged OK OK OK 77 77 77 77 77 77 3 3 3 0 0 0 0 1 0 0 1
149 149 uniform 1 0 1 0 0.001 2.0659565295872264 0.56802029881141525 3.4263177060690335e-05 -1.0334917227562803 0.17451653806821243 -1.0334985753916925 0 1.7818978443023481 439.83628456872992 OK 14 13 52.933224000000003 53.006633000000001 0.249946 52.636271999999998 52.698870999999997 0 0.29695200000000455 0.30776200000000387 0.249946 0.017561 0.015188 0.015413 0.24766400000000011 0.25773200000000002 0.20701999999999995 0.0049699999999999996 0.0051009999999999996 0.0035960000000000002 0.001562 0.0014420000000000001 0.0012470000000000001 439.83607989687169 439.83607989687169 439.83607989687169 0.32498471950953817 0.32498471950953817 0.32498471950953817 1 1 1 Converged Converged Converged OK OK OK 82 82 82 82 82 82 6 6 6 0 0 0 0 0 1 0 0
149 149 uniform 1 7 1 1 0.001 2.0659565295872264 0.56802029881141525 3.4263177060690335e-05 -1.0334917227562803 0.17451653806821243 -1.0334944042223111 0 1.7818936731329666 380.33222437536551 OK 14 13 56.519201000000002 56.408895000000001 0.23235700000000001 56.194274 56.057355999999999 0 0.32492700000000241 0.35153900000000249 0.23235700000000001 0.019172999999999999 0.014485 0.012933999999999999 0.27982800000000008 0.311836 0.200293 0.0048430000000000001 0.0046770000000000006 0.0030079999999999998 0.0014830000000000002 0.001389 0.001042 380.33211795109878 380.33211795109878 380.33211795109878 0.35780559036149467 0.35780559036149467 0.35780559036149467 1 1 1 Converged Converged Converged OK OK OK 82 82 82 82 82 82 6 6 6 0 0 0 0 1 0 0 1
