case_id	profile	d_bin_index	epoch_index	target	vbm_ms	cold_ms	warm_ms	radial_ms	warm_topology_ms	warm_without_topology_ms	warm_physical_ms
0	linear	0	0	0.001	1.5139550087042153	49.501917	49.545761	0.214673	49.265822	0.2799389999999988	0.24219900000000003
0	linear	0	7	0.001	1.6871910193003714	49.562854	49.4215	0.251267	49.057357	0.36414299999999855	0.32534099999999994
0	linear	0	15	0.001	1.870620995759964	49.695549	49.558181	0.278663	49.153045	0.40513599999999883	0.366812
0	linear	0	23	0.001	1.6067219548858702	49.841544	49.772854	0.281936	49.358749	0.4141049999999993	0.36967700000000003
0	linear	0	0	0.0001	153.29853899311274	49.754515	49.714108	0.347633	49.285864	0.4282440000000065	0.373484
0	linear	0	7	0.0001	8.43062502099201	49.729164	49.635907	0.356712	49.120166	0.5157410000000056	0.46277899999999983
0	linear	0	15	0.0001	8.574499981477857	49.816656	49.803442	0.354522	49.257452	0.5459899999999962	0.4943689999999998
0	linear	0	23	0.0001	7.411759987007827	49.91386	49.882909	0.366705	49.358959	0.5239499999999992	0.47196300000000024
0	linear	1	0	0.001	2.955408999696374	0.899522	0.897693	0.313857	0.590535	0.30715799999999993	0.27415699999999993
0	linear	1	7	0.001	3.225534048397094	0.772937	0.626586	0.31038	0.299767	0.32681899999999997	0.29536
0	linear	1	15	0.001	3.216142999008298	1.003354	0.829261	0.45117	0.388865	0.440396	0.40323200000000003
0	linear	1	23	0.001	3.486204950604588	0.818063	0.686828	0.405467	0.255886	0.430942	0.3967480000000003
0	linear	1	0	0.0001	12.8567079664208	1.048763	1.046866	0.454453	0.593836	0.45303000000000004	0.40875299999999976
0	linear	1	7	0.0001	13.317280041519552	0.860855	0.716178	0.392486	0.297964	0.418214	0.3800980000000001
0	linear	1	15	0.0001	12.93389400234446	1.217233	1.04648	0.633776	0.391163	0.6553170000000001	0.6077399999999997
0	linear	1	23	0.0001	13.089899031911045	1.035475	0.897128	0.616674	0.258022	0.6391060000000001	0.591909
0	linear	2	0	0.001	0.1585099962539971	35.011697	35.028319	0.198162	34.801754	0.2265650000000008	0.18887399999999993
