case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos
0 linear 0 0 63.491368000000001 7.0379226907888537 1 67 62.338355 0.029357999999999999 0.22315400000000005 0.0057990000000000003 0.0014419999999999999 0.0087849999999999994 0.020761999999999999 0.19606000000000001 0.34982000000000002 61.433329000000001 0.107516 3.3000000000000003e-05 0.064072999999999991 0.0075839999999999996 0.0056630000000000005 0.15285999999999991 0.031626000000000008 0.0081050000000000028 0 0
0 linear 0 7 61.399144 7.165175685042759 1 83 60.893371999999999 0.017236000000000001 0.41385000000000011 0.010968000000000002 0.0020399999999999997 0.0060499999999999998 0.021240999999999999 0.054489999999999997 0.26084499999999999 60.329890000000006 0.096045999999999992 0.00025799999999999998 0.022921 0.0046290000000000003 0.0058390000000000004 0.31434899999999993 0.046952000000000015 0.011821000000000003 0 1
0 linear 0 15 61.890926 7.2540425509600803 1 91 61.429754000000003 0.018402999999999999 0.38192799999999988 0.0088249999999999995 0.002189 0.0075420000000000001 0.03031 0.053863000000000001 0.30837100000000001 60.74192 0.093068999999999999 0.00015100000000000001 0.085769999999999999 0.0049740000000000001 0.0059379999999999997 0.28248399999999985 0.050313999999999998 0.012002000000000004 0 2
0 linear 0 23 61.768863000000003 7.2793514851610421 1 91 61.240319 0.01917 0.45727700000000027 0.011081999999999998 0.002477 0.0078250000000000004 0.026962 0.051853999999999997 0.264353 60.629977000000004 0.092328999999999994 0.00015200000000000001 0.055146999999999995 0.0049880000000000002 0.0066589999999999991 0.33150399999999997 0.053667999999999993 0.015435999999999995 0 3
0 linear 1 0 1.179451 589.76731831372365 1 105 0.75910200000000005 0.012751999999999999 0.32465999999999989 0.0074980000000000003 0.0015590000000000001 0.0096469999999999993 0.034549000000000003 0.18387500000000001 0.13641 0 0.027494999999999999 0.0013060000000000001 0.25581100000000001 0.0011349999999999999 0.0050280000000000004 0.17097800000000002 0.081977999999999926 0.017751999999999997 0 0
0 linear 1 7 0.83867700000000001 593.09247526628167 1 105 0.44667200000000001 0.015789000000000001 0.34141600000000011 0.0064850000000000003 0.00142 0.003075 0.011374 0.051333999999999998 0.152611 0 0.027720000000000002 0.00097099999999999997 0.104994 0.001217 0.003771 0.18474400000000002 0.077344999999999997 0.017739999999999988 0 1
0 linear 1 15 1.0755060000000001 596.53003682974679 1 128 0.54239300000000001 0.012867999999999999 0.46381299999999998 0.0073239999999999998 0.001614 0.0029299999999999999 0.010626999999999999 0.051247000000000001 0.133549 0 0.026530999999999999 0.00088599999999999996 0.225768 0.001152 0.0038550000000000004 0.24815900000000007 0.10274400000000014 0.023089999999999979 0 2
0 linear 1 23 0.88892899999999997 599.54254534181996 1 128 0.382857 0.012573000000000001 0.45113399999999998 0.0068120000000000003 0.001462 0.0027650000000000001 0.010196999999999999 0.051246 0.13170999999999999 0 0.025930000000000002 0.00084699999999999999 0.072069999999999995 0.0010889999999999999 0.0037430000000000002 0.237515 0.10100300000000009 0.023177999999999994 0 3
0 linear 2 0 38.952027000000001 2.3667291596036724 1 61 38.692844999999998 0.016087000000000001 0.20052300000000001 0.0073229999999999996 0.0015119999999999999 0.0031440000000000001 0.011743999999999999 0.17608199999999999 0.34038400000000002 37.935386000000001 0.086777999999999994 0.000125 0.048133999999999996 0.0042659999999999998 0.0058649999999999996 0.12840400000000002 0.030465000000000002 0.0084510000000000002 0 0
0 linear 2 7 51.500725000000003 2.4102109454225378 1 61 51.156019000000001 0.010592000000000001 0.30223400000000011 0.0079769999999999997 0.00095299999999999996 0.0080870000000000004 0.030039 0.055962999999999999 0.26938499999999999 50.627737999999994 0.081900000000000001 3.6999999999999998e-05 0.010235999999999999 0.0015319999999999999 0.0039020000000000005 0.23145399999999999 0.031189000000000008 0.0082820000000000029 0 1
0 linear 2 15 51.819896 2.4659804224859272 1 61 51.439428999999997 0.019508999999999999 0.31766999999999979 0.012468999999999999 0.0015650000000000002 0.0048279999999999998 0.014435 0.053475000000000002 0.32295499999999999 50.850393000000004 0.083479999999999999 0.00025900000000000001 0.014334000000000001 0.0058450000000000004 0.0060859999999999994 0.24110600000000001 0.031800000000000016 0.0089300000000000022 0 2
0 linear 2 23 53.656018000000003 2.5300557252343201 1 61 53.295282999999998 0.012351000000000001 0.31749299999999997 0.0063230000000000005 0.00097500000000000006 0.0034510000000000001 0.012383 0.052916999999999999 0.26479599999999998 52.795871999999996 0.087984000000000007 2.5999999999999998e-05 0.010169000000000001 0.0018190000000000001 0.0038010000000000001 0.24646800000000002 0.031521999999999994 0.0081470000000000015 0 3
0 linear 3 0 0.774007 488.05716329461848 1 83 0.56111900000000003 0.016688999999999999 0.15798200000000007 0.0059820000000000003 0.00149 0.0033 0.012120000000000001 0.182619 0.11717 0 0.026030999999999999 0.00131 0.11403600000000001 0.00069700000000000003 0.0040100000000000005 0.085517999999999983 0.035885000000000014 0.0094870000000000024 0 0
0 linear 3 7 0.80732300000000001 497.79296944733449 1 83 0.49013400000000001 0.014957 0.26887800000000001 0.0055160000000000001 0.0012050000000000001 0.0030360000000000001 0.011122 0.051262000000000002 0.097738000000000005 0 0.026450999999999999 0.00097499999999999996 0.202848 0.00080699999999999999 0.0036669999999999997 0.20077300000000003 0.034040999999999981 0.009393000000000002 0 1
0 linear 3 15 0.82435999999999998 510.01575430523633 1 83 0.51401799999999997 0.014747 0.26285599999999992 0.0052339999999999999 0.0011310000000000001 0.0027330000000000002 0.010508999999999999 0.051215999999999998 0.097212999999999994 0 0.026526000000000001 0.00080900000000000004 0.23292500000000002 0.00075699999999999997 0.0035379999999999999 0.194906 0.033893 0.0093890000000000015 0 2
0 linear 3 23 0.79537999999999998 523.73782250076636 1 99 0.41554999999999997 0.014341 0.32553700000000008 0.0064700000000000001 0.001173 0.0025760000000000002 0.0097420000000000007 0.051147999999999999 0.096351999999999993 0 0.025219999999999999 0.00077700000000000002 0.14031000000000002 0.00077700000000000002 0.0034890000000000003 0.24473300000000001 0.041688000000000031 0.011265000000000004 0 3
0 linear 4 0 0.56021600000000005 2.6196476657497758 1 52 0.38474700000000001 0.0109 0.14555300000000002 0.003117 0.00087599999999999993 0.0030379999999999999 0.011679999999999999 0.179977 0.077120999999999995 0 0.027036000000000001 0.00082799999999999996 0.00063399999999999991 0.0012750000000000001 0.0032320000000000001 0.097599000000000019 0.022718999999999993 0.0056930000000000019 0 0
