# Per-epoch chart_p4 candidate audit; diagnostic-only, outside benchmark timers
case_id configuration_id profile d_bin_index epoch_index event_index radius decision contact_relative angular_curvature_relative radial_crossing_relative d14_delta d14_match_budget topology_status topology_cells topology_events
0 0 linear 1 0 6 0.87159054427436455 no_coincident_d14_event 1.3433247235916884e-06 0.00056573467737826039 0.0029306765037096037 2.7073373856948857e-07 5.6141504312668799e-29 OK 15 15
0 0 linear 1 0 8 0.87169913607016059 no_coincident_d14_event 6.4398742280480031e-07 0.00056212171122168816 0.0029328625703402031 6.3187086458763344e-08 3.7710373578022967e-29 OK 15 15
0 0 linear 1 7 6 0.87158003661749839 no_coincident_d14_event 1.4108450140183215e-06 0.00056599024267706501 0.0029302796102517602 2.9831210479163364e-07 4.7015597400474655e-29 OK 15 15
0 0 linear 1 7 8 0.8716886272482256 no_coincident_d14_event 7.1166985598602515e-07 0.00056180542271730622 0.002932466844502951 7.7280967936855645e-08 1.5954340780486709e-28 OK 15 15
0 0 linear 1 15 6 0.87156802800484612 no_coincident_d14_event 1.4879866619354879e-06 0.00056630530909641602 0.0029298260596405967 3.3138569928189004e-07 7.83722213805008e-29 OK 16 15
0 0 linear 1 15 8 0.87167661730406565 no_coincident_d14_event 7.8899689519088231e-07 0.00056142094597183318 0.0029320147628380802 9.5158410857835081e-08 2.5823768366931617e-29 OK 16 15
0 0 linear 1 23 6 0.87155601953944972 no_coincident_d14_event 1.565102289359812e-06 0.00056664488810603808 0.0029293725537639739 3.6610078236728953e-07 6.8845142936653725e-29 OK 16 15
0 0 linear 1 23 8 0.8716646075071609 no_coincident_d14_event 8.6629801571772751e-07 0.00056101194335012722 0.0029315628692648667 1.1493801721663519e-07 1.9939013870332332e-29 OK 16 15
0 0 uniform 1 0 6 0.87159054427436455 no_coincident_d14_event 1.3433247235916884e-06 0.00056573467737826039 0.0029306765037096037 2.7073373856948857e-07 5.6141504312668799e-29 OK 15 15
0 0 uniform 1 0 8 0.87169913607016059 no_coincident_d14_event 6.4398742280480031e-07 0.00056212171122168816 0.0029328625703402031 6.3187086458763344e-08 3.7710373578022967e-29 OK 15 15
0 0 uniform 1 7 6 0.87158003661749839 no_coincident_d14_event 1.4108450140183215e-06 0.00056599024267706501 0.0029302796102517602 2.9831210479163364e-07 4.7015597400474655e-29 OK 15 15
0 0 uniform 1 7 8 0.8716886272482256 no_coincident_d14_event 7.1166985598602515e-07 0.00056180542271730622 0.002932466844502951 7.7280967936855645e-08 1.5954340780486709e-28 OK 15 15
0 0 uniform 1 15 6 0.87156802800484612 no_coincident_d14_event 1.4879866619354879e-06 0.00056630530909641602 0.0029298260596405967 3.3138569928189004e-07 7.83722213805008e-29 OK 16 15
0 0 uniform 1 15 8 0.87167661730406565 no_coincident_d14_event 7.8899689519088231e-07 0.00056142094597183318 0.0029320147628380802 9.5158410857835081e-08 2.5823768366931617e-29 OK 16 15
0 0 uniform 1 23 6 0.87155601953944972 no_coincident_d14_event 1.565102289359812e-06 0.00056664488810603808 0.0029293725537639739 3.6610078236728953e-07 6.8845142936653725e-29 OK 16 15
0 0 uniform 1 23 8 0.8716646075071609 no_coincident_d14_event 8.6629801571772751e-07 0.00056101194335012722 0.0029315628692648667 1.1493801721663519e-07 1.9939013870332332e-29 OK 16 15
4 4 linear 0 0 1 0.0049137214000906163 no_coincident_d14_event 4.7468327530461232e-06 0.50227488743376669 0.014632645688623481 7.6623886411216269e-10 9.9576835632682389e-31 OK 13 14
4 4 linear 0 0 2 0.004916510294174903 no_coincident_d14_event 4.7468449891709478e-06 0.50227618126827389 0.014624458545372445 7.6666992020172635e-10 5.5053233965109199e-31 OK 13 14
4 4 linear 0 7 1 0.0049135516499586081 no_coincident_d14_event 4.7466672305918979e-06 0.50227479678548892 0.014632636349453819 7.6618605470940268e-10 7.4586762456022324e-31 OK 13 14
4 4 linear 0 7 2 0.004916340351805046 no_coincident_d14_event 4.7466794653832877e-06 0.50227609052396838 0.014624449486068248 7.6661706654307714e-10 1.8075129947566048e-30 OK 13 14
4 4 linear 0 15 1 0.004913357664130963 no_coincident_d14_event 4.7464780762064438e-06 0.50227469319613127 0.014632625677219079 7.6612570777351355e-10 9.8101257187566675e-31 OK 13 14
4 4 linear 0 15 2 0.0049161461463012755 no_coincident_d14_event 4.7464903094741442e-06 0.50227598682487773 0.014624439133656521 7.6655666903641869e-10 3.0571076262322783e-31 OK 13 14
4 4 linear 0 23 1 0.0049131636935796945 no_coincident_d14_event 4.7462889368951659e-06 0.50227458961602489 0.014632615006159649 7.6606536794830616e-10 2.2225399256936812e-30 OK 13 14
4 4 linear 0 23 2 0.0049159519560997697 no_coincident_d14_event 4.74630116863943e-06 0.50227588313505211 0.014624428782395329 7.6649627864832273e-10 1.7379896082579232e-30 OK 13 14
4 4 linear 2 0 5 0.11071827529668714 no_coincident_d14_event 0.00041169524045372562 0.008819596301421621 0.28732179004589897 1.4729917056498728e-05 6.2088959820873065e-30 OK 16 15
4 4 linear 2 0 8 0.11096687784723121 no_coincident_d14_event 0.00013126824969636022 0.0083238533823163895 0.28269500212454252 1.9569455522459469e-06 1.4154714983466171e-29 OK 16 15
4 4 linear 2 7 5 0.11068099836097703 no_coincident_d14_event 0.00045553463120191886 0.0089379530289005159 0.28868648573019445 1.726012367093637e-05 7.1941254928675001e-30 OK 16 15
4 4 linear 2 7 8 0.11092952828530968 no_coincident_d14_event 0.00017326962187654428 0.0083057790977735767 0.28406716974259061 3.5405242957754823e-06 1.281538615854485e-29 OK 16 15
4 4 linear 2 15 5 0.11063840950492958 no_coincident_d14_event 0.00050610706960293452 0.0090862190400099168 0.29025397823735177 2.0236966200131236e-05 5.6529062639982233e-30 OK 16 15
4 4 linear 2 15 8 0.11088685641659786 no_coincident_d14_event 0.00022174453360060273 0.0082731587749395492 0.28565057199059807 6.1846415898385093e-06 3.0851537063347686e-30 OK 16 15
4 4 linear 2 23 5 0.11059583489744709 no_coincident_d14_event 0.00055718464879773056 0.0092485472730545765 0.29182983564472004 2.3276522232275086e-05 5.7448990025938418e-30 OK 16 15
4 4 linear 2 23 7 0.11084419878445037 no_coincident_d14_event 0.0002707318493991256 0.0082275821210939428 0.28725043973162295 1.0253903150345851e-05 1.792116364852326e-29 OK 16 15
4 4 uniform 0 0 1 0.0049137214000906163 no_coincident_d14_event 4.7468327530461232e-06 0.50227488743376669 0.014632645688623481 7.6623886411216269e-10 9.9576835632682389e-31 OK 13 14
4 4 uniform 0 0 2 0.004916510294174903 no_coincident_d14_event 4.7468449891709478e-06 0.50227618126827389 0.014624458545372445 7.6666992020172635e-10 5.5053233965109199e-31 OK 13 14
4 4 uniform 0 7 1 0.0049135516499586081 no_coincident_d14_event 4.7466672305918979e-06 0.50227479678548892 0.014632636349453819 7.6618605470940268e-10 7.4586762456022324e-31 OK 13 14
4 4 uniform 0 7 2 0.004916340351805046 no_coincident_d14_event 4.7466794653832877e-06 0.50227609052396838 0.014624449486068248 7.6661706654307714e-10 1.8075129947566048e-30 OK 13 14
4 4 uniform 0 15 1 0.004913357664130963 no_coincident_d14_event 4.7464780762064438e-06 0.50227469319613127 0.014632625677219079 7.6612570777351355e-10 9.8101257187566675e-31 OK 13 14
