name,u,policy,warm,rtol,index,input_radius,selected_radius,radius_lo,uncertainty,precision_tier,double_reason,dd_reason,qf_reason,double_residual,dd_residual
rand033,0,None,0,0.001,0,0.34508471290391068,0.34508471290391068,4.015811254878242e-18,5.9526962486136073e-17,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.99999903152857528,0.99999903152857528
rand033,0,None,0,0.001,1,0.34655457546402529,0.34655457546402529,2.5346094915141295e-17,8.085724614639955e-17,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.9999990235525037,0.9999990235525037
rand033,0,None,0,0.001,2,0.88532118796015413,0.88532118796015413,4.153635527598853e-17,1.5255865773850418e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.058347124630699188,0.0583402339868314
rand033,0,None,0,0.001,3,0.90653539413512696,0.90653539413512696,-2.5638890259513663e-17,1.3666119272202931e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.054092196711375828,0.054078189435419331
rand033,0,None,0,0.001,4,1.0569830934799724,1.0569830934799724,7.7539525941941334e-17,2.995841308669728e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.89010816911761992,0.89010816911761981
rand033,0,None,0,0.001,5,1.0590844182859676,1.0590844182859676,9.6041522271491303e-17,3.1808612719652261e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.88963149004562458,0.88963149004562481
rand033,0,None,0,0.001,6,1.1259749488987669,1.1259749488987669,-7.2326960519501072e-17,2.9437156544453259e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.99214547979163159,0.99214547979163148
rand033,0,None,0,0.001,7,1.1478916159583825,1.1478916159583825,5.2210492402664221e-17,2.7425509732769566e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.99999999999999944,0.99999999999999956
rand033,0,None,0,0.0001,0,0.34508471290391068,0.34508471290391068,4.015811254878242e-18,5.9526962486136073e-17,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.99999903152857528,0.99999903152857528
rand033,0,None,0,0.0001,1,0.34655457546402529,0.34655457546402529,2.5346094915141295e-17,8.085724614639955e-17,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.9999990235525037,0.9999990235525037
rand033,0,None,0,0.0001,2,0.88532118796015413,0.88532118796015413,4.153635527598853e-17,1.5255865773850418e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.058347124630699188,0.0583402339868314
rand033,0,None,0,0.0001,3,0.90653539413512696,0.90653539413512696,-2.5638890259513663e-17,1.3666119272202931e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.054092196711375828,0.054078189435419331
rand033,0,None,0,0.0001,4,1.0569830934799724,1.0569830934799724,7.7539525941941334e-17,2.995841308669728e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.89010816911761992,0.89010816911761981
rand033,0,None,0,0.0001,5,1.0590844182859676,1.0590844182859676,9.6041522271491303e-17,3.1808612719652261e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.88963149004562458,0.88963149004562481
rand033,0,None,0,0.0001,6,1.1259749488987669,1.1259749488987669,-7.2326960519501072e-17,2.9437156544453259e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.99214547979163159,0.99214547979163148
rand033,0,None,0,0.0001,7,1.1478916159583825,1.1478916159583825,5.2210492402664221e-17,2.7425509732769566e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.99999999999999944,0.99999999999999956
rand033,0,None,1,0.001,0,0.34509214160930007,0.34509214160930007,9.4064170383691348e-18,6.4917568269627019e-17,2,DoubleAmbiguous,DDBudgetRejected,QfRefined,4.1463138822393833e-05,6.5103547347617639e-21
rand033,0,None,1,0.001,1,0.34656184489967307,0.34656184489967307,2.6249235950307669e-17,8.1760387181565955e-17,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.99999902344847746,0.99999902344847724
rand033,0,None,1,0.001,2,0.88521641498536141,0.88521641498536141,2.8229493948086317e-17,1.3925179641060196e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.058409022906966014,0.058402160383063173
rand033,0,None,1,0.001,3,0.90642803419548501,0.90642803419548501,1.4037929927712493e-17,1.2506023239022814e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.054159717563794736,0.054145780413874273
rand033,0,None,1,0.001,4,1.0573190125335086,1.0573190125335086,-8.5644182187909107e-17,3.0768878711294041e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.89116760253107707,0.89116760253107707
rand033,0,None,1,0.001,5,1.0594406870715509,1.0594406870715509,-6.1800772227682557e-18,2.2822468214779977e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.89072967259183644,0.89072967259183655
rand033,0,None,1,0.001,6,1.1260837791562015,1.1260837791562015,6.7587361061685688e-17,2.8963196598671721e-16,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.99214986448512854,0.99214986448512843
rand033,0,None,1,0.001,7,1.1480033848369402,1.1480033848369402,0,3.0578117680864944e-14,1,DoubleAmbiguous,DDAccepted,NotAttempted,0.00020192526936279118,3.1350968267281885e-18
rand033,0,None,1,0.0001,0,0.34509214160930007,0.34509214160930007,9.4064170383691348e-18,6.4917568269627019e-17,2,DoubleAmbiguous,DDBudgetRejected,QfRefined,4.1463138822393833e-05,6.5103547347617639e-21
rand033,0,None,1,0.0001,1,0.34656184489967307,0.34656184489967307,2.6249235950307669e-17,8.1760387181565955e-17,2,DoubleAmbiguous,DDResidualRejected,QfRefined,0.99999902344847746,0.99999902344847724
