name,u,policy,warm,rtol,stop,value_stop,gradient_stop,value_converged,mu,value_error,nodes,evaluations,event_count,refinement_count,topology_ms,setup_ms,physics_ms,estimator_ms,scheduler_ms
rand033,0,None,0,0.001,Converged,Converged,Converged,1,30.385545837825465,0.020144436012233286,126,126,8,16,0.81817300000000004,1.725751,0.18617099999999998,0.0078180000000000003,0.0022790000000000002
rand033,0,None,0,0.0001,Converged,Converged,Converged,1,30.38542675520273,0.0014642169026462272,166,166,8,19,0.74979700000000005,0.84734200000000004,0.22647599999999993,0.0083420000000000005,0.0022179999999999999
rand033,0,None,1,0.001,Converged,Converged,Converged,1,30.320526339462802,0.019709670575012536,126,126,8,16,0.314612,0.76316200000000001,0.19475899999999996,0.0062629999999999995,0.0017150000000000002
rand033,0,None,1,0.0001,Converged,Converged,Converged,1,30.320408382691031,0.0014683874277692044,166,166,8,19,0.31502200000000002,0.82667800000000002,0.24840199999999996,0.0084729999999999996,0.0021489999999999999
rand033,0,ValueFirst,0,0.001,Converged,Converged,BudgetExceeded,1,30.385545837825465,0.020144436012233286,190,190,8,19,0.73551299999999997,0.94020499999999996,0.28037000000000001,0.053125000000000006,0.0076850000000000009
rand033,0,ValueFirst,0,0.0001,Converged,Converged,BudgetExceeded,1,30.38542675520273,0.0014642169026462272,238,238,8,22,0.73028899999999997,1.055102,0.33391200000000004,0.069803000000000004,0.008352
rand033,0,ValueFirst,1,0.001,Converged,Converged,BudgetExceeded,1,30.320526339462802,0.019709670575012536,190,190,8,19,0.33035199999999998,0.94170200000000004,0.30498399999999987,0.051947,0.0075619999999999993
rand033,0,ValueFirst,1,0.0001,Converged,Converged,BudgetExceeded,1,30.320408382691031,0.0014683874277692044,238,238,8,22,0.316888,1.02413,0.37055800000000011,0.070421999999999998,0.0086519999999999982
rand033,0.5,None,0,0.001,Converged,Converged,Converged,1,31.514303523854018,0.017609381180562166,126,126,8,16,0.740757,0.85037399999999996,0.26121700000000003,0.0077029999999999998,0.0021080000000000001
rand033,0.5,None,0,0.0001,Converged,Converged,Converged,1,31.514232885565136,0.0011865111753814048,166,166,8,19,0.72956299999999996,0.91867699999999997,0.30697999999999992,0.0093999999999999986,0.0021840000000000002
rand033,0.5,None,1,0.001,Converged,Converged,Converged,1,31.450052479057092,0.017684428168617008,126,126,8,16,0.315052,0.81789500000000004,0.263104,0.0060049999999999999,0.0016300000000000002
rand033,0.5,None,1,0.0001,Converged,Converged,Converged,1,31.449982528016122,0.001181829938238291,166,166,8,19,0.31013600000000002,0.91787700000000005,0.3483940000000002,0.0097140000000000004,0.0024669999999999996
rand033,0.5,ValueFirst,0,0.001,Converged,Converged,BudgetExceeded,1,31.514303523854018,0.017609381180562517,190,190,8,19,0.73760400000000004,1.148582,0.46528900000000006,0.056533,0.0083990000000000002
rand033,0.5,ValueFirst,0,0.0001,Converged,Converged,BudgetExceeded,1,31.514232885565136,0.0011865111753818229,238,238,8,22,0.733379,1.256426,0.55456899999999998,0.074780999999999986,0.0094520000000000003
rand033,0.5,ValueFirst,1,0.001,Converged,Converged,BudgetExceeded,1,31.450052479057092,0.017684428168617324,190,190,8,19,0.31719900000000001,1.117769,0.48563200000000006,0.053821000000000001,0.008345
rand033,0.5,ValueFirst,1,0.0001,Converged,Converged,BudgetExceeded,1,31.449982528016122,0.0011818299382385525,238,238,8,22,0.32704299999999997,1.2689569999999999,0.59645000000000015,0.0751,0.010978000000000002
