row	case	u	parameter	level	complete_cells	all_cells_complete	valid_node_count	mu_q	old_gradient_valid_only	moving_gradient_valid_only	moving_minus_old_valid_only	old_abs_contribution	moving_abs_contribution	old_cancellation	moving_cancellation
17	caustic-cross	0	a	3	14	1	98	31.856682778500375	3.3091614549125192	3.6225361217146919	0.31337466680217296	147.46893504462668	112.45375807776591	44.563838015732344	31.042825882033448
17	caustic-cross	0	a	4	14	1	210	31.933683306030229	0.42229477552472477	0.45823256977196847	0.035937794247243686	153.81289375373169	118.53987527789226	364.23110743582043	258.68932742358663
17	caustic-cross	0	a	5	14	1	434	31.942623680552344	-0.99409800859326014	-0.98967078696483812	0.0044272216284219918	156.83003345995306	121.45381852942306	157.76113834276958	122.7214343690011
17	caustic-cross	0	a	6	14	1	882	31.943725803043929	-1.6997452409733493	-1.6991937561234989	0.00055148484985062952	158.29251540553031	122.89702110185264	93.127200235539419	72.326667078995783
17	caustic-cross	0	a	7	14	1	1778	31.94386310582388	-2.0522608239567299	-2.0521919481704485	6.8875786281440273e-05	159.01112823782196	123.61694192029123	77.480954848249141	60.236539779086982
17	caustic-cross	0	a	8	14	1	3570	31.943880254362188	-2.2284804226619919	-2.2284718357522504	8.5869097416399736e-06	159.36770415586088	123.97669348574075	71.514069648182513	55.633053780054063
99	rand035	0	X	3	13	1	91	6.3161483484231873	18.197937406118808	18.241993536837654	0.044056130718844323	48.871805051418562	24.544026380965985	2.6855683674890587	1.3454684287329717
99	rand035	0	X	4	12	0	193	6.3083099062169294	17.453648016142516	17.45797104557851	0.0043230294359936066	49.042216197258547	25.02245409642493	2.8098547737355779	1.4332968035688338
99	rand035	0	X	5	12	0	397	6.3075026394839107	17.143104096371168	17.143528022274094	0.0004239259029258733	49.356960965164625	25.360049265998068	2.8791145808659264	1.4792783161697221
99	rand035	0	X	6	12	0	807	6.3074329941157306	17.053216573294343	17.053240713100426	2.4139806085303819e-05	49.438431040165277	25.420106258719379	2.8990677991849814	1.4906319969547761
99	rand035	0	X	7	12	0	1627	6.3074299975410275	17.042838932182875	17.042839299957436	3.677745636487123e-07	49.440296984496889	25.437866927793436	2.9009425707319352	1.4925838635265996
99	rand035	0	X	8	12	0	3267	6.3074299672842988	17.042609893005984	17.042609888121351	-4.8846348077447033e-09	49.44107496151878	25.439489994632314	2.9010272060389415	1.4926991911235123
99	rand035	0	Y	3	13	1	91	6.3161483484231873	38.451357893756011	38.544446353889484	0.093088460133472842	103.26374996234803	51.860334873989331	2.6855683548985061	1.3454684080254316
99	rand035	0	Y	4	12	0	193	6.3083099062169294	36.878710653006877	36.887845003712279	0.0091343507053966294	103.62382020163015	52.871229339689478	2.8098547472722251	1.4332967766040192
99	rand035	0	Y	5	12	0	397	6.3075026394839107	36.22254647133726	36.22344220612873	0.00089573479147115123	104.28886065863009	53.584551497406785	2.8791145520692036	1.4792782859366327
99	rand035	0	Y	6	12	0	807	6.3074329941157306	36.03261851183408	36.03266951806895	5.1006234866202149e-05	104.46100291753022	53.711448999871187	2.8990677678121677	1.4906319658868747
99	rand035	0	Y	7	12	0	1627	6.3074299975410275	36.010691061468791	36.010691838558536	7.7708974640516848e-07	104.46494558936936	53.748976428266396	2.9009425398432911	1.4925838323026759
99	rand035	0	Y	8	12	0	3267	6.3074299672842988	36.010207112840291	36.010207102519296	-1.0320995610241246e-08	104.46658940538849	53.752405889210713	2.9010271748239531	1.4926991598848696
100	rand035	0.5	X	3	13	1	91	6.2962515382342472	17.612733934948924	17.638185524180031	0.025451589231108587	51.946112594591739	24.728231278404358	2.9493497594666516	1.4019713787738908
100	rand035	0.5	X	4	12	0	193	6.2933238546721189	17.164913242143662	17.167506315526012	0.0025930733823482759	51.956743675757508	25.183807953330266	3.0269156006097484	1.4669461883671737
100	rand035	0.5	X	5	12	0	397	6.2928395629757885	16.978586662196548	16.978841017738223	0.00025435554167186833	52.016261855827125	25.274571886299931	3.0636390938029754	1.4885922931897975
100	rand035	0.5	X	6	12	0	807	6.2927977757548819	16.924654148350431	16.924668632234095	1.4483883663358663e-05	52.108657695230399	25.341183239812462	3.0788610058722643	1.4972927264022522
100	rand035	0.5	X	7	12	0	1627	6.2927959778100604	16.918427563683569	16.918427784348289	2.2066471937892684e-07	52.111296632055272	25.34298531081296	3.0801501165460157	1.4979515610935472
100	rand035	0.5	X	8	12	0	3267	6.292795959656023	16.918290140177056	16.918290137246633	-2.9304233449545247e-09	52.111194286974673	25.343001463624415	3.0801690865451317	1.497964703172354
100	rand035	0.5	Y	3	13	1	91	6.2962515382342472	37.214851460565356	37.268629429960541	0.053777969395186032	109.75961242163061	52.249550862399396	2.949349738448833	1.4019713539665499
100	rand035	0.5	Y	4	12	0	193	6.2933238546721189	36.268628142112938	36.274107179910239	0.0054790377972951804	109.7820752231152	53.212162191655828	3.0269155699231671	1.4669461588051556
100	rand035	0.5	Y	5	12	0	397	6.2928395629757885	35.874929151179806	35.875466592054508	0.00053744087470776816	109.90783410186887	53.403941961687501	3.063639056643388	1.4885922619196008
100	rand035	0.5	Y	6	12	0	807	6.2927977757548819	35.760972375477841	35.761002979218787	3.0603740945742836e-05	110.10306206465837	53.54468850905041	3.0788609691205906	1.4972926945076448
100	rand035	0.5	Y	7	12	0	1627	6.2927959778100604	35.747815905258733	35.747816371512542	4.6625380888468126e-07	110.10863803513175	53.548496197740349	3.0801500804118791	1.4979515291572658
100	rand035	0.5	Y	8	12	0	3267	6.292795959656023	35.747525536080843	35.747525529888996	-6.1918419939910319e-09	110.10842179497594	53.548530327643363	3.0801690506897001	1.4979646712293608
