row	case	u	parameter	n	h	topology_plus	topology_minus	mu_plus	mu_minus	fd
17	caustic-cross	0	a	128	0.00020000000000000001	0	0	31.943395366798484	31.944357240376988	-2.4046839462599223
17	caustic-cross	0	a	128	6.0000000000000002e-05	0	0	31.943731458515707	31.944020020506265	-2.4046832546531505
17	caustic-cross	0	a	128	2.0000000000000002e-05	0	0	31.943827596257979	31.943923783585735	-2.4046831939017466
17	caustic-cross	0	a	128	5.9999999999999993e-06	0	0	31.943861256181965	31.943890112380185	-2.4046831850199628
17	caustic-cross	0	a	128	2.0000000000000003e-06	0	0	31.943870874418828	31.943880493151568	-2.4046831850199619
17	caustic-cross	0	a	256	0.00020000000000000001	0	0	31.943401503113943	31.944363378787134	-2.4046891829776484
17	caustic-cross	0	a	256	6.0000000000000002e-05	0	0	31.943737595563739	31.944026158182712	-2.4046884914419309
17	caustic-cross	0	a	256	2.0000000000000002e-05	0	0	31.943833733515422	31.943929921052639	-2.4046884304240734
17	caustic-cross	0	a	256	5.9999999999999993e-06	0	0	31.943867393512715	31.943896249773815	-2.4046884249765794
17	caustic-cross	0	a	256	2.0000000000000003e-06	0	0	31.943877011770525	31.943886630524204	-2.4046884199435676
17	caustic-cross	0	a	512	0.00020000000000000001	0	0	31.943402274885873	31.944364150822551	-2.4046898416951734
17	caustic-cross	0	a	512	6.0000000000000002e-05	0	0	31.943738367427823	31.944026930125851	-2.4046891502334709
17	caustic-cross	0	a	512	2.0000000000000002e-05	0	0	31.943834505405846	31.943930692969424	-2.4046890894524608
17	caustic-cross	0	a	512	5.9999999999999993e-06	0	0	31.943868165412372	31.943897021681352	-2.4046890816364912
17	caustic-cross	0	a	512	2.0000000000000003e-06	0	0	31.943877783672804	31.94388740242913	-2.4046890816364903
17	caustic-cross	0	a	1024	0.00020000000000000001	0	0	31.94340237165758	31.944364247627291	-2.4046899242780029
17	caustic-cross	0	a	1024	6.0000000000000002e-05	0	0	31.943738464211076	31.944027026919017	-2.4046892328340639
17	caustic-cross	0	a	1024	2.0000000000000002e-05	0	0	31.943834602192414	31.943930789759282	-2.4046891716977825
17	caustic-cross	0	a	1024	5.9999999999999993e-06	0	0	31.943868262200088	31.943897118470066	-2.404689164829203
17	caustic-cross	0	a	1024	2.0000000000000003e-06	0	0	31.943877880460857	31.943887499217514	-2.4046891642370833
