row	case	u	parameter	event_index	kind	physically_real	detail	R	R_lo	uncertainty	fold_t_seed	fold_t_seed_valid	tier	positive_certified	positive_root_id	d14_condition
99	rand035	0	Y	8	physical_real	1	D14 real root	1.1271804457293775	-6.5448403115757632e-17	4.8141062748670198e-31	-1.5796106666059053	1	2	0	-1	1004.0273935848802
99	rand035	0	Y	9	R_eq_a	0	P<->B factor clash	3.035303804422572	0	inf	0	0	0	0	-1	inf
99	rand035	0	Y	10	physical_real	1	D14 real root	3.0353038119173275	-2.0375368363587338e-16	1.8698813613623604e-22	6.8047427173449339e-11	1	2	0	-1	102022555.438198
99	rand035	0	Y	11	physical_real	1	D14 real root	3.0353038123352656	-1.2717700756298926e-16	3.8872013451439701e-23	6.8047431759525365e-11	1	2	0	-1	102022555.81276995
100	rand035	0.5	X	0	physical_complex	0	D14 complex root (Re v)	0.88710447273576554	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	X	1	physical_real	1	D14 real root	0.88716938242769516	-5.4025464860657665e-17	3.6234145584350017e-31	0.63306737158431503	1	2	0	-1	29.137392229826453
100	rand035	0.5	X	2	physical_complex	0	D14 complex root (Re v)	0.88723369079252823	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	X	3	physical_real	1	D14 real root	0.95630209345982764	-3.4151192332103688e-17	7.2663197819541283e-32	0.63306737468884311	1	2	0	-1	0.30734514128515728
100	rand035	0.5	X	4	physical_complex	0	D14 complex root (Re v)	0.98978667263356568	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	X	5	physical_complex	0	D14 complex root (Re v)	0.98978737686990848	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	X	6	R_eq_sqrt_m0	0	P acquires factor A	0.9999999892831799	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	X	7	physical_real	1	D14 real root	1.04569464696713	-6.742259327122578e-17	2.7111496162043789e-32	-1.5796106891439892	1	2	0	-1	4.2359699496200003
100	rand035	0.5	X	8	physical_real	1	D14 real root	1.1271804457293775	-6.5448403115757632e-17	4.8141062748670198e-31	-1.5796106666059053	1	2	0	-1	1004.0273935848802
100	rand035	0.5	X	9	R_eq_a	0	P<->B factor clash	3.035303804422572	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	X	10	physical_real	1	D14 real root	3.0353038119173275	-2.0375368363587338e-16	1.8698813613623604e-22	6.8047427173449339e-11	1	2	0	-1	102022555.438198
100	rand035	0.5	X	11	physical_real	1	D14 real root	3.0353038123352656	-1.2717700756298926e-16	3.8872013451439701e-23	6.8047431759525365e-11	1	2	0	-1	102022555.81276995
100	rand035	0.5	Y	0	physical_complex	0	D14 complex root (Re v)	0.88710447273576554	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	Y	1	physical_real	1	D14 real root	0.88716938242769516	-5.4025464860657665e-17	3.6234145584350017e-31	0.63306737158431503	1	2	0	-1	29.137392229826453
100	rand035	0.5	Y	2	physical_complex	0	D14 complex root (Re v)	0.88723369079252823	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	Y	3	physical_real	1	D14 real root	0.95630209345982764	-3.4151192332103688e-17	7.2663197819541283e-32	0.63306737468884311	1	2	0	-1	0.30734514128515728
100	rand035	0.5	Y	4	physical_complex	0	D14 complex root (Re v)	0.98978667263356568	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	Y	5	physical_complex	0	D14 complex root (Re v)	0.98978737686990848	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	Y	6	R_eq_sqrt_m0	0	P acquires factor A	0.9999999892831799	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	Y	7	physical_real	1	D14 real root	1.04569464696713	-6.742259327122578e-17	2.7111496162043789e-32	-1.5796106891439892	1	2	0	-1	4.2359699496200003
100	rand035	0.5	Y	8	physical_real	1	D14 real root	1.1271804457293775	-6.5448403115757632e-17	4.8141062748670198e-31	-1.5796106666059053	1	2	0	-1	1004.0273935848802
100	rand035	0.5	Y	9	R_eq_a	0	P<->B factor clash	3.035303804422572	0	inf	0	0	0	0	-1	inf
100	rand035	0.5	Y	10	physical_real	1	D14 real root	3.0353038119173275	-2.0375368363587338e-16	1.8698813613623604e-22	6.8047427173449339e-11	1	2	0	-1	102022555.438198
100	rand035	0.5	Y	11	physical_real	1	D14 real root	3.0353038123352656	-1.2717700756298926e-16	3.8872013451439701e-23	6.8047431759525365e-11	1	2	0	-1	102022555.81276995
