row	case	u	parameter	cell	kind	crossings	left_fold	right_fold	a	b	a_lo	b_lo	width	left_Rp	right_Rp	level	nodes	valid_nodes	complete	value_q	old_q	moving_q	old_detail	moving_detail	old_abs_q	moving_abs_q
17	caustic-cross	0	a	0	empty	0	0	1	0	0.55440951894073376	0	4.8743969053645528e-17	0.55440951894073376	0	0.34630991335115074	3	7	7	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	1	arcs	2	1	1	0.55440951894073376	0.56266096077992589	4.8743969053645528e-17	-3.3932552145780222e-17	0.0082514418391920474	0.34630991335115074	0.35944185387374455	3	7	7	1	0.072454438510613575	0.31174892674513432	0.31168527248170119	0.98277807212434587	0.081666872566226414	7.7483954098705912	0.31168527248170119
17	caustic-cross	0	a	2	empty	0	1	0	0.56266096077992589	0.67004418472761151	-3.3932552145780222e-17	0	0.10738322394768565	0.35944185387374455	0	3	7	7	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	3	empty	0	0	0	0.67004418472761151	0.81649658092772603	0	0	0.14645239620011452	0	0	3	7	7	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	4	empty	0	0	0	0.81649658092772603	0.83746378957463308	0	0	0.020967208646907043	0	0	3	7	7	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	5	arcs	2	0	0	0.83746378957463308	0.84972672439230301	0	0	0.012262934817669935	0	0	3	7	7	1	7.0846331998539958	41.658656133763174	41.658656133763174	8.3782333044101094	8.3782333044101094	41.658656133763174	41.658656133763174
17	caustic-cross	0	a	6	arcs	2	0	0	0.84972672439230301	0.85720378575239498	0	0	0.0074770613600919633	0	0	3	7	7	1	7.8770187324330871	16.067805693495426	16.067805693495426	0.0043033591578276508	0.0043033591578276508	16.067805693495426	16.067805693495426
17	caustic-cross	0	a	7	arcs	4	0	1	0.85720378575239498	0.88965961535403337	0	-5.4058042190716345e-17	0.032455829601638342	0	-0.071117987823130613	3	7	7	1	16.596966088220089	-53.867632934674219	-53.554338302328198	25.003405764465079	27.034719468796986	53.867632934674219	53.554338302328198
17	caustic-cross	0	a	8	empty	0	1	0	0.88965961535403337	1	-5.4058042190716345e-17	0	0.11034038464596668	-0.071117987823130613	0	3	7	7	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	9	empty	0	0	0	1	1.2330836802811773	0	0	0.23308368028117732	0	0	3	7	7	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	10	empty	0	0	0	1.2330836802811773	1.2990013190433436	0	0	0.065917638762166275	0	0	3	7	7	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	11	empty	0	0	1	1.2990013190433436	1.4027942668116613	0	-8.8148253530056329e-17	0.10379294776831763	0	0.60546428478834846	3	7	7	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	12	arcs	2	1	1	1.4027942668116613	1.4148028287947072	-8.8148253530056329e-17	-2.6881747413447363e-17	0.012008561983045956	0.60546428478834846	0.59238117848528449	3	7	7	1	0.22561031948258695	-0.86141636441699299	-0.86127267569740895	3.5677532718935958	0.22559432637035309	28.126444872823249	0.86127267569740895
17	caustic-cross	0	a	13	empty	0	1	0	1.4148028287947072	1.6585311203645845	-2.6881747413447363e-17	0	0.24372829156987733	0.59238117848528449	0	3	7	7	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	0	empty	0	0	1	0	0.55440951894073376	0	4.8743969053645528e-17	0.55440951894073376	0	0.34630991335115074	4	15	15	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	1	arcs	2	1	1	0.55440951894073376	0.56266096077992589	4.8743969053645528e-17	-3.3932552145780222e-17	0.0082514418391920474	0.34630991335115074	0.35944185387374455	4	15	15	1	0.072467164073517387	0.311739781062911	0.31173978105635408	0.0004706818959939691	0.00037197371111478625	7.8630771763900427	0.31173978105635408
17	caustic-cross	0	a	2	empty	0	1	0	0.56266096077992589	0.67004418472761151	-3.3932552145780222e-17	0	0.10738322394768565	0.35944185387374455	0	4	15	15	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	3	empty	0	0	0	0.67004418472761151	0.81649658092772603	0	0	0.14645239620011452	0	0	4	15	15	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	4	empty	0	0	0	0.81649658092772603	0.83746378957463308	0	0	0.020967208646907043	0	0	4	15	15	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	5	arcs	2	0	0	0.83746378957463308	0.84972672439230301	0	0	0.012262934817669935	0	0	4	15	15	1	7.0797531440632335	43.119508423272293	43.119508423272293	5.760754156416878	5.760754156416878	43.119508423272293	43.119508423272293
17	caustic-cross	0	a	6	arcs	2	0	0	0.84972672439230301	0.85720378575239498	0	0	0.0074770613600919633	0	0	4	15	15	1	7.8770187330917132	16.067805719503468	16.067805719503468	5.5767215084905826e-07	5.5767215084905826e-07	16.067805719503468	16.067805719503468
17	caustic-cross	0	a	7	arcs	4	0	1	0.85720378575239498	0.88965961535403337	0	-5.4058042190716345e-17	0.032455829601638342	0	-0.071117987823130613	4	15	15	1	16.678794386831424	-58.215336863233325	-58.179399068903841	17.244756863503635	18.572289804351694	58.215336863233325	58.179399068903841
17	caustic-cross	0	a	8	empty	0	1	0	0.88965961535403337	1	-5.4058042190716345e-17	0	0.11034038464596668	-0.071117987823130613	0	4	15	15	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	9	empty	0	0	0	1	1.2330836802811773	0	0	0.23308368028117732	0	0	4	15	15	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	10	empty	0	0	0	1.2330836802811773	1.2990013190433436	0	0	0.065917638762166275	0	0	4	15	15	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	11	empty	0	0	1	1.2990013190433436	1.4027942668116613	0	-8.8148253530056329e-17	0.10379294776831763	0	0.60546428478834846	4	15	15	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	12	arcs	2	1	1	1.4027942668116613	1.4148028287947072	-8.8148253530056329e-17	-2.6881747413447363e-17	0.012008561983045956	0.60546428478834846	0.59238117848528449	4	15	15	1	0.22564987797034058	-0.86142228508062535	-0.86142228515631258	0.0016617604615906446	0.0010184335376336119	28.547165571332563	0.86142228515631258
17	caustic-cross	0	a	13	empty	0	1	0	1.4148028287947072	1.6585311203645845	-2.6881747413447363e-17	0	0.24372829156987733	0.59238117848528449	0	4	15	15	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	0	empty	0	0	1	0	0.55440951894073376	0	4.8743969053645528e-17	0.55440951894073376	0	0.34630991335115074	5	31	31	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	1	arcs	2	1	1	0.55440951894073376	0.56266096077992589	4.8743969053645528e-17	-3.3932552145780222e-17	0.0082514418391920474	0.34630991335115074	0.35944185387374455	5	31	31	1	0.072467164073468635	0.31173978106096073	0.31173978105252731	4.1531377904048973e-11	6.0155417772557226e-10	7.8916694611706308	0.31173978105252731
17	caustic-cross	0	a	2	empty	0	1	0	0.56266096077992589	0.67004418472761151	-3.3932552145780222e-17	0	0.10738322394768565	0.35944185387374455	0	5	31	31	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	3	empty	0	0	0	0.67004418472761151	0.81649658092772603	0	0	0.14645239620011452	0	0	5	31	31	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	4	empty	0	0	0	0.81649658092772603	0.83746378957463308	0	0	0.020967208646907043	0	0	5	31	31	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	5	arcs	2	0	0	0.83746378957463308	0.84972672439230301	0	0	0.012262934817669935	0	0	5	31	31	1	7.0791449189693063	43.85252837067312	43.85252837067312	4.0468881798400833	4.0468881798400833	43.85252837067312	43.85252837067312
17	caustic-cross	0	a	6	arcs	2	0	0	0.84972672439230301	0.85720378575239498	0	0	0.0074770613600919633	0	0	5	31	31	1	7.8770187330917159	16.067805719503465	16.067805719503465	3.6701279596142294e-14	3.6701279596142294e-14	16.067805719503465	16.067805719503465
17	caustic-cross	0	a	7	arcs	4	0	1	0.85720378575239498	0.88965961535403337	0	-5.4058042190716345e-17	0.032455829601638342	0	-0.071117987823130613	5	31	31	1	16.688342986448649	-60.364749594772647	-60.360322373063141	11.874257399665147	12.076899508623681	60.364749594772647	60.360322373063141
17	caustic-cross	0	a	8	empty	0	1	0	0.88965961535403337	1	-5.4058042190716345e-17	0	0.11034038464596668	-0.071117987823130613	0	5	31	31	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	9	empty	0	0	0	1	1.2330836802811773	0	0	0.23308368028117732	0	0	5	31	31	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	10	empty	0	0	0	1.2330836802811773	1.2990013190433436	0	0	0.065917638762166275	0	0	5	31	31	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	11	empty	0	0	1	1.2990013190433436	1.4027942668116613	0	-8.8148253530056329e-17	0.10379294776831763	0	0.60546428478834846	5	31	31	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	12	arcs	2	1	1	1.4027942668116613	1.4148028287947072	-8.8148253530056329e-17	-2.6881747413447363e-17	0.012008561983045956	0.60546428478834846	0.59238117848528449	5	31	31	1	0.22564987796920413	-0.86142228505815521	-0.86142228513080865	1.7605928996404709e-10	1.3508970647389912e-09	28.653280313833193	0.86142228513080865
17	caustic-cross	0	a	13	empty	0	1	0	1.4148028287947072	1.6585311203645845	-2.6881747413447363e-17	0	0.24372829156987733	0.59238117848528449	0	5	31	31	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	0	empty	0	0	1	0	0.55440951894073376	0	4.8743969053645528e-17	0.55440951894073376	0	0.34630991335115074	6	63	63	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	1	arcs	2	1	1	0.55440951894073376	0.56266096077992589	4.8743969053645528e-17	-3.3932552145780222e-17	0.0082514418391920474	0.34630991335115074	0.35944185387374455	6	63	63	1	0.072467164073468607	0.3117397808791304	0.3117397810525569	8.7931835146859725e-10	1.9840196953929143e-13	7.8964137076858103	0.3117397810525569
17	caustic-cross	0	a	2	empty	0	1	0	0.56266096077992589	0.67004418472761151	-3.3932552145780222e-17	0	0.10738322394768565	0.35944185387374455	0	6	63	63	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	3	empty	0	0	0	0.67004418472761151	0.81649658092772603	0	0	0.14645239620011452	0	0	6	63	63	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	4	empty	0	0	0	0.81649658092772603	0.83746378957463308	0	0	0.020967208646907043	0	0	6	63	63	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	5	arcs	2	0	0	0.83746378957463308	0.84972672439230301	0	0	0.012262934817669935	0	0	6	63	63	1	7.0790689439285233	44.219368172308556	44.219368172308556	2.8568592619940572	2.8568592619940572	44.219368172308556	44.219368172308556
17	caustic-cross	0	a	6	arcs	2	0	0	0.84972672439230301	0.85720378575239498	0	0	0.0074770613600919633	0	0	6	63	63	1	7.8770187330917141	16.067805719503461	16.067805719503461	2.7974782717801744e-14	2.7974782717801744e-14	16.067805719503461	16.067805719503461
17	caustic-cross	0	a	7	arcs	4	0	1	0.85720378575239498	0.88965961535403337	0	-5.4058042190716345e-17	0.032455829601638342	0	-0.071117987823130613	6	63	63	1	16.689521083981017	-61.437236628318708	-61.436685143857325	8.3535077142184662	8.3883376980030153	61.437236628318708	61.436685143857325
17	caustic-cross	0	a	8	empty	0	1	0	0.88965961535403337	1	-5.4058042190716345e-17	0	0.11034038464596668	-0.071117987823130613	0	6	63	63	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	9	empty	0	0	0	1	1.2330836802811773	0	0	0.23308368028117732	0	0	6	63	63	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	10	empty	0	0	0	1.2330836802811773	1.2990013190433436	0	0	0.065917638762166275	0	0	6	63	63	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	11	empty	0	0	1	1.2990013190433436	1.4027942668116613	0	-8.8148253530056329e-17	0.10379294776831763	0	0.60546428478834846	6	63	63	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	12	arcs	2	1	1	1.4027942668116613	1.4148028287947072	-8.8148253530056329e-17	-2.6881747413447363e-17	0.012008561983045956	0.60546428478834846	0.59238117848528449	6	63	63	1	0.22564987796920458	-0.86142228534578646	-0.86142228513075036	1.4629171997769467e-09	8.2071183339985735e-13	28.671691177713782	0.86142228513075036
17	caustic-cross	0	a	13	empty	0	1	0	1.4148028287947072	1.6585311203645845	-2.6881747413447363e-17	0	0.24372829156987733	0.59238117848528449	0	6	63	63	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	0	empty	0	0	1	0	0.55440951894073376	0	4.8743969053645528e-17	0.55440951894073376	0	0.34630991335115074	7	127	127	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	1	arcs	2	1	1	0.55440951894073376	0.56266096077992589	4.8743969053645528e-17	-3.3932552145780222e-17	0.0082514418391920474	0.34630991335115074	0.35944185387374455	7	127	127	1	0.072467164073468746	0.31173978093005933	0.31173978105258299	1.0754012775147972e-09	1.5748601263629009e-13	7.8961056093808821	0.31173978105258299
17	caustic-cross	0	a	2	empty	0	1	0	0.56266096077992589	0.67004418472761151	-3.3932552145780222e-17	0	0.10738322394768565	0.35944185387374455	0	7	127	127	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	3	empty	0	0	0	0.67004418472761151	0.81649658092772603	0	0	0.14645239620011452	0	0	7	127	127	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	4	empty	0	0	0	0.81649658092772603	0.83746378957463308	0	0	0.020967208646907043	0	0	7	127	127	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	5	arcs	2	0	0	0.83746378957463308	0.84972672439230301	0	0	0.012262934817669935	0	0	7	127	127	1	7.0790594486857064	44.402829485504341	44.402829485504341	2.0192686624469021	2.0192686624469021	44.402829485504341	44.402829485504341
17	caustic-cross	0	a	6	arcs	2	0	0	0.84972672439230301	0.85720378575239498	0	0	0.0074770613600919633	0	0	7	127	127	1	7.8770187330917132	16.067805719503461	16.067805719503461	1.9968496212466131e-14	1.9968496212466131e-14	16.067805719503461	16.067805719503461
17	caustic-cross	0	a	7	arcs	4	0	1	0.85720378575239498	0.88965961535403337	0	-5.4058042190716345e-17	0.032455829601638342	0	-0.071117987823130613	7	127	127	1	16.689667882003786	-61.973213525429458	-61.973144649100021	5.8994486332382312	5.9055647214725893	61.973213525429458	61.973144649100021
17	caustic-cross	0	a	8	empty	0	1	0	0.88965961535403337	1	-5.4058042190716345e-17	0	0.11034038464596668	-0.071117987823130613	0	7	127	127	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	9	empty	0	0	0	1	1.2330836802811773	0	0	0.23308368028117732	0	0	7	127	127	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	10	empty	0	0	0	1.2330836802811773	1.2990013190433436	0	0	0.065917638762166275	0	0	7	127	127	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	11	empty	0	0	1	1.2990013190433436	1.4027942668116613	0	-8.8148253530056329e-17	0.10379294776831763	0	0.60546428478834846	7	127	127	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	12	arcs	2	1	1	1.4027942668116613	1.4148028287947072	-8.8148253530056329e-17	-2.6881747413447363e-17	0.012008561983045956	0.60546428478834846	0.59238117848528449	7	127	127	1	0.22564987796920555	-0.86142228446514069	-0.86142228513081898	1.4363198004439968e-08	9.5968963305596198e-13	28.671173898003815	0.86142228513081898
17	caustic-cross	0	a	13	empty	0	1	0	1.4148028287947072	1.6585311203645845	-2.6881747413447363e-17	0	0.24372829156987733	0.59238117848528449	0	7	127	127	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	0	empty	0	0	1	0	0.55440951894073376	0	4.8743969053645528e-17	0.55440951894073376	0	0.34630991335115074	8	255	255	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	1	arcs	2	1	1	0.55440951894073376	0.56266096077992589	4.8743969053645528e-17	-3.3932552145780222e-17	0.0082514418391920474	0.34630991335115074	0.35944185387374455	8	255	255	1	0.072467164073468773	0.31173978133004376	0.3117397810525952	3.3299772228127751e-08	1.7461430959694435e-13	7.8955000486138438	0.3117397810525952
17	caustic-cross	0	a	2	empty	0	1	0	0.56266096077992589	0.67004418472761151	-3.3932552145780222e-17	0	0.10738322394768565	0.35944185387374455	0	8	255	255	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	3	empty	0	0	0	0.67004418472761151	0.81649658092772603	0	0	0.14645239620011452	0	0	8	255	255	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	4	empty	0	0	0	0.81649658092772603	0.83746378957463308	0	0	0.020967208646907043	0	0	8	255	255	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	5	arcs	2	0	0	0.83746378957463308	0.84972672439230301	0	0	0.012262934817669935	0	0	8	255	255	1	7.0790582618313485	44.494565324438192	44.494565324438192	1.427690752618068	1.427690752618068	44.494565324438192	44.494565324438192
17	caustic-cross	0	a	6	arcs	2	0	0	0.84972672439230301	0.85720378575239498	0	0	0.0074770613600919633	0	0	8	255	255	1	7.8770187330917123	16.067805719503465	16.067805719503465	2.271344792190248e-14	2.271344792190248e-14	16.067805719503465	16.067805719503465
17	caustic-cross	0	a	7	arcs	4	0	1	0.85720378575239498	0.88965961535403337	0	-5.4058042190716345e-17	0.032455829601638342	0	-0.071117987823130613	8	255	255	1	16.689686217396453	-62.24116898372197	-62.241160375615678	4.1702455591340133	4.1713249568284061	62.24116898372197	62.241160375615678
17	caustic-cross	0	a	8	empty	0	1	0	0.88965961535403337	1	-5.4058042190716345e-17	0	0.11034038464596668	-0.071117987823130613	0	8	255	255	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	9	empty	0	0	0	1	1.2330836802811773	0	0	0.23308368028117732	0	0	8	255	255	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	10	empty	0	0	0	1.2330836802811773	1.2990013190433436	0	0	0.065917638762166275	0	0	8	255	255	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	11	empty	0	0	1	1.2990013190433436	1.4027942668116613	0	-8.8148253530056329e-17	0.10379294776831763	0	0.60546428478834846	8	255	255	1	0	0	0	0	0	0	0
17	caustic-cross	0	a	12	arcs	2	1	1	1.4027942668116613	1.4148028287947072	-8.8148253530056329e-17	-2.6881747413447363e-17	0.012008561983045956	0.60546428478834846	0.59238117848528449	8	255	255	1	0.22564987796920544	-0.8614222642117193	-0.86142228513082064	1.948712300596914e-07	7.6951465462798079e-13	28.668664079583415	0.86142228513082064
17	caustic-cross	0	a	13	empty	0	1	0	1.4148028287947072	1.6585311203645845	-2.6881747413447363e-17	0	0.24372829156987733	0.59238117848528449	0	8	255	255	1	0	0	0	0	0	0	0
99	rand035	0	X	0	empty	0	0	0	0	0.88710447273576554	0	0	0.88710447273576554	0	0	3	7	7	1	0	0	0	0	0	0	0
99	rand035	0	X	1	empty	0	0	1	0.88710447273576554	0.88716938242769516	0	-5.4025464860658022e-17	6.4909691929572542e-05	0	0.18840564996661718	3	7	7	1	0	0	0	0	0	0	0
99	rand035	0	X	2	arcs	2	1	0	0.88716938242769516	0.88723369079252823	-5.4025464860658022e-17	0	6.4308364833119615e-05	0.18840564996661718	0	3	7	7	1	0.00010069572380165087	-0.44226714690604535	-0.44226714690712077	1.5498325595604993e-08	8.2312920398168268e-06	0.44226714690604535	0.44226714690712077
99	rand035	0	X	3	arcs	2	0	1	0.88723369079252823	0.95630209345982764	0	-3.4151192332103632e-17	0.069068402667299383	0	0.20434029378549787	3	7	7	1	2.6619267564634921	10.119168219885582	10.157242924777705	5.0285884182168736	7.7262524923889728	19.745331986903714	15.574741475091795
99	rand035	0	X	4	empty	0	1	0	0.95630209345982764	0.98978667263356568	-3.4151192332103632e-17	0	0.033484579173738073	0.20434029378549787	0	3	7	7	1	0	0	0	0	0	0	0
99	rand035	0	X	5	empty	0	0	0	0.98978667263356568	0.98978737686990848	0	0	7.0423634279670466e-07	0	0	3	7	7	1	0	0	0	0	0	0	0
99	rand035	0	X	6	empty	0	0	0	0.98978737686990848	0.9999999892831799	0	0	0.010212612413271427	0	0	3	7	7	1	0	0	0	0	0	0	0
99	rand035	0	X	7	empty	0	0	1	0.9999999892831799	1.04569464696713	0	-6.7422593271225743e-17	0.045694657683950021	0	-0.22344145996904699	3	7	7	1	0	0	0	0	0	0	0
99	rand035	0	X	8	arcs	2	1	1	1.04569464696713	1.1271804457293775	-6.7422593271225743e-17	-6.5448403115757188e-17	0.081485798762247486	-0.22344145996904699	-0.23937610194680561	3	7	7	1	3.6541208962358933	8.5210363331392731	8.5270177589670677	3.3985755938421089	2.3842260036499519	28.6842059176088	8.5270177589670677
99	rand035	0	X	9	empty	0	1	0	1.1271804457293775	3.035303804422572	-6.5448403115757188e-17	0	1.9081233586931945	-0.23937610194680561	0	3	7	7	1	0	0	0	0	0	0	0
99	rand035	0	X	10	empty	0	0	1	3.035303804422572	3.0353038119173275	0	-2.0375349836924129e-16	7.494755279065235e-09	0	2.6127510878454164e-09	3	7	7	1	0	0	0	0	0	0	0
99	rand035	0	X	11	arcs	2	1	1	3.0353038119173275	3.0353038123352656	-2.0375349836924129e-16	-1.2717696606307342e-16	4.1793820509429536e-10	2.6127510878454164e-09	2.9131762436026609e-09	3	7	7	1	7.6982326394298445e-18	1.1069123483870841e-17	1.1067659808557861e-17	1.6135665556092812e-17	2.8995034525090082e-18	1.2846246543675242e-16	1.1067659808557861e-17
99	rand035	0	X	12	empty	0	1	0	3.0353038123352656	3.3562078044611949	-1.2717696606307342e-16	0	0.32090399212592946	2.9131762436026609e-09	0	3	7	7	1	0	0	0	0	0	0	0
99	rand035	0	X	0	empty	0	0	0	0	0.88710447273576554	0	0	0.88710447273576554	0	0	4	15	15	1	0	0	0	0	0	0	0
99	rand035	0	X	1	empty	0	0	1	0.88710447273576554	0.88716938242769516	0	-5.4025464860658022e-17	6.4909691929572542e-05	0	0.18840564996661718	4	15	15	1	0	0	0	0	0	0	0
99	rand035	0	X	2	arcs	2	1	0	0.88716938242769516	0.88723369079252823	-5.4025464860658022e-17	0	6.4308364833119615e-05	0.18840564996661718	0	4	15	15	1	0.00010069572380165927	-0.44226714682173413	-0.44226714681754492	2.8815348623149166e-10	3.0402300264389038e-10	0.44226714682173413	0.44226714681754492
99	rand035	0	X	3	arcs	2	0	1	0.88723369079252823	0.95630209345982764	0	-3.4151192332103632e-17	0.069068402667299383	0	0.20434029378549787	4	15	15	1	2.6544942593843608	9.3746111557672513	9.3789332838922164	2.9710385016042276	3.1298237797059287	20.194933861297191	16.058882041103548
99	rand035	0	X	4	empty	0	1	0	0.95630209345982764	0.98978667263356568	-3.4151192332103632e-17	0	0.033484579173738073	0.20434029378549787	0	4	15	15	1	0	0	0	0	0	0	0
99	rand035	0	X	5	empty	0	0	0	0.98978667263356568	0.98978737686990848	0	0	7.0423634279670466e-07	0	0	4	15	15	1	0	0	0	0	0	0	0
99	rand035	0	X	6	empty	0	0	0	0.98978737686990848	0.9999999892831799	0	0	0.010212612413271427	0	0	4	15	15	1	0	0	0	0	0	0	0
99	rand035	0	X	7	empty	0	0	1	0.9999999892831799	1.04569464696713	0	-6.7422593271225743e-17	0.045694657683950021	0	-0.22344145996904699	4	15	15	1	0	0	0	0	0	0	0
99	rand035	0	X	8	arcs	2	1	1	1.04569464696713	1.1271804457293775	-6.7422593271225743e-17	-6.5448403115757188e-17	0.081485798762247486	-0.22344145996904699	-0.23937610194680561	4	15	15	1	3.6537149511087672	8.5213040071969992	8.5213049085038381	0.0022953068659727193	0.051509204875299537	28.405015189139622	8.5213049085038381
99	rand035	0	X	9	empty	0	1	0	1.1271804457293775	3.035303804422572	-6.5448403115757188e-17	0	1.9081233586931945	-0.23937610194680561	0	4	15	15	1	0	0	0	0	0	0	0
99	rand035	0	X	10	empty	0	0	1	3.035303804422572	3.0353038119173275	0	-2.0375349836924129e-16	7.494755279065235e-09	0	2.6127510878454164e-09	4	15	15	1	0	0	0	0	0	0	0
99	rand035	0	X	11	arcs	2	1	1	3.0353038119173275	3.0353038123352656	-2.0375349836924129e-16	-1.2717696606307342e-16	4.1793820509429536e-10	2.6127510878454164e-09	2.9131762436026609e-09	4	15	13	0	7.6989566339068361e-18	1.0568831378023847e-17	1.1068686858975332e-17	5.9995481200913162e-21	9.1718406809079225e-21	1.2055389771242187e-16	1.1068686858975332e-17
99	rand035	0	X	12	empty	0	1	0	3.0353038123352656	3.3562078044611949	-1.2717696606307342e-16	0	0.32090399212592946	2.9131762436026609e-09	0	4	15	15	1	0	0	0	0	0	0	0
99	rand035	0	X	0	empty	0	0	0	0	0.88710447273576554	0	0	0.88710447273576554	0	0	5	31	31	1	0	0	0	0	0	0	0
99	rand035	0	X	1	empty	0	0	1	0.88710447273576554	0.88716938242769516	0	-5.4025464860658022e-17	6.4909691929572542e-05	0	0.18840564996661718	5	31	31	1	0	0	0	0	0	0	0
