row	case	u	parameter	topology_status	r_max	events	physical_events	topology_cells	adaptive_cells	map_ok	barycentric	xs	ys	rho	q	a
17	caustic-cross	0	a	0	1.6585311203645845	16	6	14	14	1	0	0.12	0	0.02	0.5	1
99	rand035	0	X	0	3.3562078044611949	12	6	11	13	1	0	-0.070456422310219854	-0.14887100926364968	0.075309254797077813	2.1433640368724767e-08	3.035303804422572
99	rand035	0	Y	0	3.3562078044611949	12	6	11	13	1	0	-0.070456422310219854	-0.14887100926364968	0.075309254797077813	2.1433640368724767e-08	3.035303804422572
100	rand035	0.5	X	0	3.3562078044611949	12	6	11	13	1	0	-0.070456422310219854	-0.14887100926364968	0.075309254797077813	2.1433640368724767e-08	3.035303804422572
100	rand035	0.5	Y	0	3.3562078044611949	12	6	11	13	1	0	-0.070456422310219854	-0.14887100926364968	0.075309254797077813	2.1433640368724767e-08	3.035303804422572
