row	case	u	parameter	event_index	input_R	input_R_lo	R	R_lo	t	P	Pt	PR	Ptt	Pp	Ptr	Ptp	R_p	t_p	uncertainty	tier	ordinary	valid
17	caustic-cross	0	a	0	0.55440951894073376	4.8743969053646292e-17	0.55440951894073376	4.8743969053645528e-17	0	3.5264830524668625e-38	0	0.011834098220204311	-1.242386888788779	-0.004098265529227962	0	0	0.34630991335115074	0	7.5822476773385561e-31	2	1	1
17	caustic-cross	0	a	1	0.56266096077992589	-3.3932552145780678e-17	0.56266096077992589	-3.3932552145780222e-17	0	-9.2158757104467341e-36	0	-0.011743665106475384	-1.2165027833023154	0.0042211647571439182	0	0	0.35944185387374455	0	4.4839860443403993e-31	2	1	1
17	caustic-cross	0	a	9	0.88965961535403337	-5.4383272443995243e-17	0.88965961535403337	-5.4058042190716345e-17	1.4761798465377451	-6.1629758220391547e-33	-3.7527850400673567e-32	-0.91477569064405295	-0.32720334618719055	-0.065057006428119651	-7.141964283000716	-0.48627761150954596	-0.071117987823130613	0.066150049057719748	1.6261512663940584e-19	2	1	1
17	caustic-cross	0	a	10	0.88965961535403337	-5.3407581684159706e-17	0.88965961535403337	-5.4058042190716357e-17	1.4761798465377451	8.8592777441812849e-33	7.9604531152943936e-32	-0.91477569064405295	-0.32720334618719055	-0.065057006428119651	-7.141964283000716	-0.48627761150954596	-0.071117987823130613	0.066150049057719748	3.2523025327834109e-19	2	1	1
17	caustic-cross	0	a	14	1.4027942668116613	-8.8148253530056699e-17	1.4027942668116613	-8.8148253530056329e-17	0	8.7268700605046625e-35	0	0.043334937159010448	-8.9264156719624701	-0.026237756733328284	0	0	0.60546428478834846	0	3.8665285241352183e-31	2	1	1
17	caustic-cross	0	a	15	1.4148028287947072	-2.6881747413444248e-17	1.4148028287947072	-2.6881747413447363e-17	0	-1.6851887013388314e-34	0	-0.045053581872936982	-9.7275484584173881	0.026688893924873659	0	0	0.59238117848528449	0	3.1377016288226659e-30	2	1	1
99	rand035	0	X	1	0.88716938242769516	-5.4025464860657665e-17	0.88716938242769516	-5.4025464860658022e-17	0.63306737158431614	-9.2444637330587321e-33	-2.1570415377137042e-32	4.064764940973812	-1.9156316604810091	-0.76582468066568943	11.019001184876277	5.2871068231539269	0.18840564996661718	3.8437185265170459	3.6234145584350017e-31	2	1	1
99	rand035	0	X	3	0.95630209345982764	-3.4151192332103688e-17	0.95630209345982764	-3.4151192332103632e-17	0.63306737468883967	-6.6251990086920913e-32	-1.8488927466117464e-31	-4.3251710630037303	-0.82339842729026169	0.88380672568671637	-12.057992295422935	5.6288453836907379	0.20434029378549787	3.8437184122347872	7.2663197819541283e-32	2	1	1
99	rand035	0	X	7	1.04569464696713	-6.742259327122578e-17	1.04569464696713	-6.7422593271225743e-17	-1.5796106891439989	2.3727456914850746e-31	-4.3872684133141233e-31	50.160794733790176	-1.6771839670116466	11.208001208525761	-103.32606320554751	-7.0019069665065663	-0.22344145996904699	9.5907305133947176	2.7111496162043789e-32	2	1	1
99	rand035	0	X	8	1.1271804457293775	-6.5448403115757632e-17	1.1271804457293775	-6.5448403115757188e-17	-1.5796106666059071	2.588449845256445e-31	-4.1908235589866252e-31	-56.026967261371937	-5.3884067122845591	-13.411517026928509	116.06925732394544	79.462962880887048	-0.23937610194680561	9.5907304823524875	4.8141062748670198e-31	2	1	1
