case_id configuration_id profile d_bin_index epoch_index rep lane q rho s x y time u X reference topology_status cells events whole_classify_ms profile_topology_ms radial_events_ms cell_topology_remainder_ms physical_real_events soft_events d14_coeff_ms d14_struct_build_ms d14_expand_ms d14_solve_ms presearch_ms d14real_ms qf_polish_ms residual_eval_ms completeness_check_ms physical_classify_ms soft_event_ms qf_warm_calls qf_cold_calls warm_seeded presearch_sweeps dd_sweeps qf_warm_sweeps qf_cold_sweeps d14real_calls d14real_finite_calls d14real_nonconverged completeness_fails root_count_bad conjugacy_bad vieta_bad root_clusters captured_root_records qf_root_count
92 92 linear 0 0 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016817436700993973 0.5 0.00083070182109417495 13038.465036666923 0 17 16 28.420382 28.420276999999999 28.350656000000001 0.069620999999997935 10 3 0 0.010432 0.019238999999999999 27.995042000000002 0.018449 0 27.692322000000001 0.044246000000000001 3.6999999999999998e-05 0.20987399999999998 0.0030270000000000002 0 1 0 3 0 0 198 0 0 0 0 0 0 0 1 14 14
92 92 linear 0 7 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016821262977318497 0.5 0.00082687554476965075 13087.98547671294 0 17 16 28.430568000000001 28.430488 28.357794999999999 0.072693000000001007 10 3 0 0.0034380000000000001 0.013422999999999999 28.057690999999998 0.0044470000000000004 0 27.809327 0.031031 2.0999999999999999e-05 0.20585699999999998 0.00070299999999999996 0 1 0 3 0 0 198 0 0 0 0 0 0 0 1 14 14
92 92 linear 0 15 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016825635864546527 0.5 0.00082250265754162111 13129.319885231944 0 17 16 28.475629000000001 28.475539000000001 28.390491999999998 0.085047000000002981 10 3 0 0.0045100000000000001 0.012276 28.058181000000001 0.0051130000000000004 0 27.798463000000002 0.030963999999999998 2.6999999999999999e-05 0.23594499999999999 0.00063100000000000005 0 1 0 3 0 0 198 0 0 0 0 0 0 0 1 14 14
92 92 linear 0 23 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016830008751774556 0.5 0.00081812977031359146 13164.291226813451 0 17 16 28.280992999999999 28.280912000000001 28.215527000000002 0.065384999999999138 10 3 0 0.0033449999999999999 0.012658000000000001 28.027156000000002 0.0039199999999999999 0 27.778351000000001 0.030474999999999999 2.0000000000000002e-05 0.099961999999999995 0.00065499999999999998 0 1 0 3 0 0 198 0 0 0 0 0 0 0 1 14 14
92 92 linear 0 0 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016817436700993973 0.5 0.00083070182109417495 13038.465036666923 0 17 16 28.396453999999999 28.396374999999999 28.327674999999999 0.068699999999999761 10 3 0 0.0044520000000000002 0.0123 28.003710999999999 0.0050480000000000004 0 27.746276999999999 0.030136 2.5000000000000001e-05 0.22042199999999998 0.00067000000000000002 0 1 0 3 0 0 198 0 0 0 0 0 0 0 1 14 14
92 92 linear 0 7 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016821262977318497 0.5 0.00082687554476965075 13087.98547671294 0 17 16 28.323920999999999 28.323830999999998 28.252504999999999 0.071325999999999112 10 3 0 0.0047210000000000004 0.01323 27.954723999999999 0.005202 0 27.706175999999999 0.030068999999999999 2.0000000000000002e-05 0.205151 0.00063299999999999999 0 1 0 3 0 0 198 0 0 0 0 0 0 0 1 14 14
92 92 linear 0 15 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016825635864546527 0.5 0.00082250265754162111 13129.319885231944 0 17 16 28.480056000000001 28.479977000000002 28.411531 0.068446000000001561 10 3 0 0.0045339999999999998 0.012421 28.095500999999999 0.0051380000000000002 0 27.836697999999998 0.031247 2.8e-05 0.22594 0.00070100000000000002 0 1 0 3 0 0 198 0 0 0 0 0 0 0 1 14 14
92 92 linear 0 23 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016830008751774556 0.5 0.00081812977031359146 13164.291226813451 0 17 16 28.277996000000002 28.277915 28.212140999999999 0.065774000000001109 10 3 0 0.0032260000000000001 0.012333999999999999 28.024411000000001 0.0039740000000000001 0 27.772427 0.033828999999999998 2.0000000000000002e-05 0.10014100000000001 0.00061200000000000002 0 1 0 3 0 0 198 0 0 0 0 0 0 0 1 14 14
92 92 linear 0 0 2 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016817436700993973 0.5 0.00083070182109417495 13038.465036666923 0 17 16 28.354984999999999 28.354899 28.286519999999999 0.06837900000000019 10 3 0 0.0044749999999999998 0.012376 27.965771 0.0040499999999999998 0 27.707021000000001 0.029928 2.0000000000000002e-05 0.21667399999999998 0.00064700000000000001 0 1 0 3 0 0 198 0 0 0 0 0 0 0 1 14 14
92 92 linear 0 7 2 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016821262977318497 0.5 0.00082687554476965075 13087.98547671294 0 17 16 28.440517 28.440434 28.369344000000002 0.071089999999998099 10 3 0 0.0046360000000000004 0.013827000000000001 28.072823 0.0038470000000000002 0 27.823893999999999 0.029803 2.0000000000000002e-05 0.20494899999999996 0.00059400000000000002 0 1 0 3 0 0 198 0 0 0 0 0 0 0 1 14 14
