row	u	axis	arm	gradient	quality	reference	actual_abs_error	ledger_total	radial	inner	geometry	event	roundoff	nodes
99	0.0	X	p_only	17.042609887299207	ToleranceMet	17.04260957790129	3.0939791884065926e-07	0.006549118924753736	0.006544557363739414	0.0	3.332922139472556e-09	4.558228070219568e-06	2.196255955439534e-14	300
99	0.0	X	h_split_at_4	17.26027913754309	FiniteUncertified	17.04260957790129	0.21766955964180212	1.9763739723538265	1.9763694155184968	0.0	5.409324743194236e-11	4.556781214533094e-06	2.1890425693020245e-14	89
99	0.0	Y	p_only	36.010207100782154	ToleranceMet	36.010206446936074	6.538460795013634e-07	0.013837969401044937	0.013828331045031448	0.0	7.041457587166866e-09	9.63131450949551e-06	4.6405821350095355e-14	300
99	0.0	Y	h_split_at_4	36.47013162791261	FiniteUncertified	36.010206446936074	0.45992518097653345	4.175981965460464	4.175972337089608	0.0	1.1343611333905186e-10	9.628257373659597e-06	4.625340597908023e-14	89
100	0.5	X	p_only	16.91829013675337	ToleranceMet	16.918289951078755	1.856746152384403e-07	0.0039338016804448496	0.0039310245004836476	1.8067756050489852e-08	1.9997532836835337e-09	2.7571124287087667e-06	2.3159572491996316e-14	300
100	0.5	X	h_split_at_4	17.048891637616318	FiniteUncertified	16.918289951078755	0.1306016865375632	1.3028135751888585	1.3028107012349202	1.8026528914307588e-08	3.2455948459165416e-11	2.855894930274969e-06	2.3165111790358037e-14	89
100	0.5	Y	p_only	35.74752552884675	ToleranceMet	35.747525136525304	3.923214464407465e-07	0.00831194475670797	0.00830606336296783	5.1524172392727296e-08	4.224874552300121e-09	5.825644644260924e-06	4.8935051492760266e-14	300
100	0.5	Y	h_split_at_4	36.02348014099197	FiniteUncertified	35.747525136525304	0.27595500446666676	2.752781668123342	2.752775581767362	5.192059795420788e-08	6.806166800343111e-11	6.034367271706497e-06	4.89467557878437e-14	89
