type	row	name	axis	h_index	offset	resolution	nr	subdivisions	angular	mu0	mu_half	fail	segment	node	kind	sturm_roots	fail_R	radial_nodes	arc_nodes	full_nodes	empty_nodes	min_phi
REF	99	rand035	X	1	1	3	80	4	384	6.3080716296736297	6.2934329408382741	0	-1	-1	-1	-1	nan	1280	1276	0	4	3.8407935511878159e-16
REF	99	rand035	X	1	1	4	112	8	768	6.3080716296735062	6.2934329408381995	0	-1	-1	-1	-1	nan	3584	3576	0	8	6.2927430392799023e-18
REF	99	rand035	X	1	1	5	128	16	1024	6.3080716296735106	6.2934329408382048	0	-1	-1	-1	-1	nan	8192	8178	0	14	5.151458890374993e-19
TOPO	99	rand035	X	1	2	3.7654627398538906e-05	0	11	12	3.3562047979692293
REF	99	rand035	X	1	2	0	48	1	96	6.3087133594614757	6.2940699058278673	0	-1	-1	-1	-1	nan	240	240	0	0	3.1211860909049757e-13
REF	99	rand035	X	1	2	1	48	1	384	6.3087133594614757	6.2940699058278682	0	-1	-1	-1	-1	nan	240	240	0	0	1.9509045252867727e-14
REF	99	rand035	X	1	2	2	80	1	384	6.3087131514162138	6.2940697810007116	0	-1	-1	-1	-1	nan	400	399	0	1	2.5712701265454574e-15
REF	99	rand035	X	1	2	3	80	4	384	6.3087131505284848	6.2940697804680745	0	-1	-1	-1	-1	nan	1600	1598	0	2	1.6075742825206384e-16
REF	99	rand035	X	1	2	4	112	8	768	6.3087131505284813	6.2940697804680728	0	-1	-1	-1	-1	nan	4480	4476	0	4	2.6353747728545032e-18
REF	99	rand035	X	1	2	5	128	16	1024	6.3087131505284857	6.2940697804680772	0	-1	-1	-1	-1	nan	10240	10233	0	7	2.2219205559595502e-19
TOPO	99	rand035	X	2	-2	1.8827313699269453e-05	0	11	12	3.3562093087114357
REF	99	rand035	X	2	-2	0	48	1	96	6.3067981403722939	6.2921648232134109	0	-1	-1	-1	-1	nan	192	192	0	0	3.8056916519249677e-14
REF	99	rand035	X	2	-2	1	48	1	384	6.3067981403722939	6.2921648232134109	0	-1	-1	-1	-1	nan	192	192	0	0	2.3787562962751186e-15
