repeat method points cycles ns_per_correction nonfinite
0 0 2082 32 468.89308657540823 0
0 1 2082 32 372.56560698847261 0
1 1 2082 32 374.79442843419787 0
1 0 2082 32 469.14494776657062 0
2 0 2082 32 468.98854767050915 0
2 1 2082 32 373.56803854466858 0
3 1 2082 32 372.86152137367918 0
3 0 2082 32 469.65389349183476 0
4 0 2082 32 469.60665826128724 0
4 1 2082 32 373.62639589337175 0
5 1 2082 32 372.88523655139289 0
5 0 2082 32 468.91818263688759 0
6 0 2082 32 469.28408681556198 0
6 1 2082 32 372.52242435158502 0
7 1 2082 32 372.86597922670506 0
7 0 2082 32 470.78557276657062 0
