case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive
0 linear 0 0 50.908392999999997 7.0379226907888537 1 67 49.702724000000003 0.032329999999999998 0.22817200000000004 0.0079089999999999994 0.0020230000000000001 0.0097970000000000002 0.025048999999999998 0.18837799999999999 0.339756 48.864559 0.101774 2.8e-05 0.060093000000000001 0.0080389999999999993 0.013147999999999998 0.15024500000000005 0.032753000000000004 0.0088320000000000013 0 0 0 0 0 0 0 0 0 0 49.501928999999997 49.666870000000003 0.0098750000000000001 0.0071910000000000003 0.014053 0.00063400000000000001 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.11224400000000004 0 0 6
0 linear 0 7 49.624721999999998 7.165175685042759 1 83 49.180635000000002 0.012425 0.38128000000000006 0.0075149999999999991 0.0017279999999999999 0.0037950000000000002 0.012545000000000001 0.017691999999999999 0.36407600000000001 48.640087999999999 0.091150000000000009 2.8e-05 0.017797 0.0036800000000000001 0.005633 0.26972499999999999 0.053946000000000001 0.013645000000000008 0 1 15 15 0 0 0 0 0 0 49.101495999999997 49.165601000000002 0.0033839999999999999 0.0081390000000000004 0.012959000000000002 0.00064300000000000002 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.179286 0 0 7
0 linear 0 15 49.632883 7.2540425509600803 1 91 49.310054999999998 0.011724999999999999 0.28158499999999997 0.0065810000000000009 0.001503 0.0032780000000000001 0.010817 0.010336 0.25004799999999999 48.845960000000005 0.091377000000000014 3.1999999999999999e-05 0.08434599999999999 0.001853 0.0041799999999999997 0.19849800000000004 0.044207000000000017 0.010293000000000007 0 2 13 13 0 0 0 0 0 0 49.180627000000001 49.302083000000003 0.0019480000000000001 0.0055050000000000003 0.013076000000000001 4.3999999999999999e-05 0 1 1 8 0.0027134713756958736 1 63 13 50 2 16 18 0 6 92 13 5 73 0.13072900000000001 0 0 6
0 linear 0 23 49.925449999999998 7.2793514851610421 1 91 49.476224000000002 0.011533 0.40326599999999996 0.010372999999999999 0.001505 0.0029880000000000002 0.010153000000000001 0.008744 0.36958299999999999 48.936124 0.090368000000000004 2.8e-05 0.048786999999999997 0.001624 0.0038779999999999995 0.28311599999999987 0.054340999999999987 0.012918000000000004 0 3 13 13 0 0 0 0 0 0 49.386342999999997 49.469267000000002 0.001688 0.0050670000000000003 0.011967999999999999 4.6e-05 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.19565199999999994 0 0 7
0 linear 1 0 1.012378 589.76731831372365 1 105 0.63556000000000001 0.014173 0.30801800000000001 0.007415999999999999 0.0018500000000000001 0.0044120000000000001 0.0098639999999999995 0.17997099999999999 0.12981899999999999 0 0.0080750000000000006 0.00167 0.25183800000000001 0.0020019999999999999 0.0044570000000000009 0.15777899999999997 0.078426000000000051 0.018337000000000013 0 0 0 0 0.0056039999999999996 1 0 0 14 0 0.327432 0.62542299999999995 0.0011230000000000001 0.0035950000000000001 0.017675000000000003 0.003418 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.081436999999999968 0 0 3
0 linear 1 7 0.673481 593.09247526628167 1 105 0.311413 0.012997999999999999 0.32037700000000002 0.0066650000000000008 0.001462 0.0028249999999999998 0.014121 0.0084510000000000002 0.13916100000000001 0 0.0035790000000000001 0.0010939999999999999 0.103896 0.001078 0.0036879999999999999 0.16482700000000006 0.076610000000000053 0.01756000000000001 0 1 19 19 0.002944 1 0 0 14 0 0.15951000000000001 0.30489300000000003 0.0014120000000000001 0.003558 0.014501999999999999 0.001248 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.089496999999999979 0 0 3
0 linear 1 15 0.93918100000000004 596.53003682974679 1 128 0.41539500000000001 0.016198000000000001 0.4497520000000001 0.0090650000000000001 0.001732 0.0039100000000000003 0.011096 0.0093380000000000008 0.11179699999999999 0 0.0039399999999999999 0.00094700000000000003 0.22531400000000001 0.0018730000000000001 0.0045300000000000002 0.22721100000000014 0.1030800000000001 0.028834000000000016 0 2 19 19 0.0032599999999999999 1 0 0 14 0 0.13500100000000001 0.40623100000000001 0.001913 0.0038249999999999998 0.015428000000000001 0.002085 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.12032800000000002 0 0 3
0 linear 1 23 0.73780999999999997 599.54254534181996 1 128 0.26546799999999998 0.012857 0.42689700000000014 0.0076139999999999992 0.0015050000000000003 0.0027160000000000001 0.0088409999999999999 0.0082920000000000008 0.13250400000000001 0 0.0035010000000000002 0.00092400000000000002 0.071698999999999999 0.001011 0.0038799999999999993 0.21545900000000015 0.099405000000000077 0.022820999999999998 0 3 19 19 0.0030119999999999999 1 0 0 14 0 0.152166 0.25903500000000002 0.0013940000000000001 0.003222 0.014178 0.001338 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.11163599999999999 0 0 3
0 linear 2 0 35.151421999999997 2.3667291596036724 1 61 34.90737 0.012472 0.20288600000000001 0.0068180000000000003 0.001098 0.0029120000000000001 0.0097940000000000006 0.172127 0.332376 34.250056000000001 0.085643999999999998 3.0000000000000001e-05 0.041684000000000006 0.003192 0.0037290000000000001 0.13477100000000003 0.030238000000000001 0.007844000000000002 0 0 0 0 0 0 0 0 0 0 34.821570999999999 34.898271999999999 0.00097099999999999997 0.0052729999999999999 0.011856 6.3e-05 0 0 0 0 0 0 47 21 26 2 10 12 0 6 88 21 3 37 0.079898000000000011 0 0 6
0 linear 2 7 48.061805999999997 2.4102109454225378 1 61 47.758310000000002 0.011690000000000001 0.26414300000000002 0.0070039999999999998 0.0010070000000000001 0.0031939999999999998 0.010489999999999999 0.010612 0.34601799999999999 47.280291000000005 0.087275000000000005 3.6999999999999998e-05 0.010295000000000002 0.0015269999999999999 0.0037069999999999994 0.19259900000000008 0.031403999999999994 0.0094879999999999999 0 1 16 13 0 0 0 0 0 0 47.706353 47.751502000000002 0.0018550000000000001 0.0054679999999999998 0.012259000000000001 6.7000000000000002e-05 0 1 1 8 0.11055858717162853 1 43 16 27 3 9 12 0 5 79 16 3 42 0.12217599999999998 0 0 5
