name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
plan15,0.5,Strict,0,1.0e-03,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.1205006645589828,0.0043222585,12.796687,0.320592,12.473802,0.000021,0.001769,0.482883,0.002936,2490,2490,8,0,0,1,8,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,Strict,0,1.0e-04,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.1205016288542371,0.00042465197,10.395297,0.375954,9.999752,0.000036,0.002876,0.507680,0.004795,2490,2490,8,0,0,1,8,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,Strict,1,1.0e-03,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.1294544594355331,0.0043589451,8.589994,0.218658,7.953421,0.000124,0.003477,0.449557,0.003866,2141,2141,8,0,0,1,8,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,Strict,1,1.0e-04,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.1294554772635701,0.00044604833,7.988986,0.188650,7.783941,0.000041,0.001655,0.444538,0.002074,2141,2141,8,0,0,1,8,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.1205006645589828,0.0043222585,1.276844,0.331809,0.944053,0.000041,0.002307,0.446649,0.003349,176,176,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.5,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.1205016288542371,0.00042465197,1.330754,0.293735,1.035155,0.000019,0.001474,0.428761,0.001894,216,216,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.5,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.1294544594355331,0.0043589451,1.080076,0.176716,0.901258,0.000019,0.001390,0.440780,0.001753,176,176,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.5,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.1294554772635701,0.00044604833,1.198567,0.178693,1.017784,0.000022,0.001330,0.420262,0.001720,232,232,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.0,None,0,1.0e-03,0,Converged,Converged,Converged,1,13.730120074185391,0.010819484,1.173897,0.409189,0.764033,0.000018,0.001960,0.538421,0.003454,119,119,8,3,3,1,5,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.0,None,0,1.0e-04,0,Converged,Converged,Converged,1,13.730116144653451,0.00071444952,1.198956,0.406534,0.791274,0.000020,0.001428,0.528808,0.001910,151,151,8,3,3,1,5,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
