case_id configuration_id profile d_bin_index epoch_index rep lane q rho s x y time u X reference topology_status cells events whole_classify_ms profile_topology_ms radial_events_ms cell_topology_remainder_ms physical_real_events soft_events d14_coeff_ms d14_struct_build_ms d14_expand_ms d14_solve_ms presearch_ms d14real_ms qf_polish_ms residual_eval_ms completeness_check_ms physical_classify_ms soft_event_ms qf_warm_calls qf_cold_calls warm_seeded presearch_sweeps dd_sweeps qf_warm_sweeps presearch_active_fallbacks presearch_nonfinite_failures presearch_failure_code presearch_failure_sweep presearch_failure_root presearch_last_finite_handoffs qf_cold_sweeps d14real_calls d14real_finite_calls d14real_nonconverged completeness_fails root_count_bad conjugacy_bad vieta_bad root_clusters captured_root_records qf_root_count
92 92 linear 0 0 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016817436700993973 0.5 0.00083070182109417495 13038.465036666923 0 17 16 28.789643999999999 28.789548 28.699204999999999 0.090343000000000728 10 3 0 0.013297 0.027095999999999999 28.340613000000001 0.016621 0.01661 27.79889 0.045962000000000003 3.4999999999999997e-05 0.20380699999999999 0.001933 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
92 92 linear 0 7 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016821262977318497 0.5 0.00082687554476965075 13087.98547671294 0 17 16 28.641908999999998 28.641845 28.575130999999999 0.06671400000000105 10 3 0 0.0047559999999999998 0.013502 28.312667999999999 0.0017030000000000001 0.0014450000000000001 27.817364999999999 0.031510000000000003 3.1999999999999999e-05 0.16731599999999999 0.00066500000000000001 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
92 92 linear 0 15 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016825635864546527 0.5 0.00082250265754162111 13129.319885231944 0 17 16 28.628640999999998 28.628578999999998 28.553723000000002 0.074855999999996925 10 3 0 0.0033430000000000001 0.012682000000000001 28.242656 0.001562 0.001315 27.771101000000002 0.029727 2.8e-05 0.22029699999999999 0.00063900000000000003 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
92 92 linear 0 23 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016830008751774556 0.5 0.00081812977031359146 13164.291226813451 0 17 16 28.616667 28.616613000000001 28.547805 0.068808000000000646 10 3 0 0.0044949999999999999 0.012605999999999999 28.255341000000001 0.001495 0.001271 27.762955999999999 0.031694 2.5999999999999998e-05 0.197573 0.00061300000000000005 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
92 92 linear 0 0 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016817436700993973 0.5 0.00083070182109417495 13038.465036666923 0 17 16 28.560096000000001 28.560040999999998 28.49249 0.06755099999999814 10 3 0 0.0031879999999999999 0.012546 28.200692 0.0011820000000000001 0.0012669999999999999 27.734176000000001 0.029427999999999999 2.5999999999999998e-05 0.20167799999999997 0.00056999999999999998 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
92 92 linear 0 7 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016821262977318497 0.5 0.00082687554476965075 13087.98547671294 0 17 16 28.551447 28.551383999999999 28.475155000000001 0.076228999999997882 10 3 0 0.0044970000000000001 0.01363 28.216439999999999 0.001248 0.0012310000000000001 27.752072999999999 0.029404 2.0000000000000002e-05 0.166851 0.00061200000000000002 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
92 92 linear 0 15 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016825635864546527 0.5 0.00082250265754162111 13129.319885231944 0 17 16 28.630718000000002 28.630661 28.555109000000002 0.075551999999998287 10 3 0 0.0044289999999999998 0.012512000000000001 28.241788 0.001519 0.001305 27.772590999999998 0.030244 3.0000000000000001e-05 0.22204300000000002 0.00059800000000000001 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
92 92 linear 0 23 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016830008751774556 0.5 0.00081812977031359146 13164.291226813451 0 17 16 28.624649000000002 28.624592 28.553242999999998 0.071349000000001439 10 3 0 0.0043810000000000003 0.01222 28.259743 0.0013500000000000001 0.001281 27.769261 0.031534 2.8e-05 0.20020600000000002 0.00061499999999999999 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
92 92 linear 0 0 2 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016817436700993973 0.5 0.00083070182109417495 13038.465036666923 0 17 16 28.602318 28.602264000000002 28.53463 0.067634000000001748 10 3 0 0.003405 0.012674 28.241924000000001 0.0012719999999999999 0.001284 27.768214 0.029544000000000001 1.9000000000000001e-05 0.20216699999999999 0.00064300000000000002 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
92 92 linear 0 7 2 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016821262977318497 0.5 0.00082687554476965075 13087.98547671294 0 17 16 28.589997 28.589935000000001 28.510704 0.079231000000000051 10 3 0 0.0044419999999999998 0.012366 28.240397999999999 0.0013649999999999999 0.0012310000000000001 27.747236999999998 0.030186000000000001 2.6999999999999999e-05 0.17505699999999999 0.00064999999999999997 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
92 92 linear 0 15 2 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016825635864546527 0.5 0.00082250265754162111 13129.319885231944 0 17 16 28.669778999999998 28.669716000000001 28.594729999999998 0.074986000000002662 10 3 0 0.003395 0.012586 28.283405999999999 0.001353 0.0012999999999999999 27.817723000000001 0.029135999999999999 2.5999999999999998e-05 0.22132199999999999 0.00061799999999999995 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
92 92 linear 0 23 2 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016830008751774556 0.5 0.00081812977031359146 13164.291226813451 0 17 16 28.640882999999999 28.640827999999999 28.571451 0.069376999999999356 10 3 0 0.0044289999999999998 0.012282 28.277559 0.0011640000000000001 0.001292 27.785764 0.031682000000000002 2.6999999999999999e-05 0.199514 0.00064999999999999997 0 1 0 1 0 0 0 1 6 1 0 1 198 1 0 1 0 0 0 0 1 14 14
