case_id configuration_id profile d_bin_index epoch_index rep lane q rho s x y time u X reference topology_status cells events whole_classify_ms profile_topology_ms radial_events_ms cell_topology_remainder_ms physical_real_events soft_events d14_coeff_ms d14_struct_build_ms d14_expand_ms d14_solve_ms presearch_ms d14real_ms qf_polish_ms residual_eval_ms completeness_check_ms physical_classify_ms soft_event_ms qf_warm_calls qf_cold_calls warm_seeded presearch_sweeps dd_sweeps qf_warm_sweeps presearch_active_fallbacks presearch_nonfinite_failures presearch_failure_code presearch_failure_sweep presearch_failure_root presearch_last_finite_handoffs qf_cold_sweeps d14real_calls d14real_finite_calls d14real_nonconverged completeness_fails root_count_bad conjugacy_bad vieta_bad root_clusters captured_root_records qf_root_count
92 92 linear 0 0 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016817436700993973 0.5 0.00083070182109417495 13038.465036666923 0 17 16 1.3686510000000001 1.368547 1.293045 0.075501999999999958 10 3 0 0.011424999999999999 0.022423999999999999 0.91879599999999995 0.26945200000000002 0.13935700000000001 0 0.041912999999999999 0.001622 0.221494 0.0068820000000000001 0 0 0 200 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 1 14 14
92 92 linear 0 7 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016821262977318497 0.5 0.00082687554476965075 13087.98547671294 0 17 16 1.2202660000000001 1.220197 1.1574800000000001 0.062716999999999912 10 3 0 0.0034970000000000001 0.014053 0.86161299999999996 0.233712 0.15575 0 0.029843000000000001 0.001088 0.20477500000000004 0.00063100000000000005 0 0 0 200 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 1 14 14
92 92 linear 0 15 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016825635864546527 0.5 0.00082250265754162111 13129.319885231944 0 17 16 1.182237 1.1821809999999999 1.114749 0.067431999999999936 10 3 0 0.0033010000000000001 0.013499000000000001 0.81823299999999999 0.23380500000000001 0.11995599999999999 0 0.029477 0.001057 0.209258 0.00055099999999999995 0 0 0 200 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 1 14 14
92 92 linear 0 23 0 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016830008751774556 0.5 0.00081812977031359146 13164.291226813451 0 17 16 1.2216020000000001 1.2215469999999999 1.1561889999999999 0.065358000000000027 10 3 0 0.0031510000000000002 0.012154999999999999 0.86034299999999997 0.23184199999999999 0.15366299999999999 0 0.029776 0.0010369999999999999 0.21249699999999996 0.000629 0 0 0 200 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 1 14 14
92 92 linear 0 0 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016817436700993973 0.5 0.00083070182109417495 13038.465036666923 0 17 16 1.186723 1.1866699999999999 1.137867 0.04880299999999993 10 3 0 0.0030500000000000002 0.011785 0.83441299999999996 0.23175999999999999 0.132164 0 0.029305000000000001 0.0010449999999999999 0.208347 0.00059500000000000004 0 0 0 200 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 1 14 14
92 92 linear 0 7 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016821262977318497 0.5 0.00082687554476965075 13087.98547671294 0 17 16 1.2045619999999999 1.2045079999999999 1.144938 0.059569999999999901 10 3 0 0.0032320000000000001 0.012408000000000001 0.85256299999999996 0.232046 0.15620800000000001 0 0.029288999999999999 0.0010070000000000001 0.20534900000000003 0.00054299999999999997 0 0 0 200 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 1 14 14
92 92 linear 0 15 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016825635864546527 0.5 0.00082250265754162111 13129.319885231944 0 17 16 1.1756390000000001 1.1755899999999999 1.1082529999999999 0.06733699999999998 10 3 0 0.0030720000000000001 0.012116 0.81463600000000003 0.23463999999999999 0.115865 0 0.029488 0.001021 0.21066099999999999 0.00052999999999999998 0 0 0 200 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 1 14 14
92 92 linear 0 23 1 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016830008751774556 0.5 0.00081812977031359146 13164.291226813451 0 17 16 1.219794 1.219732 1.1537999999999999 0.065932000000000102 10 3 0 0.0030149999999999999 0.011842 0.85787400000000003 0.232154 0.150088 0 0.029596999999999998 0.00098700000000000003 0.20978099999999997 0.00058699999999999996 0 0 0 200 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 1 14 14
92 92 linear 0 0 2 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016817436700993973 0.5 0.00083070182109417495 13038.465036666923 0 17 16 1.1946669999999999 1.1946060000000001 1.1373789999999999 0.057227000000000139 10 3 0 0.003003 0.01192 0.83131900000000003 0.23180100000000001 0.12967799999999999 0 0.029928 0.001021 0.208061 0.00056400000000000005 0 0 0 200 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 1 14 14
92 92 linear 0 7 2 cold 0.0045820894088154547 3.1430126951461966e-05 3.8691964055932191 0.016823722726384265 -1.7129651189458623e-05 0.016821262977318497 0.5 0.00082687554476965075 13087.98547671294 0 17 16 1.216944 1.216882 1.1483399999999999 0.068542000000000103 10 3 0 0.0042329999999999998 0.012075000000000001 0.85595399999999999 0.23513400000000001 0.154997 0 0.029079000000000001 0.00098700000000000003 0.20501900000000001 0.00052700000000000002 0 0 0 200 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 1 14 14
