max_level	grad_rtol	kind	name	u	parameter	rounds	tol	level	nodes	converged	mu	grad	error	quality	n	h	stop	grad_reason	radial	inner	geometry	reference	absolute_error	relative_error
4	0.01	budget	caustic-cross	0.0	4	8	0.001	3	183	1	31.9440892479094	-1.9282448325819788	9.573823905586888	2	0	0	Converged	2	9.573811135335625	0.0	1.1136132179815219e-10	-2.404688419943568	0.4764435873615893	0.1981311106296134
4	0.01	budget	caustic-cross	0.0	4	32	0.001	3	359	1	31.9440892479094	-2.2856896378657083	3.3002103880695666	2	0	0	Converged	2	3.3001976177985983	0.0	1.3106385277537032e-10	-2.404688419943568	0.11899878207785974	0.04948615425222214
4	0.01	budget	caustic-cross	0.0	4	64	0.001	3	529	1	31.9440892479094	-2.4025688990349927	0.740866633877894	2	0	0	Converged	2	0.740853854350397	0.0	1.913827781587364e-10	-2.404688419943568	0.0021195209085753675	0.0008814118665008198
4	0.001	budget	caustic-cross	0.0	4	8	0.001	3	183	1	31.9440892479094	-1.9282448325819788	9.573823905586888	2	0	0	Converged	2	9.573811135335625	0.0	1.1136132179815219e-10	-2.404688419943568	0.4764435873615893	0.1981311106296134
4	0.001	budget	caustic-cross	0.0	4	32	0.001	3	359	1	31.9440892479094	-2.2856896378657083	3.3002103880695666	2	0	0	Converged	2	3.3001976177985983	0.0	1.3106385277537032e-10	-2.404688419943568	0.11899878207785974	0.04948615425222214
4	0.001	budget	caustic-cross	0.0	4	64	0.001	3	529	1	31.9440892479094	-2.4025688990349927	0.740866633877894	2	0	0	Converged	2	0.740853854350397	0.0	1.913827781587364e-10	-2.404688419943568	0.0021195209085753675	0.0008814118665008198
5	0.01	budget	caustic-cross	0.0	4	8	0.001	3	189	1	31.9440898727378	-3.1136390637489884	11.008776904689649	2	0	0	Converged	2	11.00876413443746	0.0	1.1228380825293829e-10	-2.404688419943568	0.7089506438054203	0.2948201679376231
5	0.01	budget	caustic-cross	0.0	4	32	0.001	3	417	1	31.9440898727378	-2.6554812814479862	4.680102912296063	2	0	0	Converged	2	4.680090142035754	0.0	1.2040526816137082e-10	-2.404688419943568	0.25079286150441815	0.10429328782242134
5	0.01	budget	caustic-cross	0.0	4	64	0.001	3	721	1	31.9440898727378	-2.5967801017815	1.3316951648673696	2	0	0	Converged	2	1.3316823853826567	0.0	1.4859859503937616e-10	-2.404688419943568	0.1920916818379319	0.07988215032134592
5	0.001	budget	caustic-cross	0.0	4	8	0.001	3	189	1	31.9440898727378	-3.1136390637489884	11.008776904689649	2	0	0	Converged	2	11.00876413443746	0.0	1.1228380825293829e-10	-2.404688419943568	0.7089506438054203	0.2948201679376231
5	0.001	budget	caustic-cross	0.0	4	32	0.001	3	417	1	31.9440898727378	-2.6554812814479862	4.680102912296063	2	0	0	Converged	2	4.680090142035754	0.0	1.2040526816137082e-10	-2.404688419943568	0.25079286150441815	0.10429328782242134
5	0.001	budget	caustic-cross	0.0	4	64	0.001	3	721	1	31.9440898727378	-2.5967801017815	1.3316951648673696	2	0	0	Converged	2	1.3316823853826567	0.0	1.4859859503937616e-10	-2.404688419943568	0.1920916818379319	0.07988215032134592
6	0.01	budget	caustic-cross	0.0	4	8	0.001	3	199	1	31.944397276958316	-1.7277303157057196	15.261340211430806	2	0	0	Converged	2	15.261327441178995	0.0	1.1190557803749847e-10	-2.404688419943568	0.6769581042378485	0.2815159330512079
6	0.01	budget	caustic-cross	0.0	4	32	0.001	3	575	1	31.944397276958316	-2.4746794165179296	4.621039185517104	2	0	0	Converged	2	4.621026415237547	0.0	1.3965152505518435e-10	-2.404688419943568	0.06999099657436147	0.02910605631643703
6	0.01	budget	caustic-cross	0.0	4	64	0.001	3	1010	1	31.944397276958316	-2.4294366075845746	1.4340990852424498	2	0	0	Converged	2	1.4340863057199025	0.0	1.8643319945754724e-10	-2.404688419943568	0.024748187641006503	0.010291640046067706
6	0.001	budget	caustic-cross	0.0	4	8	0.001	3	199	1	31.944397276958316	-1.7277303157057196	15.261340211430806	2	0	0	Converged	2	15.261327441178995	0.0	1.1190557803749847e-10	-2.404688419943568	0.6769581042378485	0.2815159330512079
6	0.001	budget	caustic-cross	0.0	4	32	0.001	3	575	1	31.944397276958316	-2.4746794165179296	4.621039185517104	2	0	0	Converged	2	4.621026415237547	0.0	1.3965152505518435e-10	-2.404688419943568	0.06999099657436147	0.02910605631643703
6	0.001	budget	caustic-cross	0.0	4	64	0.001	3	1010	1	31.944397276958316	-2.4294366075845746	1.4340990852424498	2	0	0	Converged	2	1.4340863057199025	0.0	1.8643319945754724e-10	-2.404688419943568	0.024748187641006503	0.010291640046067706
8	0.01	budget	caustic-cross	0.0	4	8	0.001	3	385	1	31.944397276958316	-2.3805652373157327	10.949371728329504	2	0	0	Converged	2	10.94935895807122	0.0	1.18380587070403e-10	-2.404688419943568	0.024123182627835416	0.010031729028911581
8	0.01	budget	caustic-cross	0.0	4	32	0.001	3	1395	1	31.944397276958316	-2.22847389048734	4.601017133112326	2	0	0	Converged	2	4.601004362790193	0.0	1.822290195373289e-10	-2.404688419943568	0.17621452945622806	0.0732795683610284
8	0.01	budget	caustic-cross	0.0	4	64	0.001	3	2650	1	31.944397276958316	-2.417061492648955	1.40319034374008	2	0	0	Converged	2	1.4031775641584132	0.0	2.4555238673383045e-10	-2.404688419943568	0.01237307270538679	0.005145395387930198
8	0.001	budget	caustic-cross	0.0	4	8	0.001	3	385	1	31.944397276958316	-2.3805652373157327	10.949371728329504	2	0	0	Converged	2	10.94935895807122	0.0	1.18380587070403e-10	-2.404688419943568	0.024123182627835416	0.010031729028911581
8	0.001	budget	caustic-cross	0.0	4	32	0.001	3	1395	1	31.944397276958316	-2.22847389048734	4.601017133112326	2	0	0	Converged	2	4.601004362790193	0.0	1.822290195373289e-10	-2.404688419943568	0.17621452945622806	0.0732795683610284
8	0.001	budget	caustic-cross	0.0	4	64	0.001	3	2650	1	31.944397276958316	-2.417061492648955	1.40319034374008	2	0	0	Converged	2	1.4031775641584132	0.0	2.4555238673383045e-10	-2.404688419943568	0.01237307270538679	0.005145395387930198
4	0.01	budget	caustic-cross	0.5	0	8	0.001	3	191	1	33.289196341029765	82.33221681819674	72.87515193476784	2	0	0	Converged	2	72.87288990698077	0.0022482743120124	1.6894242896495894e-10	77.45309452467096	4.879122293525782	0.06299454300010758
