max_level	grad_rtol	kind	name	u	parameter	rounds	tol	level	nodes	converged	mu	grad	error	quality	n	h	stop	grad_reason	radial	inner	geometry	reference	absolute_error	relative_error
4	0.01	budget	caustic-cross	0.0	4	8	0.001	3	165	1	31.944397276958316	-0.841741249983091	15.63886503800532	2	0	0	Converged	2	15.638852267753691	0.0	1.1172635004403087e-10	-2.404688419943568	1.5629471699604771	0.6499582885657824
4	0.01	budget	caustic-cross	0.0	4	32	0.001	3	341	1	31.944397276958316	-2.758611245727417	4.775711449180659	2	0	0	Converged	2	4.775698678921136	0.0	1.1961959411478874e-10	-2.404688419943568	0.3539228257838487	0.14718032608655152
4	0.01	budget	caustic-cross	0.0	4	64	0.001	3	577	1	31.944397276958316	-2.402568899035352	0.7408666338798364	2	0	0	Converged	2	0.740853854350283	0.0	1.9343923085634091e-10	-2.404688419943568	0.0021195209082160993	0.0008814118663514165
4	0.001	budget	caustic-cross	0.0	4	8	0.001	3	165	1	31.944397276958316	-0.841741249983091	15.63886503800532	2	0	0	Converged	2	15.638852267753691	0.0	1.1172635004403087e-10	-2.404688419943568	1.5629471699604771	0.6499582885657824
4	0.001	budget	caustic-cross	0.0	4	32	0.001	3	341	1	31.944397276958316	-2.758611245727417	4.775711449180659	2	0	0	Converged	2	4.775698678921136	0.0	1.1961959411478874e-10	-2.404688419943568	0.3539228257838487	0.14718032608655152
4	0.001	budget	caustic-cross	0.0	4	64	0.001	3	577	1	31.944397276958316	-2.402568899035352	0.7408666338798364	2	0	0	Converged	2	0.740853854350283	0.0	1.9343923085634091e-10	-2.404688419943568	0.0021195209082160993	0.0008814118663514165
5	0.01	budget	caustic-cross	0.0	4	8	0.001	3	183	1	31.944397276958316	-2.799671972323696	12.71229735858246	2	0	0	Converged	2	12.71228458833056	0.0	1.119948216681428e-10	-2.404688419943568	0.3949835523801277	0.16425560546816997
5	0.01	budget	caustic-cross	0.0	4	32	0.001	3	411	1	31.944397276958316	-2.2358881049378545	5.283677190370176	2	0	0	Converged	2	5.283664420104441	0.0	1.2582972458648286e-10	-2.404688419943568	0.16880031500571357	0.07019633546107187
5	0.01	budget	caustic-cross	0.0	4	64	0.001	3	715	1	31.944397276958316	-2.228877834623212	1.4901896355000717	2	0	0	Converged	2	1.4901768559661983	0.0	1.9775892340683198e-10	-2.404688419943568	0.17581058532035598	0.0731115864584576
5	0.001	budget	caustic-cross	0.0	4	8	0.001	3	183	1	31.944397276958316	-2.799671972323696	12.71229735858246	2	0	0	Converged	2	12.71228458833056	0.0	1.119948216681428e-10	-2.404688419943568	0.3949835523801277	0.16425560546816997
5	0.001	budget	caustic-cross	0.0	4	32	0.001	3	411	1	31.944397276958316	-2.2358881049378545	5.283677190370176	2	0	0	Converged	2	5.283664420104441	0.0	1.2582972458648286e-10	-2.404688419943568	0.16880031500571357	0.07019633546107187
5	0.001	budget	caustic-cross	0.0	4	64	0.001	3	715	1	31.944397276958316	-2.228877834623212	1.4901896355000717	2	0	0	Converged	2	1.4901768559661983	0.0	1.9775892340683198e-10	-2.404688419943568	0.17581058532035598	0.0731115864584576
6	0.01	budget	caustic-cross	0.0	4	8	0.001	3	199	1	31.944397276958316	-1.7277303157057196	15.261340211430806	2	0	0	Converged	2	15.261327441178995	0.0	1.1190557803749847e-10	-2.404688419943568	0.6769581042378485	0.2815159330512079
6	0.01	budget	caustic-cross	0.0	4	32	0.001	3	575	1	31.944397276958316	-2.4746794165179296	4.621039185517104	2	0	0	Converged	2	4.621026415237547	0.0	1.3965152505518435e-10	-2.404688419943568	0.06999099657436147	0.02910605631643703
6	0.01	budget	caustic-cross	0.0	4	64	0.001	3	1010	1	31.944397276958316	-2.4294366075845746	1.4340990852424498	2	0	0	Converged	2	1.4340863057199025	0.0	1.8643319945754724e-10	-2.404688419943568	0.024748187641006503	0.010291640046067706
6	0.001	budget	caustic-cross	0.0	4	8	0.001	3	199	1	31.944397276958316	-1.7277303157057196	15.261340211430806	2	0	0	Converged	2	15.261327441178995	0.0	1.1190557803749847e-10	-2.404688419943568	0.6769581042378485	0.2815159330512079
6	0.001	budget	caustic-cross	0.0	4	32	0.001	3	575	1	31.944397276958316	-2.4746794165179296	4.621039185517104	2	0	0	Converged	2	4.621026415237547	0.0	1.3965152505518435e-10	-2.404688419943568	0.06999099657436147	0.02910605631643703
6	0.001	budget	caustic-cross	0.0	4	64	0.001	3	1010	1	31.944397276958316	-2.4294366075845746	1.4340990852424498	2	0	0	Converged	2	1.4340863057199025	0.0	1.8643319945754724e-10	-2.404688419943568	0.024748187641006503	0.010291640046067706
8	0.01	budget	caustic-cross	0.0	4	8	0.001	3	385	1	31.944397276958316	-2.3805652373157327	10.949371728329504	2	0	0	Converged	2	10.94935895807122	0.0	1.18380587070403e-10	-2.404688419943568	0.024123182627835416	0.010031729028911581
8	0.01	budget	caustic-cross	0.0	4	32	0.001	3	1395	1	31.944397276958316	-2.22847389048734	4.601017133112326	2	0	0	Converged	2	4.601004362790193	0.0	1.822290195373289e-10	-2.404688419943568	0.17621452945622806	0.0732795683610284
8	0.01	budget	caustic-cross	0.0	4	64	0.001	3	2650	1	31.944397276958316	-2.417061492648955	1.40319034374008	2	0	0	Converged	2	1.4031775641584132	0.0	2.4555238673383045e-10	-2.404688419943568	0.01237307270538679	0.005145395387930198
8	0.001	budget	caustic-cross	0.0	4	8	0.001	3	385	1	31.944397276958316	-2.3805652373157327	10.949371728329504	2	0	0	Converged	2	10.94935895807122	0.0	1.18380587070403e-10	-2.404688419943568	0.024123182627835416	0.010031729028911581
8	0.001	budget	caustic-cross	0.0	4	32	0.001	3	1395	1	31.944397276958316	-2.22847389048734	4.601017133112326	2	0	0	Converged	2	4.601004362790193	0.0	1.822290195373289e-10	-2.404688419943568	0.17621452945622806	0.0732795683610284
8	0.001	budget	caustic-cross	0.0	4	64	0.001	3	2650	1	31.944397276958316	-2.417061492648955	1.40319034374008	2	0	0	Converged	2	1.4031775641584132	0.0	2.4555238673383045e-10	-2.404688419943568	0.01237307270538679	0.005145395387930198
4	0.01	budget	caustic-cross	0.5	0	8	0.001	3	165	1	33.28933563882105	90.2621585543105	122.660301733678	2	0	0	Converged	2	122.65804040262142	0.0022474915655307	1.6277250072725362e-10	77.45309452467096	12.809064029639543	0.16537833779590952
4	0.01	budget	caustic-cross	0.5	0	32	0.001	3	343	1	33.28933563882105	77.0276824968915	29.890989706031316	2	0	0	Converged	2	29.834721280151616	0.0562546723572732	2.1630924228447816e-10	77.45309452467096	0.4254120277794584	0.005492511698728227
4	0.01	budget	caustic-cross	0.5	0	64	0.001	3	577	1	33.28933563882105	77.83694789936848	11.726800049873454	2	0	0	Converged	2	11.670091803522858	0.0566944924865036	5.579791038268519e-10	77.45309452467096	0.383853374697523	0.004955946267263151
4	0.001	budget	caustic-cross	0.5	0	8	0.001	3	165	1	33.28933563882105	90.2621585543105	122.660301733678	2	0	0	Converged	2	122.65804040262142	0.0022474915655307	1.6277250072725362e-10	77.45309452467096	12.809064029639543	0.16537833779590952
4	0.001	budget	caustic-cross	0.5	0	32	0.001	3	343	1	33.28933563882105	77.0276824968915	29.890989706031316	2	0	0	Converged	2	29.834721280151616	0.0562546723572732	2.1630924228447816e-10	77.45309452467096	0.4254120277794584	0.005492511698728227
4	0.001	budget	caustic-cross	0.5	0	64	0.001	3	577	1	33.28933563882105	77.83694789936848	11.726800049873454	2	0	0	Converged	2	11.670091803522858	0.0566944924865036	5.579791038268519e-10	77.45309452467096	0.383853374697523	0.004955946267263151
5	0.01	budget	caustic-cross	0.5	0	8	0.001	3	183	1	33.28933563882105	76.78554994506926	93.4929347810895	2	0	0	Converged	2	93.49067066248097	0.0022502791158561	1.6441017704188718e-10	77.45309452467096	0.6675445796016959	0.008618694755818496
5	0.01	budget	caustic-cross	0.5	0	32	0.001	3	412	1	33.28933563882105	77.95115424348394	33.424768531640254	2	0	0	Converged	2	33.36850043432337	0.0562543437592092	2.5156209936144056e-10	77.45309452467096	0.49805971881298206	0.006430468942132922
5	0.01	budget	caustic-cross	0.5	0	64	0.001	3	725	1	33.28933563882105	77.58727061654515	11.507669802234751	2	0	0	Converged	2	11.344778307387948	0.1628777408887979	6.518963206254785e-10	77.45309452467096	0.13417609187419544	0.0017323528865777807
5	0.001	budget	caustic-cross	0.5	0	8	0.001	3	183	1	33.28933563882105	76.78554994506926	93.4929347810895	2	0	0	Converged	2	93.49067066248097	0.0022502791158561	1.6441017704188718e-10	77.45309452467096	0.6675445796016959	0.008618694755818496
5	0.001	budget	caustic-cross	0.5	0	32	0.001	3	412	1	33.28933563882105	77.95115424348394	33.424768531640254	2	0	0	Converged	2	33.36850043432337	0.0562543437592092	2.5156209936144056e-10	77.45309452467096	0.49805971881298206	0.006430468942132922
5	0.001	budget	caustic-cross	0.5	0	64	0.001	3	725	1	33.28933563882105	77.58727061654515	11.507669802234751	2	0	0	Converged	2	11.344778307387948	0.1628777408887979	6.518963206254785e-10	77.45309452467096	0.13417609187419544	0.0017323528865777807
6	0.01	budget	caustic-cross	0.5	0	8	0.001	3	199	1	33.28933563882105	84.00835288946871	115.53690458767004	2	0	0	Converged	2	115.53463939997064	0.0022513482073717	1.6377077568259118e-10	77.45309452467096	6.555258364797751	0.0846352028285935
6	0.01	budget	caustic-cross	0.5	0	32	0.001	3	543	1	33.28933563882105	81.02668344139094	39.63786151826479	2	0	0	Converged	2	39.58159449455572	0.056253270070224	3.327470360010332e-10	77.45309452467096	3.5735889167199844	0.046138749376652695
6	0.01	budget	caustic-cross	0.5	0	64	0.001	3	1011	1	33.28933563882105	77.66395884938595	15.597694251855344	2	0	0	Converged	2	15.541425650123598	0.0562548478454175	5.80215300572614e-10	77.45309452467096	0.21086432471498995	0.0027224777267979114
6	0.001	budget	caustic-cross	0.5	0	8	0.001	3	199	1	33.28933563882105	84.00835288946871	115.53690458767004	2	0	0	Converged	2	115.53463939997064	0.0022513482073717	1.6377077568259118e-10	77.45309452467096	6.555258364797751	0.0846352028285935
6	0.001	budget	caustic-cross	0.5	0	32	0.001	3	543	1	33.28933563882105	81.02668344139094	39.63786151826479	2	0	0	Converged	2	39.58159449455572	0.056253270070224	3.327470360010332e-10	77.45309452467096	3.5735889167199844	0.046138749376652695
6	0.001	budget	caustic-cross	0.5	0	64	0.001	3	1011	1	33.28933563882105	77.66395884938595	15.597694251855344	2	0	0	Converged	2	15.541425650123598	0.0562548478454175	5.80215300572614e-10	77.45309452467096	0.21086432471498995	0.0027224777267979114
8	0.01	budget	caustic-cross	0.5	0	8	0.001	3	361	1	33.28933563882105	84.19172584582064	99.23808656691	2	0	0	Converged	2	99.23582107096509	0.0022517424357517	2.0307602540746127e-10	77.45309452467096	6.738631321149683	0.08700273839934493
8	0.01	budget	caustic-cross	0.5	0	32	0.001	3	1363	1	33.28933563882105	84.08964697064262	44.6042892671707	2	0	0	Converged	2	44.54802006379365	0.0562554494822935	5.886409569031701e-10	77.45309452467096	6.63655244597166	0.08568479396078531
