max_level	grad_rtol	kind	name	u	parameter	rounds	tol	level	nodes	converged	mu	grad	error	quality	n	h	stop	grad_reason	radial	inner	geometry	reference	absolute_error	relative_error
4	0.01	budget	caustic-cross	0.0	4	8	0.001	3	165	1	31.944397276958316	0.8469209908140528	10.84475612945038	2	0	0	Converged	2	10.844743359197178	0.0	1.1329738398111641e-10	-2.404688419943568	3.251609410757621	1.3521957288894533
4	0.01	budget	caustic-cross	0.0	4	32	0.001	3	341	1	31.944397276958316	-2.758611245727417	2.3632739421971234	2	0	0	Converged	2	2.3632611719376	0.0	1.1961959411478874e-10	-2.404688419943568	0.3539228257838487	0.14718032608655152
4	0.01	budget	caustic-cross	0.0	4	64	0.001	3	569	1	31.944397276958316	-2.4025597533531284	0.4222359324210449	2	0	0	Converged	2	0.4222231620941032	0.0	1.8703715142183543e-10	-2.404688419943568	0.002128666590439643	0.0008852151375559904
4	0.001	budget	caustic-cross	0.0	4	8	0.001	3	165	1	31.944397276958316	0.8469209908140528	10.84475612945038	2	0	0	Converged	2	10.844743359197178	0.0	1.1329738398111641e-10	-2.404688419943568	3.251609410757621	1.3521957288894533
4	0.001	budget	caustic-cross	0.0	4	32	0.001	3	341	1	31.944397276958316	-2.758611245727417	2.3632739421971234	2	0	0	Converged	2	2.3632611719376	0.0	1.1961959411478874e-10	-2.404688419943568	0.3539228257838487	0.14718032608655152
4	0.001	budget	caustic-cross	0.0	4	64	0.001	3	569	1	31.944397276958316	-2.4025597533531284	0.4222359324210449	2	0	0	Converged	2	0.4222231620941032	0.0	1.8703715142183543e-10	-2.404688419943568	0.002128666590439643	0.0008852151375559904
5	0.01	budget	caustic-cross	0.0	4	8	0.001	3	183	1	31.944397276958316	-0.9947103683048004	5.8906849583866	2	0	0	Converged	2	5.890672188128762	0.0	1.1793489233323675e-10	-2.404688419943568	1.4099780516387677	0.5863454241909046
5	0.01	budget	caustic-cross	0.0	4	32	0.001	3	411	1	31.944397276958316	-2.2358881049378545	1.9536795905961375	2	0	0	Converged	2	1.953666820330404	0.0	1.2582972458648286e-10	-2.404688419943568	0.16880031500571357	0.07019633546107187
5	0.01	budget	caustic-cross	0.0	4	64	0.001	3	715	1	31.944397276958316	-2.36248498083694	0.6085065157984298	2	0	0	Converged	2	0.6084937454669928	0.0	1.91532729261948e-10	-2.404688419943568	0.04220343910662816	0.01755048128339994
5	0.001	budget	caustic-cross	0.0	4	8	0.001	3	183	1	31.944397276958316	-0.9947103683048004	5.8906849583866	2	0	0	Converged	2	5.890672188128762	0.0	1.1793489233323675e-10	-2.404688419943568	1.4099780516387677	0.5863454241909046
