max_level grad_rtol kind name u parameter rounds tol level nodes converged mu grad error quality n h stop grad_reason radial inner geometry
4 0.01 budget caustic-cross 0 4 8 0.001 3 165 1 31.944397276958313 -0.84174124998309108 15.638865038005321 2 0 0 Converged 2 15.638852267753691 0 1.1172635004403087e-10
4 0.01 budget caustic-cross 0 4 32 0.001 3 341 1 31.944397276958313 -2.7586112457274172 4.7757114491806592 2 0 0 Converged 2 4.7756986789211355 0 1.1961959411478874e-10
4 0.01 budget caustic-cross 0 4 64 0.001 3 577 1 31.944397276958313 -2.402568899035352 0.74086663387983642 2 0 0 Converged 2 0.74085385435028295 0 1.9343923085634094e-10
4 0.001 budget caustic-cross 0 4 8 0.001 3 165 1 31.944397276958313 -0.84174124998309108 15.638865038005321 2 0 0 Converged 2 15.638852267753691 0 1.1172635004403087e-10
4 0.001 budget caustic-cross 0 4 32 0.001 3 341 1 31.944397276958313 -2.7586112457274172 4.7757114491806592 2 0 0 Converged 2 4.7756986789211355 0 1.1961959411478874e-10
4 0.001 budget caustic-cross 0 4 64 0.001 3 577 1 31.944397276958313 -2.402568899035352 0.74086663387983642 2 0 0 Converged 2 0.74085385435028295 0 1.9343923085634094e-10
5 0.01 budget caustic-cross 0 4 8 0.001 3 183 1 31.944397276958313 -2.7996719723236962 12.712297358582459 2 0 0 Converged 2 12.71228458833056 0 1.1199482166814279e-10
5 0.01 budget caustic-cross 0 4 32 0.001 3 411 1 31.944397276958313 -2.2358881049378545 5.2836771903701747 2 0 0 Converged 2 5.2836644201044409 0 1.2582972458648286e-10
5 0.01 budget caustic-cross 0 4 64 0.001 3 715 1 31.944397276958313 -2.2288778346232117 1.4901896355000717 2 0 0 Converged 2 1.4901768559661985 0 1.9775892340683198e-10
5 0.001 budget caustic-cross 0 4 8 0.001 3 183 1 31.944397276958313 -2.7996719723236962 12.712297358582459 2 0 0 Converged 2 12.71228458833056 0 1.1199482166814279e-10
5 0.001 budget caustic-cross 0 4 32 0.001 3 411 1 31.944397276958313 -2.2358881049378545 5.2836771903701747 2 0 0 Converged 2 5.2836644201044409 0 1.2582972458648286e-10
5 0.001 budget caustic-cross 0 4 64 0.001 3 715 1 31.944397276958313 -2.2288778346232117 1.4901896355000717 2 0 0 Converged 2 1.4901768559661985 0 1.9775892340683198e-10
6 0.01 budget caustic-cross 0 4 8 0.001 3 199 1 31.944397276958313 -1.7277303157057196 15.261340211430806 2 0 0 Converged 2 15.261327441178997 0 1.1190557803749849e-10
6 0.01 budget caustic-cross 0 4 32 0.001 3 575 1 31.944397276958313 -2.4746794165179296 4.6210391855171027 2 0 0 Converged 2 4.6210264152375471 0 1.3965152505518435e-10
6 0.01 budget caustic-cross 0 4 64 0.001 3 1010 1 31.944397276958313 -2.4294366075845746 1.4340990852424498 2 0 0 Converged 2 1.4340863057199025 0 1.8643319945754724e-10
6 0.001 budget caustic-cross 0 4 8 0.001 3 199 1 31.944397276958313 -1.7277303157057196 15.261340211430806 2 0 0 Converged 2 15.261327441178997 0 1.1190557803749849e-10
6 0.001 budget caustic-cross 0 4 32 0.001 3 575 1 31.944397276958313 -2.4746794165179296 4.6210391855171027 2 0 0 Converged 2 4.6210264152375471 0 1.3965152505518435e-10
6 0.001 budget caustic-cross 0 4 64 0.001 3 1010 1 31.944397276958313 -2.4294366075845746 1.4340990852424498 2 0 0 Converged 2 1.4340863057199025 0 1.8643319945754724e-10
8 0.01 budget caustic-cross 0 4 8 0.001 3 385 1 31.944397276958313 -2.3805652373157331 10.949371728329504 2 0 0 Converged 2 10.949358958071219 0 1.1838058707040301e-10
