name,u,policy,warm,rtol,index,input_radius,selected_radius,radius_lo,uncertainty,t_seed,t_seed_valid,topology_reused,precision_tier,double_reason,dd_reason,qf_reason,double_residual,dd_residual
rand033,0,None,0,0.001,0,0.68716718359716922,0.68716718359716922,-2.6617866723815942e-17,2.3976087726355915e-14,-5.045416525857286e-05,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,1.0654792400586559e-36
rand033,0,None,0,0.001,1,0.68723553185372099,0.68723553185372099,1.5996370965995531e-17,2.397705901349981e-14,6.3559555963501696e-05,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,1.2327609430720051e-35
rand033,0,None,0,0.001,2,0.69209918327713427,0.69209918327713427,4.5212509544110661e-17,2.4046175657263321e-14,0.045802159220167345,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,1.1337567682655401e-34
rand033,0,None,0,0.001,3,0.7636662542828816,0.7636662542828816,2.8892083187763629e-17,2.5063204905718544e-14,-0.17142031242253269,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,7.0270607891972707e-33
rand033,0,None,0,0.001,4,1.5100275708424733,1.5100275708424733,-7.2446297361744386e-17,3.5669637140393793e-14,-0.32408265348826676,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,7.3955705118334086e-32
rand033,0,None,0,0.001,5,1.8171306559215039,1.8171306559215039,-6.3134395653902546e-20,4.0033834465042217e-14,0.29521353009808005,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,1.570326533171829e-33
rand033,0,None,0,0.001,6,2.6869018842410322,2.6869018842410322,-1.2664700227267067e-16,5.2394027026153824e-14,3.8824322460882826e-06,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,7.7705939437402564e-35
rand033,0,None,0,0.001,7,2.686970258058845,2.686970258058845,-1.7553066107773757e-16,5.2394998676545086e-14,9.0635394284385776e-06,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,1.5116994456877964e-34
rand033,0,None,0,0.0001,0,0.68716718359716922,0.68716718359716922,-2.6617866723815942e-17,2.3976087726355915e-14,-5.045416525857286e-05,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,1.0654792400586559e-36
rand033,0,None,0,0.0001,1,0.68723553185372099,0.68723553185372099,1.5996370965995531e-17,2.397705901349981e-14,6.3559555963501696e-05,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,1.2327609430720051e-35
