name,u,policy,warm,rtol,stop,value_stop,gradient_stop,value_converged,mu,value_error,nodes,evaluations,event_count,refinement_count,topology_ms,setup_ms,physics_ms,estimator_ms,scheduler_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,event_topology_reuses,event_radius_reuses,event_direct_qf_failures
rand033,0,None,0,0.001,Converged,Converged,Converged,1,12363.403508000911,7.8671044643470029,231,231,8,18,18.239173000000001,0.041140000000000003,1.0546379999999989,0.023285999999999998,0.0026319999999999998,0,8,8,0,0,8,8,0
rand033,0,None,0,0.0001,Converged,Converged,Converged,1,12363.402164717998,0.37493636860878854,263,263,8,21,16.729026000000001,0.019937,1.3469230000000003,0.031102000000000005,0.0037530000000000007,0,8,8,0,0,8,8,0
rand033,0,None,1,0.001,Converged,Converged,Converged,1,12254.514935581936,8.112510157640326,231,231,8,18,0.62901300000000004,0.018041000000000001,1.4318090000000006,0.024007000000000001,0.0023950000000000004,0,8,8,0,0,8,8,0
rand033,0,None,1,0.0001,Converged,Converged,Converged,1,12254.513556069523,1.2162226766523208,255,255,8,20,0.59934699999999996,0.014256,1.3967760000000005,0.023802999999999998,0.0026829999999999996,0,8,8,0,0,8,8,0
rand033,0,ValueFirst,0,0.001,Converged,Converged,BudgetExceeded,1,12363.403508000911,7.8671044643470029,399,399,8,21,15.686776999999999,0.016612999999999999,1.8513849999999992,0.33229200000000003,0.010271999999999998,0,8,8,0,0,8,8,0
rand033,0,ValueFirst,0,0.0001,Converged,Converged,EventLocationLimited,1,12363.402164717998,0.37493636860878854,423,423,8,23,15.630580999999999,0.017625999999999999,1.9376599999999977,0.33515799999999996,0.012709000000000003,0,8,8,0,0,8,8,0
rand033,0,ValueFirst,1,0.001,Converged,Converged,EventLocationLimited,1,12254.514935581936,8.112510157640326,359,359,8,19,0.54734799999999995,0.01435,2.0786840000000004,0.31034699999999998,0.0081880000000000008,0,8,8,0,0,8,8,0
rand033,0,ValueFirst,1,0.0001,Converged,Converged,EventLocationLimited,1,12254.513556069523,1.2162226766523208,383,383,8,21,0.54628200000000005,0.014397999999999999,2.055266,0.311164,0.0087490000000000016,0,8,8,0,0,8,8,0
