case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue
0 linear 0 0 54.830367000000003 7.0379226907888537 1 67 53.713405999999999 0.030158000000000001 0.23193799999999998 0.0056920000000000009 0.0017760000000000002 0.0088760000000000002 0.019977999999999999 0.213065 0.35314200000000001 52.759471000000005 0.099887000000000004 2.6999999999999999e-05 0.063872999999999999 0.0093220000000000004 0.058690000000000006 0.15796399999999999 0.033304999999999974 0.011041999999999993 0
0 linear 0 7 53.401446 7.1651756850427599 1 83 53.048884000000001 0.014148000000000001 0.28114700000000009 0.0066020000000000002 0.0014109999999999999 0.0048430000000000001 0.014042000000000001 0.19789399999999999 0.38489899999999999 52.223300000000002 0.087197999999999998 2.0000000000000002e-05 0.016993999999999999 0.0020509999999999999 0.051150000000000001 0.19528700000000002 0.043165999999999989 0.013400000000000004 0
0 linear 0 15 53.715195000000001 7.2540425509600803 1 91 53.256137000000003 0.013089999999999999 0.37769699999999995 0.0093110000000000016 0.0015809999999999999 0.0044460000000000003 0.012404999999999999 0.19773099999999999 0.27011000000000002 52.486706999999996 0.087803999999999993 2.0000000000000002e-05 0.081888000000000002 0.0016559999999999999 0.051297000000000002 0.27153399999999989 0.052793999999999973 0.015018000000000002 0
0 linear 0 23 53.875765999999999 7.2793514851610421 1 91 53.424745000000001 0.013107000000000001 0.37907999999999997 0.0086149999999999994 0.0023980000000000004 0.003261 0.012302 0.19059799999999999 0.33963599999999999 52.628773000000002 0.088566000000000006 1.9000000000000001e-05 0.049965000000000009 0.00157 0.047918999999999996 0.26315300000000014 0.047872999999999999 0.017220000000000003 0
0 linear 1 0 1.1912670000000001 589.76731831372365 1 105 0.78135299999999996 0.014309000000000001 0.34326199999999985 0.0072900000000000005 0.0015250000000000003 0.0033969999999999998 0.01231 0.195629 0.13106899999999999 0 0.027199000000000001 0.0014 0.25416099999999997 0.0010950000000000001 0.061026000000000004 0.17703499999999997 0.086191999999999991 0.024960000000000003 0
0 linear 1 7 1.0162040000000001 593.09247526628167 1 105 0.63786100000000001 0.014152 0.31423199999999979 0.0066420000000000003 0.001418 0.003277 0.011750999999999999 0.19420799999999999 0.15112900000000001 0 0.027133999999999998 0.000883 0.104688 0.001158 0.055273999999999997 0.15128799999999989 0.077539999999999915 0.023634999999999982 0
0 linear 1 15 1.2830250000000001 596.53003682974679 1 128 0.74788200000000005 0.01421 0.43671099999999996 0.008737 0.001794 0.0030119999999999999 0.010919999999999999 0.19412499999999999 0.141954 0 0.026402999999999999 0.00092699999999999998 0.22761300000000004 0.001108 0.058027000000000002 0.21323099999999987 0.10314700000000006 0.030846999999999982 0
0 linear 1 23 1.088722 599.54254534181996 1 128 0.57733100000000004 0.014088 0.42764000000000024 0.0075679999999999992 0.0015049999999999998 0.0030000000000000001 0.010932000000000001 0.20013400000000001 0.13078500000000001 0 0.026837 0.00087399999999999999 0.072329000000000004 0.00098799999999999995 0.046689999999999995 0.20638500000000007 0.10099700000000007 0.03086599999999997 0
0 linear 2 0 37.780360999999999 2.3667291596036724 1 61 37.518450999999999 0.012318000000000001 0.20899899999999999 0.0071609999999999998 0.001235 0.0031199999999999999 0.011964000000000001 0.197214 0.33899400000000002 36.730969999999999 0.085066000000000003 2.8e-05 0.042533000000000008 0.0014989999999999999 0.050675000000000005 0.13698699999999997 0.032371999999999998 0.0097329999999999969 0
0 linear 2 7 51.461556999999999 2.4102109454225378 1 61 51.175089999999997 0.011972 0.23528899999999997 0.0065279999999999999 0.001013 0.0034880000000000002 0.012265 0.19749900000000001 0.26167800000000002 50.492961000000001 0.084964999999999999 2.9e-05 0.010709 0.001485 0.052233000000000009 0.15457699999999999 0.032666000000000001 0.011442999999999997 0
0 linear 2 15 51.898618999999997 2.4659804224859272 1 61 51.612088 0.011929 0.23427500000000004 0.0075239999999999994 0.0010319999999999999 0.003333 0.012199 0.19306499999999999 0.26346799999999998 50.926501999999999 0.084956999999999991 2.0999999999999999e-05 0.010453 0.0014499999999999999 0.057658999999999995 0.14936699999999997 0.042536999999999985 0.010924000000000001 0
0 linear 2 23 53.823841999999999 2.5300557252343201 1 61 53.534047000000001 0.011672 0.23939299999999999 0.0067589999999999994 0.0010379999999999999 0.0034659999999999999 0.012428 0.195992 0.26488200000000001 52.842876000000004 0.087596999999999994 1.9000000000000001e-05 0.0099809999999999986 0.0016050000000000001 0.054149000000000003 0.16186999999999999 0.036107000000000007 0.009972 0
0 linear 3 0 0.81102700000000005 488.05716329461848 1 83 0.59926100000000004 0.016646000000000001 0.15135300000000004 0.0058139999999999997 0.001284 0.003418 0.011971000000000001 0.19662499999999999 0.116908 0 0.026543000000000001 0.00090499999999999999 0.11266600000000002 0.00062299999999999996 0.034689999999999999 0.07914999999999997 0.034796999999999995 0.012565999999999999 0
