case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue
0 linear 0 0 54.606478000000003 7.0379226907888537 1 67 53.479291000000003 0.031864999999999997 0.225353 0.0061060000000000003 0.0014729999999999999 0.0091000000000000004 0.02376 0.21631300000000001 0.345775 52.508172000000002 0.11540800000000001 3.4999999999999997e-05 0.062424 0.012475 0.060415999999999997 0.14904499999999998 0.033460999999999998 0.011777999999999999 0
0 linear 0 7 53.501345999999998 7.1651756850427599 1 83 53.142541000000001 0.013426 0.29373799999999989 0.0066819999999999987 0.0014339999999999999 0.0040150000000000003 0.015363999999999999 0.198267 0.39184600000000003 52.304040000000001 0.097878999999999994 2.6999999999999999e-05 0.016844000000000001 0.0019689999999999998 0.050593999999999993 0.2068559999999999 0.043349999999999979 0.013342999999999997 0
0 linear 0 15 53.893365000000003 7.2540425509600803 1 91 53.443351999999997 0.013006999999999999 0.37576900000000013 0.0084200000000000004 0.001513 0.004444 0.012477 0.20016200000000001 0.26708999999999999 52.667082000000001 0.097889000000000004 2.5000000000000001e-05 0.08201399999999999 0.001611 0.051216000000000005 0.27123199999999997 0.048788000000000054 0.014936000000000007 0
0 linear 0 23 53.705216 7.2793514851610421 1 91 53.263736000000002 0.012957 0.37925599999999993 0.0094289999999999999 0.0015709999999999999 0.0033249999999999998 0.012511 0.19844899999999999 0.341059 52.447015999999998 0.096950000000000008 2.5000000000000001e-05 0.050067 0.0015510000000000001 0.047776999999999993 0.26551799999999992 0.047812999999999994 0.016108999999999998 0
0 linear 1 0 1.185327 589.76731831372365 1 105 0.786161 0.014324 0.33855000000000007 0.0075390000000000006 0.0016999999999999999 0.0035639999999999999 0.012336 0.19558400000000001 0.13134100000000001 0 0.030027000000000002 0.0010480000000000001 0.25241199999999997 0.001147 0.059663000000000001 0.17417899999999989 0.085334999999999953 0.024147999999999996 0
0 linear 1 7 1.0155639999999999 593.09247526628167 1 105 0.64352500000000001 0.01405 0.31410300000000002 0.0066429999999999996 0.001523 0.0033240000000000001 0.011585 0.19417300000000001 0.15596299999999999 0 0.029361000000000002 0.000883 0.104894 0.0011410000000000001 0.055099999999999996 0.151644 0.077213000000000004 0.023475999999999986 0
0 linear 1 15 1.2879989999999999 596.53003682974679 1 128 0.754027 0.014022 0.43980199999999986 0.0078429999999999993 0.0016680000000000002 0.002931 0.010982 0.19847300000000001 0.142064 0 0.029248 0.00090799999999999995 0.225411 0.0010809999999999999 0.057918000000000004 0.21641600000000005 0.10252799999999997 0.030748999999999957 0
0 linear 1 23 1.0783419999999999 599.54254534181996 1 128 0.57435199999999997 0.01375 0.42963499999999993 0.0070940000000000013 0.0016259999999999998 0.002872 0.011051999999999999 0.19406000000000001 0.132415 0 0.029832000000000001 0.00085499999999999997 0.072191000000000005 0.001044 0.046722 0.20861000000000002 0.10099500000000003 0.030739999999999962 0
0 linear 2 0 37.823051999999997 2.3667291596036724 1 61 37.571722000000001 0.012175 0.20093099999999997 0.0066290000000000012 0.0013699999999999999 0.0031050000000000001 0.011993 0.19096399999999999 0.33966400000000002 36.787455999999999 0.091761999999999996 3.4e-05 0.042438999999999998 0.0016299999999999999 0.050734000000000001 0.12554299999999996 0.034876000000000011 0.011026000000000003 0
0 linear 2 7 51.409982999999997 2.4102109454225378 1 61 51.187210999999998 0.011825 0.18043699999999999 0.0054070000000000003 0.0010110000000000002 0.0045849999999999997 0.012481000000000001 0.19789999999999999 0.26003900000000002 50.499509999999994 0.092081999999999997 3.4999999999999997e-05 0.01064 0.0015690000000000001 0.052320999999999999 0.11970099999999996 0.028708000000000008 0.0093170000000000041 0
