case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue
0 linear 0 0 58.568804999999998 7.0379226907888537 1 67 57.435760999999999 0.029148 0.23337899999999992 0.0058919999999999997 0.001438 0.010269 0.026311000000000001 0.20497399999999999 0.36296400000000001 56.419927000000001 0.11755399999999999 3.4999999999999997e-05 0.066588999999999995 0.012101000000000001 0.060261000000000009 0.15388400000000002 0.033539999999999993 0.011106000000000003 0
0 linear 0 7 53.497750000000003 7.1651756850427599 1 83 53.097313999999997 0.013174999999999999 0.3319410000000001 0.0078320000000000004 0.001464 0.0069930000000000001 0.026124999999999999 0.185057 0.388679 52.259016000000003 0.097186999999999996 2.5000000000000001e-05 0.016854000000000001 0.001586 0.050463000000000001 0.23679499999999998 0.04560800000000001 0.013546999999999997 0
0 linear 0 15 53.769630999999997 7.2540425509600803 1 91 53.313600999999998 0.013011 0.37836400000000003 0.0096000000000000009 0.0015729999999999997 0.0045059999999999996 0.012319999999999999 0.18982099999999999 0.26607500000000001 52.547388999999995 0.097172000000000008 1.9000000000000001e-05 0.085248000000000004 0.0015510000000000001 0.051360999999999997 0.27252700000000013 0.050683999999999986 0.014762999999999998 0
0 linear 0 23 53.684531999999997 7.2793514851610421 1 91 53.284418000000002 0.012944000000000001 0.34473000000000004 0.0076820000000000005 0.0016710000000000002 0.0033790000000000001 0.012234999999999999 0.178005 0.34579399999999999 52.489684000000004 0.096569999999999989 2.5999999999999998e-05 0.049960999999999998 0.0015989999999999999 0.048118000000000008 0.23826900000000001 0.047460000000000016 0.016022999999999996 0
0 linear 1 0 1.137262 589.76731831372365 1 105 0.762069 0.012697 0.31705499999999986 0.0072969999999999997 0.001593 0.0044320000000000002 0.011985000000000001 0.181778 0.13179299999999999 0 0.030388999999999999 0.0010380000000000001 0.25212899999999999 0.001016 0.054377000000000002 0.16201099999999999 0.079328999999999927 0.023376999999999978 0
0 linear 1 7 0.99615799999999999 593.09247526628167 1 105 0.62448800000000004 0.013937 0.31401899999999999 0.0064970000000000002 0.0014569999999999997 0.0030920000000000001 0.011264 0.179955 0.150288 0 0.029739000000000002 0.000901 0.106363 0.001111 0.055163000000000004 0.15140599999999999 0.077128000000000113 0.023511999999999967 0
0 linear 1 15 1.2653209999999999 596.53003682974679 1 128 0.73556999999999995 0.013694 0.43662600000000007 0.0083230000000000005 0.0017929999999999999 0.0029759999999999999 0.010846 0.17993000000000001 0.140454 0 0.029371000000000001 0.00088400000000000002 0.22555100000000003 0.0010219999999999999 0.058349000000000005 0.21197800000000011 0.10277599999999996 0.030751999999999977 0
0 linear 1 23 1.065788 599.54254534181996 1 128 0.56407700000000005 0.013634 0.42732999999999999 0.0072779999999999989 0.0015609999999999999 0.0028709999999999999 0.011098 0.18018100000000001 0.136351 0 0.029994 0.00087500000000000002 0.072083999999999995 0.00096199999999999996 0.046775000000000004 0.20563700000000001 0.10090399999999995 0.030754999999999963 0
0 linear 2 0 37.990665 2.3667291596036724 1 61 37.731490999999998 0.012267999999999999 0.20938400000000001 0.0065550000000000001 0.001753 0.0031280000000000001 0.011893000000000001 0.18292 0.34155200000000002 36.951616000000001 0.092663999999999996 2.6999999999999999e-05 0.043563999999999999 0.0015150000000000001 0.050798000000000003 0.136992 0.032265000000000002 0.0098269999999999989 0
0 linear 2 7 51.595444999999998 2.4102109454225378 1 61 51.317742000000003 0.011221999999999999 0.23078199999999996 0.0073080000000000003 0.001021 0.0034399999999999999 0.012433 0.18770899999999999 0.26084000000000002 50.644494000000002 0.094961000000000004 3.3000000000000003e-05 0.010225 0.001335 0.050364999999999993 0.15767799999999998 0.031409999999999993 0.010643999999999995 0
