case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic
0 linear 0 0 58.728051000000001 7.0379226907888537 1 67 57.493775999999997 0.037096999999999998 0.21628400000000003 0.0072639999999999996 0.0017100000000000001 0.0096539999999999994 0.020001999999999999 0.29370800000000002 0.348221 56.464257000000003 0.11444700000000001 3.0000000000000001e-05 0.065973999999999991 0.0087709999999999993 0.0094340000000000014 0.1457 0.03109499999999998 0.0084899999999999993 0 0 0 0 0 0 0 0 0 0 57.274839999999998 57.462176999999997 0.010763 0.012182 0.014649000000000002 0.00080099999999999995 0.045548999999999999
0 linear 0 7 53.140172 7.165175685042759 1 83 52.713273999999998 0.011372999999999999 0.36320699999999995 0.0080739999999999996 0.0013699999999999997 0.0095940000000000001 0.023314000000000001 0.092293 0.26487500000000003 52.152278000000003 0.090281 2.5000000000000001e-05 0.016447999999999997 0.0018890000000000001 0.0040400000000000002 0.26273199999999991 0.048642999999999964 0.011667000000000005 0 1 15 15 0 0 0 0 0 0 52.631134000000003 52.704298999999999 0.0060169999999999998 0.0054229999999999999 0.012559000000000001 7.2000000000000002e-05 0.038564000000000001
0 linear 0 15 53.607574 7.2540425509600803 1 91 53.170413000000003 0.011452 0.39294900000000005 0.007705 0.0015849999999999998 0.0032109999999999999 0.010337000000000001 0.087096999999999994 0.30251899999999998 52.547564000000001 0.090487999999999999 2.0000000000000002e-05 0.079757999999999996 0.001869 0.0038159999999999999 0.28802299999999997 0.050023999999999985 0.012629000000000005 0 2 13 13 0 0 0 0 0 0 53.048166999999999 53.163412999999998 0.001668 0.0053220000000000003 0.012374999999999999 5.8e-05 0.038098
0 linear 0 23 53.698743 7.2793514851610421 1 91 53.279308 0.01116 0.37594299999999992 0.0086160000000000021 0.0014730000000000001 0.003222 0.010185 0.084076999999999999 0.26020900000000002 52.734732999999999 0.090194999999999997 1.9000000000000001e-05 0.048500000000000001 0.0017420000000000001 0.0037829999999999995 0.25759300000000007 0.053990000000000017 0.013986000000000014 0 3 13 13 0 0 0 0 0 0 53.188898999999999 53.272432000000002 0.001707 0.0053489999999999996 0.012264000000000001 5.8999999999999998e-05 0.038371000000000002
0 linear 1 0 1.1605970000000001 589.76731831372365 1 105 0.78689900000000002 0.012272 0.30689799999999995 0.0072470000000000008 0.0016299999999999999 0.0033189999999999999 0.0097079999999999996 0.30283199999999999 0.13086 0 0.011350000000000001 0.0012600000000000001 0.25158000000000003 0.0015560000000000001 0.0038980000000000004 0.15906799999999996 0.078075000000000103 0.017375000000000015 0 0 0 0 0.0042399999999999998 1 0 0 14 0 0.48497099999999999 0.77917599999999998 0.0010169999999999999 0.003388 0.015809 0.003277 0.031308999999999997
0 linear 1 7 0.78712599999999999 593.09247526628167 1 105 0.421157 0.012725999999999999 0.32427800000000012 0.0065600000000000016 0.0014420000000000001 0.0029629999999999999 0.0092879999999999994 0.078840999999999994 0.15282599999999999 0 0.0035179999999999999 0.001077 0.103836 0.001132 0.0037450000000000001 0.16859299999999991 0.076535000000000006 0.017485000000000004 0 1 19 19 0.0029009999999999999 1 0 0 14 0 0.273669 0.41471599999999997 0.0014319999999999999 0.0037009999999999999 0.014660000000000001 0.001335 0.029870000000000001
0 linear 1 15 1.019962 596.53003682974679 1 128 0.52046499999999996 0.012761 0.43949199999999988 0.007814999999999999 0.0017210000000000001 0.0026700000000000001 0.0086879999999999995 0.078784999999999994 0.12820200000000001 0 0.0035279999999999999 0.001026 0.23022500000000001 0.0011299999999999999 0.0038180000000000002 0.2251190000000001 0.10183500000000002 0.02285800000000001 0 2 19 19 0.002931 1 0 0 14 0 0.24838199999999999 0.51372300000000004 0.001325 0.003179 0.014070000000000001 0.0012149999999999999 0.029874999999999999
0 linear 1 23 0.871112 599.54254534181996 1 128 0.38663399999999998 0.014626999999999999 0.43330300000000005 0.0075930000000000008 0.0016359999999999999 0.003542 0.010643 0.086229 0.13147700000000001 0 0.0042030000000000001 0.001142 0.072431999999999996 0.0019710000000000001 0.0045459999999999997 0.22101900000000002 0.099617000000000053 0.023125000000000017 0 3 19 19 0.00313 1 0 0 14 0 0.26192700000000002 0.377751 0.0020590000000000001 0.0042760000000000003 0.015394 0.001635 0.029182
0 linear 2 0 37.759487999999997 2.3667291596036724 1 61 37.512689000000002 0.011901 0.20526600000000003 0.0078379999999999995 0.0011329999999999999 0.0030279999999999999 0.0099550000000000003 0.302676 0.33787499999999998 36.682050000000004 0.085706999999999992 3.1000000000000001e-05 0.041537999999999999 0.003091 0.0038549999999999991 0.13748300000000002 0.029909999999999999 0.0075739999999999983 0 0 0 0 0 0 0 0 0 0 37.424101 37.502360000000003 0.00087600000000000004 0.0055409999999999999 0.012081999999999999 0.00026800000000000001 0.033847000000000002
0 linear 2 7 51.414257999999997 2.4102109454225378 1 61 51.052712999999997 0.01129 0.32342300000000002 0.0066890000000000005 0.0010539999999999998 0.0030609999999999999 0.010095 0.091020000000000004 0.26988200000000001 50.540582999999998 0.083875999999999992 2.5999999999999998e-05 0.0097879999999999998 0.0015969999999999999 0.0037560000000000002 0.188775 0.09213600000000001 0.009105000000000002 0 1 16 13 0 0 0 0 0 0 51.001629999999999 51.045883000000003 0.0020579999999999999 0.0055519999999999996 0.012142999999999999 4.8000000000000001e-05 0.033222000000000002
