name,u,policy,warm,rtol,index,input_radius,selected_radius,radius_lo,uncertainty,t_seed,d14_condition,t_seed_valid,topology_reused,precision_tier,double_reason,dd_reason,qf_reason,double_residual,dd_residual
rand033,0,None,0,0.001,0,0.34508471290391068,0.34508471290391068,4.0158112548782412e-18,5.5511151231257827e-17,-0.00013045752327592484,0.01934417850898679,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,6.2521801244559088e-36
rand033,0,None,0,0.001,1,0.34655457546402529,0.34655457546402529,2.5346094915141304e-17,5.5511151231257827e-17,-0.00013075129382586449,0.019094079636608474,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,6.7555686563582059e-36
rand033,0,None,0,0.001,2,0.88532118796015413,0.88532118796015413,4.153635527598853e-17,1.1102230246251565e-16,-85.987022076250881,3.2560633826189028e-06,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,5.470207103544839e-29
rand033,0,None,0,0.001,3,0.90653539413512696,0.90653539413512696,-2.5638890259513666e-17,1.1102230246251565e-16,-63.081421230627598,1.9109203572782989e-07,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,6.7607178107592764e-29
rand033,0,None,0,0.001,4,1.0569830934799724,1.0569830934799724,7.7539525941941346e-17,2.2204460492503131e-16,0.47677498140091706,4.2100512401850096e-08,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,9.7473954403504277e-34
rand033,0,None,0,0.001,5,1.0590844182859676,1.0590844182859676,9.6041522271491315e-17,2.2204460492503131e-16,-0.45738490303296359,3.9320934194767845e-08,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,2.6369719013897299e-33
rand033,0,None,0,0.001,6,1.1259749488987669,1.1259749488987669,-7.232696051950106e-17,2.2204460492503131e-16,0.0066687128784497949,7.5055982062534677e-08,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,3.4967494254794733e-34
rand033,0,None,0,0.001,7,1.1478916159583825,1.1478916159583825,5.2210492402664215e-17,2.2204460492503131e-16,-0.00030127492982582981,2.1135472985303081e-07,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,5.9086719472656051e-35
rand033,0,None,0,0.0001,0,0.34508471290391068,0.34508471290391068,4.0158112548782412e-18,5.5511151231257827e-17,-0.00013045752327592484,0.01934417850898679,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,6.2521801244559088e-36
rand033,0,None,0,0.0001,1,0.34655457546402529,0.34655457546402529,2.5346094915141304e-17,5.5511151231257827e-17,-0.00013075129382586449,0.019094079636608474,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,6.7555686563582059e-36
rand033,0,None,0,0.0001,2,0.88532118796015413,0.88532118796015413,4.153635527598853e-17,1.1102230246251565e-16,-85.987022076250881,3.2560633826189028e-06,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,5.470207103544839e-29
rand033,0,None,0,0.0001,3,0.90653539413512696,0.90653539413512696,-2.5638890259513666e-17,1.1102230246251565e-16,-63.081421230627598,1.9109203572782989e-07,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,6.7607178107592764e-29
rand033,0,None,0,0.0001,4,1.0569830934799724,1.0569830934799724,7.7539525941941346e-17,2.2204460492503131e-16,0.47677498140091706,4.2100512401850096e-08,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,9.7473954403504277e-34
rand033,0,None,0,0.0001,5,1.0590844182859676,1.0590844182859676,9.6041522271491315e-17,2.2204460492503131e-16,-0.45738490303296359,3.9320934194767845e-08,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,2.6369719013897299e-33
rand033,0,None,0,0.0001,6,1.1259749488987669,1.1259749488987669,-7.232696051950106e-17,2.2204460492503131e-16,0.0066687128784497949,7.5055982062534677e-08,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,3.4967494254794733e-34
rand033,0,None,0,0.0001,7,1.1478916159583825,1.1478916159583825,5.2210492402664215e-17,2.2204460492503131e-16,-0.00030127492982582981,2.1135472985303081e-07,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,5.9086719472656051e-35
rand033,0,None,1,0.001,0,0.34509214160930007,0.34509214160930007,9.4064170383691318e-18,5.5511151231257827e-17,-0.00013043963789056404,0.019350205034067376,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,8.335648577786397e-37
rand033,0,None,1,0.001,1,0.34656184489967307,0.34656184489967307,2.6249235950307656e-17,5.5511151231257827e-17,-0.00013073333134143,0.019100102644710449,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,1.0731530000984132e-35
rand033,0,None,1,0.001,2,0.88521641498536141,0.88521641498536141,2.8229493948086317e-17,1.1102230246251565e-16,-86.139129171871573,3.3020486436334805e-06,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,9.9285340315602002e-29
rand033,0,None,1,0.001,3,0.90642803419548501,0.90642803419548501,1.4037929927712493e-17,1.1102230246251565e-16,-63.288389146623715,1.9577690966242964e-07,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,5.028721205441929e-29
rand033,0,None,1,0.001,4,1.0573190125335086,1.0573190125335086,-8.5644182187909107e-17,2.2204460492503131e-16,0.47546476215817696,4.278204971679527e-08,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,1.8256159761703487e-32
