name,u,policy,warm,rtol,stop,value_stop,gradient_stop,value_converged,mu,value_error,nodes,evaluations,event_count,refinement_count,topology_ms,setup_ms,physics_ms,estimator_ms,scheduler_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,event_topology_reuses,event_radius_reuses,event_direct_qf_failures
rand033,0,None,0,0.001,Converged,Converged,Converged,1,30.38554583782545,0.020144436012035895,126,126,8,16,0.89510699999999999,0.043250999999999998,0.18190899999999999,0.0079409999999999984,0.0020870000000000003,0,8,8,0,0,8,8,0
rand033,0,None,0,0.0001,Converged,Converged,Converged,1,30.385426755202719,0.0014642169024499719,166,166,8,19,0.844217,0.023732,0.23213600000000004,0.009604999999999999,0.0022710000000000004,0,8,8,0,0,8,8,0
rand033,0,None,1,0.001,Converged,Converged,Converged,1,30.320526339462802,0.019709670573943561,126,126,8,16,0.39830900000000002,0.014043999999999999,0.20850700000000008,0.0059640000000000006,0.0014970000000000001,0,8,8,0,0,8,8,0
rand033,0,None,1,0.0001,Converged,Converged,Converged,1,30.320408382691017,0.0014683874273834947,166,166,8,19,0.38720300000000002,0.013632,0.26100100000000004,0.0080850000000000002,0.0019679999999999997,0,8,8,0,0,8,8,0
rand033,0,ValueFirst,0,0.001,Converged,Converged,BudgetExceeded,1,30.38554583782545,0.020144436012035895,190,190,8,19,0.84237700000000004,0.015563,0.29354200000000025,0.055746999999999991,0.0079330000000000008,0,8,8,0,0,8,8,0
rand033,0,ValueFirst,0,0.0001,Converged,Converged,BudgetExceeded,1,30.385426755202719,0.0014642169024499719,238,238,8,22,0.83640899999999996,0.017054,0.36893099999999995,0.075124999999999997,0.0087860000000000004,0,8,8,0,0,8,8,0
rand033,0,ValueFirst,1,0.001,Converged,Converged,BudgetExceeded,1,30.320526339462802,0.019709670573943561,190,190,8,19,0.39841500000000002,0.014329,0.31325499999999995,0.052421999999999996,0.0061139999999999996,0,8,8,0,0,8,8,0
rand033,0,ValueFirst,1,0.0001,Converged,Converged,BudgetExceeded,1,30.320408382691017,0.0014683874273834947,238,238,8,22,0.36131200000000002,0.020070000000000001,0.37916599999999984,0.07078000000000001,0.0078009999999999989,0,8,8,0,0,8,8,0
rand033,0.5,None,0,0.001,Converged,Converged,Converged,1,31.514303523854004,0.017609381180373761,126,126,8,16,0.86673500000000003,0.016111,0.27469200000000005,0.0089509999999999972,0.0025259999999999996,0,8,8,0,0,8,8,0
rand033,0.5,None,0,0.0001,Converged,Converged,Converged,1,31.514232885565121,0.0011865111751932693,166,166,8,19,0.90679200000000004,0.015990000000000001,0.33631700000000003,0.010321000000000002,0.0027160000000000001,0,8,8,0,0,8,8,0
rand033,0.5,None,1,0.001,Converged,Converged,Converged,1,31.450052479057081,0.017684428168334789,126,126,8,16,0.40082400000000001,0.014352,0.2851120000000002,0.006886999999999999,0.0015499999999999999,0,8,8,0,0,8,8,0
rand033,0.5,None,1,0.0001,Converged,Converged,Converged,1,31.449982528016111,0.0011818299379560485,166,166,8,19,0.36260999999999999,0.013568,0.33084799999999998,0.0082140000000000008,0.0018860000000000001,0,8,8,0,0,8,8,0
rand033,0.5,ValueFirst,0,0.001,Converged,Converged,BudgetExceeded,1,31.514303523854004,0.017609381180373723,190,190,8,19,0.79908500000000005,0.015243,0.49062699999999998,0.061974000000000001,0.0091160000000000008,0,8,8,0,0,8,8,0
rand033,0.5,ValueFirst,0,0.0001,Converged,Converged,BudgetExceeded,1,31.514232885565121,0.0011865111751932975,238,238,8,22,0.784107,0.014916,0.5586549999999999,0.069114999999999996,0.0087170000000000008,0,8,8,0,0,8,8,0
rand033,0.5,ValueFirst,1,0.001,Converged,Converged,BudgetExceeded,1,31.450052479057081,0.017684428168334945,190,190,8,19,0.36739500000000003,0.013958999999999999,0.49283900000000014,0.049154000000000003,0.0074260000000000012,0,8,8,0,0,8,8,0
rand033,0.5,ValueFirst,1,0.0001,Converged,Converged,BudgetExceeded,1,31.449982528016111,0.0011818299379561523,238,238,8,22,0.375218,0.012596,0.56898700000000002,0.063493999999999995,0.008797000000000001,0,8,8,0,0,8,8,0
