case_id configuration_id profile d_bin_index epoch_index lane stage candidate_converged candidate_finite scalar_certificate residual ambiguous_roots oracle_tier candidate_positive oracle_positive candidate_physical oracle_physical candidate_real_soft oracle_real_soft candidate_complex_soft oracle_complex_soft positive_radius_maxdiff soft_radius_maxdiff candidate_cells oracle_cells candidate_topology_status oracle_topology_status rtol candidate_stop oracle_stop candidate_value_converged oracle_value_converged candidate_mu oracle_mu mu_absdiff local_attempts local_successes local_max_shift event_build_ms positive_certificate positive_count positive_certificate_ms positive_reason
6 6 linear 3 7 cold d14real 0 1 0 8.811865060110489e-12 6 1 8 10 8 10 0 0 3 0 -1.0 -1.0 16 15 0 0 0.001 0 0 1 1 2.557501057951825 2.5575010579765034 2.467848148057783e-11 0 0 0.0 0.0079089999999999 0 0 0.0 Unattempted
6 6 linear 3 7 cold d14real 0 1 0 8.811865060110489e-12 6 1 8 10 8 10 0 0 3 0 -1.0 -1.0 16 15 0 0 0.0001 0 0 1 1 2.5575010834856737 2.557501083510352 2.467848148057783e-11 0 0 0.0 0.0079089999999999 0 0 0.0 Unattempted
6 6 linear 3 15 cold d14real 0 1 0 2.292305162297052e-10 6 1 8 10 8 10 0 0 3 0 -1.0 -1.0 16 15 0 0 0.001 0 0 1 1 2.327308806262041 2.3273088062852527 2.3211210731233223e-11 0 0 0.0 0.00816 0 0 0.0 Unattempted
6 6 linear 3 15 cold d14real 0 1 0 2.292305162297052e-10 6 1 8 10 8 10 0 0 3 0 -1.0 -1.0 16 15 0 0 0.0001 0 0 1 1 2.3273086805152 2.327308680538412 2.3211210731233223e-11 0 0 0.0 0.00816 0 0 0.0 Unattempted
6 6 linear 3 23 cold d14real 0 1 0 5.1299242466375275e-09 6 1 6 8 6 8 0 0 4 1 -1.0 -1.0 15 14 0 0 0.001 0 0 1 1 2.1451243765929364 2.1451243766147883 2.185185365988218e-11 0 0 0.0 0.007451 0 0 0.0 Unattempted
6 6 linear 3 23 cold d14real 0 1 0 5.1299242466375275e-09 6 1 6 8 6 8 0 0 4 1 -1.0 -1.0 15 14 0 0 0.0001 0 0 1 1 2.14512441702648 2.1451244170483323 2.185229774909203e-11 0 0 0.0 0.007451 0 0 0.0 Unattempted
6 6 linear 4 0 cold d14real 0 1 0 4.909941431493546e-13 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.001 0 0 1 1 1.9736233210670977 1.9736233249730168 3.9059193657209335e-09 0 0 0.0 0.006444 0 0 0.0 Unattempted
6 6 linear 4 0 cold d14real 0 1 0 4.909941431493546e-13 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.0001 0 0 1 1 1.9736221273861576 1.973622131292077 3.9059193657209335e-09 0 0 0.0 0.006444 0 0 0.0 Unattempted
6 6 linear 4 7 cold d14real 0 1 0 7.344017170983741e-13 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.001 0 0 1 1 2.018715498569831 2.0187155022268137 3.6569827166488263e-09 0 0 0.0 0.0063119999999999 0 0 0.0 Unattempted
6 6 linear 4 7 cold d14real 0 1 0 7.344017170983741e-13 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.0001 0 0 1 1 2.0187154438591826 2.0187154475161653 3.6569827166488263e-09 0 0 0.0 0.0063119999999999 0 0 0.0 Unattempted
