case_id	configuration_id	profile	d_bin_index	epoch_index	trajectory_id	trajectory_pos	target	s	q	rho	x	y	time	u	X	reference	topology_status	topology_cells	topology_events	cold_ms	warm_ms	radial_ms	cold_topology_ms	warm_topology_ms	radial_topology_ms	cold_adaptive_ms	warm_adaptive_ms	radial_adaptive_ms	cold_setup_ms	warm_setup_ms	radial_setup_ms	cold_physical_ms	warm_physical_ms	radial_physical_ms	cold_estimator_ms	warm_estimator_ms	radial_estimator_ms	cold_scheduler_ms	warm_scheduler_ms	radial_scheduler_ms	cold_mu	warm_mu	radial_mu	cold_error	warm_error	radial_error	cold_value_converged	warm_value_converged	radial_value_converged	cold_stop	warm_stop	radial_stop	cold_status	warm_status	radial_status	cold_nodes	warm_nodes	radial_nodes	cold_evaluations	warm_evaluations	radial_evaluations	cold_panels	warm_panels	radial_panels	cold_splits	warm_splits	radial_splits	warm_l1	warm_l2	warm_l3	warm_rescreen_fail	warm_seed_used	prebuilt_assurance	prebuilt_count	prebuilt_tier	prebuilt_reason	prebuilt_legacy	prebuilt_coefficient_ms	prebuilt_chain_ms	prebuilt_isolation_ms	prebuilt_refine_ms	warm_assurance	warm_count	warm_tier	warm_reason	warm_legacy	warm_attempts	warm_direct	warm_repaired	warm_subdivisions	warm_count_queries	warm_sign_queries	prebuilt_variation_ms	prebuilt_event_ms	warm_variation_ms	warm_event_ms	reference_contacts	cold_atlas	warm_atlas	cold_contacts	warm_contacts	cold_boxes	warm_boxes	cold_contracted	warm_contracted	cold_excluded	warm_excluded	cold_tubes	warm_tubes	cold_dd	warm_dd	cold_qf	warm_qf	warm_proofs_reused	warm_proofs_invalidated	warm_event_updates	warm_range_accepted	cold_coefficient_ms	cold_proof_ms	cold_refine_ms	warm_coefficient_ms	warm_proof_ms	warm_refine_ms	cold_pair_attempts	cold_pair_accepted	warm_pair_attempts	warm_pair_accepted
30	30	linear	4	7	76	1	0.001	2.990411547485525	0.0151675030033084	0.0532272714444268	0.1322709396323147	-0.0017875870160681	0.1281053270844899	0.5	-0.0834259259083993	11.671166103788666	OK	15	14	50.932951	51.283139	7.524791999999999	43.453224	43.824551	0	7.479727000000004	7.458588	7.524791999999999	0.012598	0.007466	0.012258	7.363477999999995	7.343089999999998	7.383511000000005	0.013967	0.015081	0.0137209999999999	0.0020839999999999	0.002088	0.0018919999999999	11.671156597530413	11.671156597530413	11.671156597530413	0.01156012496273	0.01156012496273	0.01156012496273	1	1	1	Converged	Converged	Converged	OK	OK	OK	143	143	143	143	143	143	9	9	9	0	0	0	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	0	0	0	0	8	Complete	Complete	10	10	1880	1880	42	42	989	989	18	18	42	42	0	0	0	0	0	0	4.917816	37.480922000000085	0.816594	4.9699029999999995	37.76672100000005	0.8545329999999999	69	48	69	48
30	30	linear	4	15	76	2	0.001	2.990411547485525	0.0151675030033084	0.0532272714444268	0.1322709396323147	-0.0017875870160681	0.135510860502845	0.5	-0.0908314593267543	10.693458404335637	OK	15	14	55.839754	47.540136	7.397901	46.614307	40.511638	0	9.225447	7.028497999999999	7.397901	0.008281	0.011018	0.004884	9.121615000000002	6.915465	7.308697	0.016543	0.016947	0.012263	0.002324	0.002631	0.001825	10.693450519647088	10.693450519647085	10.693450519647088	0.0098260297604029	0.0098260297604241	0.0098260297604029	1	1	1	Converged	Converged	Converged	OK	OK	OK	143	143	143	143	143	143	9	9	9	0	0	0	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	0	0	0	0	8	Complete	Complete	10	10	1695	1278	51	21	906	1171	16	14	51	21	0	0	932	64	3	36	6.288271	39.178805000000025	0.8846469999999999	19.823205999999985	14.806300999999891	5.573659000000001	69	48	68	45
30	30	linear	4	23	76	3	0.001	2.990411547485525	0.0151675030033084	0.0532272714444268	0.1322709396323147	-0.0017875870160681	0.1429163939212	0.5	-0.0982369927451093	9.876532470833888	OK	15	14	49.815229	54.704783	6.974277	42.781891	49.350635	0	7.0333380000000005	5.354148000000001	6.974277	0.005551	0.013235	0.0049449999999999	6.934134000000005	5.2409120000000025	6.886729000000002	0.0140359999999999	0.0178319999999999	0.014031	0.0019979999999999	0.002301	0.001629	9.876525551599919	9.876525551599919	9.876525551599919	0.0080849720724712	0.0080849720725133	0.0080849720724712	1	1	1	Converged	Converged	Converged	OK	OK	OK	143	143	143	143	143	143	9	9	9	0	0	0	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	0	0	0	0	8	Complete	Complete	10	10	1545	1423	51	24	827	1355	14	24	52	25	0	0	1125	53	3	62	6.351203000000001	35.41903600000004	0.8051039999999998	22.976709	21.18187399999996	4.690509000000001	66	45	58	33
30	30	linear	4	7	76	1	0.0001	2.990411547485525	0.0151675030033084	0.0532272714444268	0.1322709396323147	-0.0017875870160681	0.1281053270844899	0.5	-0.0834259259083993	11.671166103788666	OK	15	14	51.529452	51.025453	7.56529	43.989707	43.440104	0	7.539744999999996	7.585349	7.56529	0.013729	0.0082629999999999	0.0122539999999999	7.396872999999997	7.449788999999994	7.406179999999998	0.018194	0.017961	0.01639	0.002649	0.002444	0.002761	11.671159838554626	11.671159838554626	11.671159838554626	0.0001206771790753	0.0001206771790753	0.0001206771790753	1	1	1	Converged	Converged	Converged	OK	OK	OK	175	175	175	175	175	175	9	9	9	0	0	0	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	0	0	0	0	8	Complete	Complete	10	10	1880	1880	42	42	989	989	18	18	42	42	0	0	0	0	0	0	4.91553	38.0428589999999	0.7939510000000001	4.892218999999999	37.481607	0.8290129999999998	69	48	69	48
30	30	linear	4	15	76	2	0.0001	2.990411547485525	0.0151675030033084	0.0532272714444268	0.1322709396323147	-0.0017875870160681	0.135510860502845	0.5	-0.0908314593267543	10.693458404335637	OK	15	14	50.781621	47.369764	7.490399	43.250732	40.155598	0	7.530889000000003	7.214166000000007	7.490399	0.0060219999999999	0.0103339999999999	0.005308	7.418062999999994	7.091964000000002	7.391262000000003	0.017214	0.0199499999999999	0.0158429999999999	0.0023539999999999	0.002504	0.002254	10.693452712885156	10.693452712885152	10.693452712885156	0.0001050314467602	0.0001050314467815	0.0001050314467602	1	1	1	Converged	Converged	Converged	OK	OK	OK	175	175	175	175	175	175	9	9	9	0	0	0	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	0	0	0	0	8	Complete	Complete	10	10	1695	1278	51	21	906	1171	16	14	51	21	0	0	932	64	3	36	5.984821000000001	36.25669499999996	0.784362	19.789953999999994	14.600054999999916	5.493237999999999	69	48	68	45
30	30	linear	4	23	76	3	0.0001	2.990411547485525	0.0151675030033084	0.0532272714444268	0.1322709396323147	-0.0017875870160681	0.1429163939212	0.5	-0.0982369927451093	9.876532470833888	OK	15	14	49.054556	54.647948	7.094144	41.90584	49.154501	0	7.148716	5.493446999999996	7.094144	0.0059649999999999	0.012382	0.0049319999999999	7.040565000000004	5.362298999999997	6.988765000000002	0.019628	0.0220239999999999	0.0159529999999999	0.0023339999999999	0.002686	0.003128	9.876527061789373	9.876527061789371	9.876527061789373	9.320964164030477e-05	9.320964168243354e-05	9.320964164030477e-05	1	1	1	Converged	Converged	Converged	OK	OK	OK	175	175	175	175	175	175	9	9	9	0	0	0	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	0	0	0	0	8	Complete	Complete	10	10	1545	1423	51	24	827	1355	14	24	52	25	0	0	1125	53	3	62	5.934402	34.95231000000002	0.815602	23.026276000000028	21.036423999999883	4.6637059999999995	66	45	58	33
75	75	uniform	1	15	189	2	0.001	3.0046102476251835	0.0037341362234464	0.0630803820007727	-2.6181648497652055	-0.014242011190375	-2.614325174339072	0.0	2.625503058559698	1.947649944835244	OK	11	10	49.369101	58.213375	3.316084	46.049719	55.694746	0	3.3193819999999974	2.5186289999999967	3.316084	0.0062119999999999	0.006015	0.0028449999999999	3.240701	2.439157999999999	3.247845	0.014532	0.013783	0.012697	0.0019269999999999	0.0021769999999999	0.001743	1.947639442922524	1.947639442922524	1.947639442922524	0.0009422522492192	0.0009422522492248	0.0009422522492192	1	1	1	Converged	Converged	Converged	OK	OK	OK	145	145	145	145	145	145	7	7	7	0	0	0	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	0	0	0	0	5	Complete	Complete	6	6	1202	1076	92	65	704	1216	3	24	94	67	0	0	917	53	0	249	10.342734000000002	34.92986399999996	0.6714179999999998	21.487601000000005	31.005778000000003	2.9304820000000005	51	37	37	23
75	75	uniform	1	15	189	2	0.0001	3.0046102476251835	0.0037341362234464	0.0630803820007727	-2.6181648497652055	-0.014242011190375	-2.614325174339072	0.0	2.625503058559698	1.947649944835244	OK	11	10	50.447896	57.913027	4.500313	45.862626	54.143932	0	4.58527	3.769095	4.500313	0.0062199999999999	0.007151	0.003082	4.469072999999998	3.65073	4.400855000000003	0.027151	0.0277479999999999	0.02301	0.002289	0.002738	0.001938	1.9476482757692053	1.9476482757692055	1.9476482757692053	0.0001731126557996	0.0001731126558052	0.0001731126557996	1	1	1	Converged	Converged	Converged	OK	OK	OK	217	217	217	217	217	217	7	7	7	0	0	0	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	0	0	0	0	5	Complete	Complete	6	6	1202	1076	92	65	704	1216	3	24	94	67	0	0	917	53	0	249	10.249002000000006	34.80773899999999	0.701162	20.546972999999998	30.46296899999996	2.858172	70	54	56	40
89	89	uniform	1	0	224	0	0.001	1.275615921840497	0.0007469723337377	0.0088098583333743	-0.5320353245553296	-0.0052185046782276	-0.5337972962220046	0.0	0.5347494348029171	3.6904952121583112	OK	13	12	39.214044	39.062785	2.633698	36.64182	36.52667	0	2.5722239999999985	2.5361149999999952	2.633698	0.011441	0.011481	0.0071939999999999	2.471417	2.4450349999999994	2.549312	0.0127609999999999	0.011406	0.0099329999999999	0.0020439999999999	0.002144	0.001635	3.6904562090524857	3.6904562090524857	3.6904562090524857	0.003374905802784	0.003374905802784	0.003374905802784	1	1	1	Converged	Converged	Converged	OK	OK	OK	121	121	121	121	121	121	7	7	7	0	0	0	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	0	0	0	0	7	Complete	Complete	8	8	1223	1223	55	55	691	691	4	4	55	55	0	0	0	0	0	0	6.399046000000002	29.495712999999967	0.580172	6.546942999999999	29.24635600000004	0.572741	46	36	46	36
89	89	uniform	1	7	224	1	0.001	1.275615921840497	0.0007469723337377	0.0088098583333743	-0.5320353245553296	-0.0052185046782276	-0.532724791729246	0.0	0.5336769303101585	3.725761985447978	OK	13	12	43.996343	46.869381	2.65648	41.382287	43.990836	0	2.614056000000005	2.8785449999999955	2.65648	0.009095	0.0080389999999999	0.0036319999999999	2.542717	2.786316	2.595281	0.010682	0.014997	0.0089359999999999	0.0020649999999999	0.0025109999999999	0.0015019999999999	3.725718655057927	3.72571865505792	3.725718655057927	0.0034835835621335	0.0034835835621568	0.0034835835621335	1	1	1	Converged	Converged	Converged	OK	OK	OK	121	121	121	121	121	121	7	7	7	0	0	0	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	-1	Unattempted	0	0	0	0	0	0	0	0	0	0	0	7	Complete	Complete	8	8	1233	804	69	42	717	862	4	16	71	42	0	0	662	35	2	83	8.047815000000003	32.62068799999997	0.571989	17.47896199999999	22.621535999999985	3.626811000000001	51	38	45	32
