name,u,nt,mu_error,jac_error,ref_mu,ref_dx,ref_dy,ref_drho,ref_dq,ref_da
plan15,0.5,2048,6.860001e-15,1.771579e-11,6.1209627244295897,7.3097202567957247,-17.355059374488985,-11.441047967679566,-5.4835653949535166,1.3008383579223999
resonant,0.5,2048,3.033846e-09,9.407249e-05,13.878583451858105,166.72230372213033,-122.35613535034926,-85.536829288138392,-44.326432549978414,-2.9022822105981003
close-binary,0.5,2048,1.454010e-08,4.763956e-04,8.0841849211710652,-51.670518347986032,50.789814235008848,-5.4430940682899802,8.3447690668275225,34.015898667604645
wide-planet,0.5,2048,1.028372e-16,1.002670e-09,1.1591862424231478,-0.27592382932207582,-0.027828914338450909,0.0071171313995819219,1.5143556236815172,-0.0042988061028747231
cusp-approach,0.5,2048,5.683681e-15,6.166512e-10,1.5002907816969724,-1.0245747785133374,0.66944105056361902,0.029210035703648884,0.41532548213596004,0.24075150719835139
on-axis-off,0.5,2048,2.484776e-15,1.637975e-10,3.8255483053331285,1.1529167226252266,-1.6738423202325792e-10,0.75025992550951059,-0.55560461536071082,-6.2077149969244028
R=sqrt(m0),0.5,2048,7.439173e-16,6.094328e-09,1.3878418584406218,0.11694227530785485,-1.0233178487970338,0.018152101526140996,-0.19844516882930735,-0.17097557564182525
tiny-rho,0.5,2048,2.694400e-14,5.412652e-08,38.029221592956063,-3348.9205786538132,2322.2259760332727,346.47407485492295,707.92659327586125,-8.8116236685593705
caustic-cross,0.5,2048,1.909524e-08,1.912436e-03,33.292109593557889,77.321811300241563,3.0417154181036219e-10,-1202.2432771366443,-34.103258543249261,-2.6593264460742141
extreme-q-lo,0.5,2048,4.149118e-16,3.168817e-08,1.6758050144619852,-1.7029055079733864,-0.12354854190486228,0.02554479351525174,-11.690292829284173,0.0011365050215425959
extreme-q-planet,0.5,2048,1.183303e-13,2.327369e-08,1.3699955363904801,-2.0265703895150651,-4.8642482996695877,1.2132398000914009,1048.6608412483638,1.7851800674805856
very-wide,0.5,2048,1.314182e-15,3.642861e-09,1.0275233602709333,0.0018388800431031341,-0.01415623717380275,0.0023324705075538077,0.016136326277001262,-0.022593084764318337
very-close,0.5,2048,5.844942e-09,5.559710e-04,24.842977088420259,-69.859682340927051,-486.67332012169879,45.899418797147746,5.6484687269847047,5.0818949611022921
fold-tangent,0.5,2048,8.800488e-16,9.146615e-10,6.0646636167697867,34.609374269420357,2.3650175859143627,-21.697575854063871,-9.4008739117375981,-41.950080264208793
rand000,0.5,2048,3.399731e-15,4.415005e-09,1.9390581511911202,2.0325188102972525,-1.7038272170135851,0.044797541217690195,1.1098751718874624,-2.9158806101223764e-06
rand001,0.5,2048,7.780651e-16,1.160320e-11,1.8538051457555922,-1.61220783795944,-1.7353817366722954,0.18652148686680903,-0.87625642004995041,0.0075297784580980959
rand002,0.5,2048,5.008526e-16,1.141886e-10,2.5466657465921183,5.2711360035159212,1.1021804146326937,0.23504942685114827,-1.7885510089204082,1.0461853779109559e-05
rand003,0.5,2048,1.550955e-15,4.148782e-12,2.1496592860849857,3.609472641281068,-0.32837727930469418,0.56105102249605387,-0.62033837485288112,-2.0906997693136398e-06
rand004,0.5,2048,3.615621e-15,1.148896e-10,1.395090386115349,-0.75149988367774423,0.43026068196781464,0.042718781980141785,0.097680993471045877,0.1083165818322667
rand005,0.5,2048,3.238574e-15,2.999021e-11,1.4682484397899298,0.96567994660304957,0.45501768756863309,0.086182339001934949,-0.55059481870504767,1.9568148119175655e-07
rand006,0.5,2048,1.720614e-15,7.611495e-12,1.9681420584329996,-2.7051117631958599,0.74305099650341966,0.31024048790750314,0.40070569114633492,0.00034861243740409763
rand007,0.5,2048,2.794770e-14,1.785402e-05,3.2108517201318527,-6.7264114393859611,-6.2627736553408582,0.38243249075094354,-0.46266163290311774,-6.6201837950582135e-09
rand008,0.5,2048,6.652350e-15,6.297533e-06,1.2029723450278216,0.312094962226866,0.21300844591232121,0.10250105916361463,-0.05158821508178936,0.00014343381384672961
rand009,0.5,2048,3.836021e-15,1.561062e-07,12.892184466524586,-155.86427581370916,54.340087748612973,1.8359723050707544,66.394830736448057,-0.10515853303881879
rand010,0.5,2048,1.552209e-13,1.000000e+300,16.349192105108862,-261.53724353675409,65.920545027939056,21.069947796926954,64.898450079396341,-0.012533945837713174
rand011,0.5,2048,4.073684e-15,8.100224e-10,5.1047925932966125,24.98640362031761,-0.22813773386199132,0.82961296113728622,-6.3859303873606059,1.327596697329614e-07
rand012,0.5,2048,3.770823e-15,4.372802e-08,3.8285635497023431,13.51986790096136,0.68936832685872818,0.19677912154611477,-21.15956673579932,0.00053947222466468393
rand013,0.5,2048,8.895902e-15,5.160902e-11,4.3914300145614487,11.307766210617908,-14.450241357826677,1.3383232352158814,-1.7698550246739304,2.7412643308062696e-07
rand014,0.5,2048,5.445368e-15,4.857499e-09,1.4873838725477901,1.1196969474605896,-0.081868482152717914,0.043569543342073302,-0.27755039749043259,-0.078714918154201619
rand015,0.5,2048,8.445124e-15,2.472293e-09,2.1025314142367133,-2.5392474054982475,-2.1234003904282139,0.049871773633697103,-1.1221230199569976,1.1584586274344453e-06
rand016,0.5,2048,0.000000e+00,5.946830e-10,1.6351966240629023,1.5739195961355967,0.011477068020837646,0.042878621429110808,-1.0720758654477558,4.6283764122972293e-08
rand017,0.5,2048,9.759246e-16,3.385714e-10,5.3706241106681798,13.680995504571642,-24.269352312676375,1.4008548040864639,-5.0222108745650509,1.1833715920109594e-08
rand018,0.5,2048,1.524085e-15,2.698304e-07,2.2051889852540945,-1.7530182125631208,-3.3155251116319238,0.057068372473054296,-1.7668087603534677,7.6062131637207208e-09
rand019,0.5,2048,5.199017e-15,3.354015e-09,1.9896270499371742,-0.71353246411919191,2.7593856746038696,0.052361155931421877,-0.80203268694114815,1.4518538014269855e-06
rand020,0.5,2048,5.662200e-16,1.184013e-09,1.3529152926266763,-0.083825225313022195,0.71764180262850075,0.024100622896114032,0.1846883506956459,0.1536071954756936
rand021,0.5,2048,1.886990e-14,1.530656e-05,2.577208446562242,-4.3237197292305884,-3.4414168807664938,0.26390384711066872,0.52014590351027901,8.6284437727622265e-06
rand022,0.5,2048,4.377201e-15,5.150881e-08,4.2756630836097171,5.7025632708510301,-16.187566990886058,0.20483898682664403,-0.066972090768664685,1.0360401038718909e-07
rand023,0.5,2048,1.527923e-15,1.673396e-10,2.7784363782943649,-2.0006023650902933,6.3675520086522059,0.54868497913453496,-1.0728433304045486,-5.0269332878846305e-08
rand024,0.5,2048,2.045547e-14,1.104408e-04,1.8874365782339728,0.061524693817064414,2.4538426780252509,0.21029070624990709,-0.8740086788674889,5.845243276285345e-09
rand025,0.5,2048,1.409554e-14,1.244784e-11,2.5916434859799944,-4.760806470721934,3.1232384898048915,0.58825894310640692,-12.343933342429164,0.0013712629332307714
rand026,0.5,2048,4.888272e-15,2.535282e-07,3.0881548431866599,6.3135459681101382,-5.5684001251832198,0.12124273155177434,-2.9506071411165964,-6.1973894227932382e-07
rand027,0.5,2048,3.694645e-15,1.777095e-09,2.2453477715454464,-0.13238337770968606,3.9278295256731477,0.077792342266207015,0.040894319117830327,0.002517063875283236
rand028,0.5,2048,7.378230e-15,2.400749e-08,4.5373996945543595,19.470129944965635,-0.14016559516595317,0.31736122743336637,-4.8550415796553672,9.8805203127083504e-07
rand029,0.5,2048,7.055099e-15,1.650393e-10,37.271079717094445,1297.8186025105736,697.68579112395071,248.32792243626045,-195.85966840032691,-1.8514541104660753
rand030,0.5,2048,2.008471e-15,4.287784e-08,2.5377300247995693,5.335372942134363,-0.0095459987195608623,0.25025790590007091,-5.3433291223010935,-0.055667091200440208
rand031,0.5,2048,2.760909e-15,5.791939e-12,2.2169782848401045,3.9222397332880332,-0.23699068866746037,0.60483091229913555,-3.7052513364842588,-1.2008744268934245e-06
rand032,0.5,2048,3.453192e-15,2.936835e-10,3.8868962631187238,-1.4712208515256426,-13.974796950730012,0.70613794319140766,-2.0006302046823907,3.7055198287044376e-09
rand033,0.5,2048,1.658082e-08,2.856720e-04,31.517501840212166,-286.50980150498947,-147.83544445706409,-835.61904268015678,97.147168156168874,77.866433482035504
rand034,0.5,2048,2.948213e-15,3.795221e-11,3.6695286302158165,8.3705858643116233,-9.3982060983897036,1.002501339521146,-3.5710561633062237,0.002444706441575112
rand035,0.5,2048,5.724054e-15,3.892015e-11,6.2928006086550754,16.911662775414278,35.733522237270407,4.6317414958468817,-6.1722033677598311,-1.262606975110514e-08
rand036,0.5,2048,1.210560e-15,7.221989e-11,4.135846277731674,-6.4054931021407899,14.759575065815106,0.8783857388590377,-4.1595454901648461,0.0045736742067719613
rand037,0.5,2048,3.216544e-14,1.000000e+300,8.2779065428407623,69.079685343763771,-0.67182239646925679,0.60774384956675931,-14.978144974285588,0.12326743769573464
rand038,0.5,2048,7.581009e-15,1.839545e-07,1.3724563269597392,0.79663217025587274,0.027124607951570231,0.088308313898323831,-0.78574474196839972,0.00068250134401285321
rand039,0.5,2048,6.672577e-15,1.654573e-06,4.8567848560144125,10.592965516713761,19.813694155052001,0.2675429065593562,0.14364377244398449,3.8867017740770063e-07
