plan15 0 0.001 6.0199734411766661 1 0 96 5.5623030761817516 2 -17.137783054502066 2 -10.351972294605112 2 -4.9886050842045346 2 1.2388192089806289 2
plan15 0 0.0001 6.019953368443054 1 0 144 5.5616775849473603 2 -17.137984854518709 2 -10.351483910231591 2 -4.9880842423903484 2 1.2384881742860527 2
plan15 0.5 0.001 6.1205212714608184 1 0 96 7.310212503353311 2 -17.351928626797335 2 -11.441781219480326 2 -5.48349156868343 2 1.3009862761730759 2
plan15 0.5 0.0001 6.120501629823929 1 0 144 7.3097573084363132 2 -17.3522595425902 2 -11.441452578077957 2 -5.4831810463861101 2 1.3006762480168863 2
resonant 0 0.001 13.730120980318974 1 0 95 155.51806729855377 2 -93.341053919663992 2 -97.163958881483481 2 -42.28929258248909 2 -2.8712301692147664 2
resonant 0 0.0001 13.73011620615307 1 0 143 155.52677188818961 2 -93.344214853026486 2 -97.152803251935865 2 -42.286987770069686 2 -2.8706788107958934 2
resonant 0.5 0.001 13.877484215323056 1 0 95 166.70046687946532 2 -122.32479946727425 2 -85.563260309191662 2 -44.321278799484389 2 -2.9018466830457332 2
resonant 0.5 0.0001 13.877481553314679 1 0 143 166.70972403804751 2 -122.32014654766381 2 -85.564270577499897 2 -44.317528107406794 2 -2.9010278207298392 2
close-binary 0 0.001 8.1332028642487071 1 0 80 -50.836548948165202 2 40.750390027255634 2 -11.061904208628668 2 8.26811045462048 2 33.08701394734851 2
close-binary 0 0.0001 8.1331871359219665 1 0 112 -50.834956536079297 1 40.750227550565782 1 -11.059393875222979 2 8.2684277378225648 2 33.087477401596161 1
close-binary 0.5 0.001 8.0834047414668415 1 0 80 -51.661962336055637 2 50.781606867427627 2 -5.4480956533122527 2 8.345072615440305 2 34.018551563117548 2
close-binary 0.5 0.0001 8.083399716929458 1 0 128 -51.658714890095617 2 50.779817870793053 1 -5.4495831708134759 2 8.3456781952351395 2 34.020663687374139 2
wide-planet 0 0.001 1.1591934436489091 1 0 37 -0.2759118762540736 2 -0.027827322646780048 2 0.0026796551921466128 2 1.5221070563677701 2 -0.0043240452028755231 2
wide-planet 0 0.0001 1.1591934436470934 1 0 53 -0.27591187623191121 1 -0.027827322667818309 1 0.0026796553619986342 2 1.5221070525958835 2 -0.0043240451746561423 2
wide-planet 0.5 0.001 1.1591902257554043 1 0 53 -0.27590314430805046 2 -0.027833461378025455 2 0.0024655062015344793 2 1.5224359591840622 2 -0.0043310846106086286 2
wide-planet 0.5 0.0001 1.1591902258251667 1 0 69 -0.27590314427125678 1 -0.027833461375396502 1 0.0024654992220935375 2 1.5224359592245424 2 -0.0043310846106049215 2
cusp-approach 0 0.001 1.5003323158575996 1 0 60 -1.0247141740505092 2 0.66953637935279375 2 0.02844185220495888 2 0.41542205510146507 2 0.24082098852332043 2
cusp-approach 0 0.0001 1.5003323150038625 1 0 76 -1.0247141783009879 2 0.66953636665332583 1 0.028441885113611433 2 0.41542205261229642 2 0.24082098825979778 1
cusp-approach 0.5 0.001 1.5002754656949193 1 0 76 -1.024498171640601 2 0.66945847753522203 2 0.026162856252678352 2 0.41533330074431762 2 0.24072922509553119 2
cusp-approach 0.5 0.0001 1.5002754656949193 1 0 76 -1.024498171640601 2 0.66945847753522203 2 0.026162856252678352 2 0.41533330074431762 2 0.24072922509553119 2
on-axis-off 0 0.001 3.8273323324231878 1 0 83 1.3122147395131085 2 4.8270561860149822e-13 1 -0.48563472232977822 2 -0.51787401220102025 2 -6.2124551207194934 2
on-axis-off 0 0.0001 3.827097349049116 1 0 147 1.2034176217007011 2 4.8820822211005206e-13 1 0.48355833668650572 2 -0.55058318419685881 2 -6.2203218668038422 2
on-axis-off 0.5 0.001 3.8256414081828587 1 0 83 1.2445524256172866 2 2.9325559611428226e-13 1 -0.0354395998109516 2 -0.53139663865844899 2 -6.2026917586313415 2
on-axis-off 0.5 0.0001 3.8255004223246356 1 0 147 1.179274467308568 2 2.9595328944951581e-13 1 0.54607595443708923 2 -0.55102200075219454 2 -6.2074116090622784 2
R=sqrt(m0) 0 0.001 1.3878241247462872 1 0 52 0.11687400031372981 2 -1.020097607277032 2 0.012718053512194401 2 -0.1990594290733029 2 -0.17120135735932054 2
R=sqrt(m0) 0 0.0001 1.3878220326641877 1 0 68 0.1169024658409893 2 -1.0212671437704337 2 0.01399549322966925 2 -0.19883836170030081 2 -0.17111954989000402 2
R=sqrt(m0) 0.5 0.001 1.3878064951371738 1 0 52 0.11686239657555558 2 -1.0205042097527932 2 0.012109066406661973 2 -0.19896204060607781 2 -0.17115774970967035 2
R=sqrt(m0) 0.5 0.0001 1.387805240065783 1 0 84 0.11687947582431388 2 -1.0212059315424047 2 0.012875512357226625 2 -0.19882940005650876 2 -0.17110866523451268 2
tiny-rho 0 0.001 38.337665662462399 1 0 74 -3354.9032125573212 2 2327.8220547599553 2 373.8577777899892 2 709.47496815198349 2 -9.3782636716767733 2
tiny-rho 0 0.0001 38.337679647339662 1 0 106 -3354.903068119047 2 2327.8219939705177 2 373.82995016297502 2 709.47503109359445 2 -9.3782659670231023 2
