case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes
0 linear 0 0 62.767398 7.0379226907888537 1 67 61.616126000000001 0.030394000000000001 0.22612000000000004 0.006143 0.0013509999999999998 0.007476 0.022315000000000002 0.19468199999999999 0.34071800000000002 60.700959999999995 0.105244 2.8e-05 0.064604999999999996 0.0085400000000000007 0.012254999999999999 0.15303500000000003 0.033002999999999991 0.0081879999999999974 0 0 0 0
0 linear 0 7 53.276997000000001 7.165175685042759 1 83 52.865394999999999 0.011849 0.34200700000000001 0.0073989999999999993 0.0013829999999999999 0.0057390000000000002 0.022556 0.056064999999999997 0.26439400000000002 52.333872 0.088001999999999997 2.5000000000000001e-05 0.016790999999999997 0.001835 0.004254 0.24441900000000003 0.049959000000000017 0.010755000000000006 0 1 15 15
0 linear 0 15 53.725619999999999 7.2540425509600803 1 91 53.258923000000003 0.012011000000000001 0.40927700000000006 0.0073089999999999995 0.0022780000000000001 0.0045669999999999999 0.012541 0.051062999999999997 0.30113200000000001 52.648015000000001 0.087884999999999991 3.0000000000000001e-05 0.082067000000000001 0.0018400000000000001 0.0039799999999999992 0.29396699999999992 0.05915999999999999 0.011966000000000001 0 2 13 13
0 linear 0 23 53.605620000000002 7.2793514851610421 1 91 53.177064999999999 0.011816 0.37522899999999987 0.0086479999999999994 0.001487 0.0033470000000000001 0.012537 0.050306999999999998 0.25781700000000002 52.644635000000001 0.088142999999999999 3.0000000000000001e-05 0.050340000000000003 0.0016770000000000001 0.003954 0.25640899999999994 0.055117000000000013 0.012973 0 3 13 13
0 linear 1 0 1.1121840000000001 589.76731831372365 1 105 0.71047899999999997 0.011792 0.31268499999999994 0.007084 0.0015 0.0034650000000000002 0.012194 0.180948 0.132239 0 0.027314999999999999 0.001191 0.253056 0.001173 0.0041299999999999991 0.16301400000000005 0.079358000000000026 0.01763300000000001 0 0 0 0
0 linear 1 7 0.82972400000000002 593.09247526628167 1 105 0.44631500000000002 0.013122 0.32902500000000023 0.0068200000000000014 0.0014430000000000001 0.0031670000000000001 0.011528999999999999 0.051223999999999999 0.15532799999999999 0 0.026695 0.00094499999999999998 0.105048 0.0011349999999999999 0.0039410000000000001 0.171736 0.077721000000000054 0.017642000000000001 0 1 19 19
0 linear 1 15 1.0742419999999999 596.53003682974679 1 128 0.54401200000000005 0.013270000000000001 0.44840700000000017 0.0084270000000000005 0.0016050000000000001 0.002954 0.010871 0.051236999999999998 0.13078999999999999 0 0.026535 0.00086700000000000004 0.22777999999999998 0.00106 0.0041070000000000004 0.23205000000000001 0.103518 0.023142000000000006 0 2 19 19
0 linear 1 23 0.88989700000000005 599.54254534181996 1 128 0.39049299999999998 0.012838 0.43800199999999984 0.0076459999999999992 0.001562 0.0028300000000000001 0.010638999999999999 0.051160999999999998 0.13057099999999999 0 0.025846000000000001 0.00078399999999999997 0.072086999999999998 0.001083 0.0040169999999999997 0.22460800000000003 0.10090300000000009 0.023139999999999973 0 3 19 19
0 linear 2 0 37.690167000000002 2.3667291596036724 1 61 37.483499999999999 0.011761000000000001 0.16326500000000002 0.0052919999999999998 0.00095500000000000001 0.00314 0.011962 0.17648 0.34048899999999999 36.749258000000005 0.085404999999999995 3.8000000000000002e-05 0.044614000000000001 0.0018129999999999999 0.0040400000000000002 0.10553900000000004 0.028537000000000014 0.0069230000000000038 0 0 0 0
0 linear 2 7 51.398294 2.4102109454225378 1 61 51.106448999999998 0.013332999999999999 0.24183499999999997 0.0081139999999999997 0.00098499999999999998 0.003326 0.012446 0.051411999999999999 0.26329799999999998 50.612551999999994 0.084588999999999998 3.6999999999999998e-05 0.010657999999999999 0.0017830000000000001 0.0042430000000000002 0.17255599999999993 0.033341999999999997 0.0080839999999999957 0 1 16 13
