case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid endpoint_cache_hits endpoint_cache_evaluations
0 linear 0 0 50.726804999999999 7.0379226907888537 1 67 49.50159 0.033738999999999998 0.23815099999999992 0.0088690000000000019 0.0020689999999999997 0.0087349999999999997 0.024392 0.18718799999999999 0.34383200000000003 48.602343000000005 0.102852 2.6999999999999999e-05 0.061260000000000002 0.0096159999999999995 0.012990999999999999 0.15900800000000001 0.033084000000000009 0.0090680000000000031 0 0 0 0 0 0 0 0 0 0 49.287427000000001 49.458621000000001 0.013485 0.0065820000000000002 0.014444000000000002 0.00046000000000000001 0.040832 0 0 0 0 0 0 0
0 linear 0 7 49.517349000000003 7.165175685042759 1 83 49.096336000000001 0.012388 0.355242 0.0082400000000000008 0.0013759999999999998 0.003506 0.011625 0.018786000000000001 0.36310700000000001 48.522835000000001 0.090629000000000001 2.9e-05 0.016342000000000002 0.003274 0.0051229999999999999 0.2606239999999998 0.045943999999999985 0.011194000000000006 0 1 15 15 0 0 0 0 0 0 49.023525999999997 49.083283000000002 0.0031199999999999999 0.0071549999999999999 0.012357 0.000241 0.042084000000000003 2 1 16 0.00115407797797932 2 0 0
0 linear 0 15 49.804904000000001 7.2540425509600803 1 91 49.397958000000003 0.012144 0.36352000000000018 0.0075230000000000002 0.0016559999999999999 0.003199 0.010106 0.0099249999999999998 0.26282699999999998 48.891257000000003 0.090753 2.0000000000000002e-05 0.079856999999999997 0.001846 0.0037369999999999999 0.26163900000000012 0.05050300000000002 0.012378000000000012 0 2 13 13 0 0 0 0 0 0 49.275502000000003 49.390625999999997 0.001732 0.0058799999999999998 0.012503 4.5000000000000003e-05 0.038073999999999997 1 1 8 0.0027134713756958736 1 0 0
0 linear 0 23 49.854092999999999 7.2793514851610421 1 91 49.404967999999997 0.012078999999999999 0.40190899999999991 0.010298999999999999 0.001562 0.0044250000000000001 0.010023000000000001 0.010133 0.38460299999999997 48.805833 0.091242000000000004 2.1999999999999999e-05 0.048626000000000003 0.001635 0.0037720000000000006 0.28304499999999994 0.052722999999999978 0.013250000000000008 0 3 13 13 0 0 0 0 0 0 49.312069999999999 49.398197000000003 0.001609 0.0054980000000000003 0.013895000000000001 3.8000000000000002e-05 0.038932000000000001 1 1 8 0.0030160757831446021 1 0 0
0 linear 1 0 1.0452600000000001 589.76731831372365 1 105 0.65280199999999999 0.013252999999999999 0.30730499999999988 0.0076609999999999994 0.001766 0.0031870000000000002 0.0098560000000000002 0.17595 0.12330099999999999 0 0.0064530000000000004 0.0015920000000000001 0.25437700000000002 0.0017819999999999999 0.003895 0.15970999999999996 0.078065000000000093 0.017399000000000012 0 0 0 0 0.0041310000000000001 1 0 0 14 0 0.347362 0.645594 0.0012600000000000001 0.0037680000000000001 0.016844999999999999 0.0033149999999999998 0.032163999999999998 0 0 0 0 0 0 0
0 linear 1 7 0.70878399999999997 593.09247526628167 1 105 0.33792800000000001 0.013828999999999999 0.32764899999999991 0.0069629999999999996 0.0016060000000000002 0.0029640000000000001 0.0093080000000000003 0.0084169999999999991 0.13921800000000001 0 0.0036329999999999999 0.0010430000000000001 0.10365200000000001 0.001191 0.0037770000000000008 0.17252500000000007 0.07630900000000003 0.017484 0 1 19 19 0.0030270000000000002 1 0 0 14 0 0.19025500000000001 0.33120100000000002 0.0014270000000000001 0.0035439999999999998 0.014507000000000003 0.001433 0.03057 1 1 8 0.0016863986939356674 1 0 0
0 linear 1 15 0.92960200000000004 596.53003682974679 1 128 0.42734 0.013602 0.44400399999999995 0.0081460000000000005 0.0016769999999999999 0.002787 0.0087480000000000006 0.0083029999999999996 0.109523 0 0.0035040000000000002 0.00096699999999999998 0.22520099999999998 0.00099400000000000009 0.0038140000000000005 0.22996699999999989 0.10168800000000007 0.022883000000000011 0 2 19 19 0.0029420000000000002 1 0 0 14 0 0.160274 0.42065000000000002 0.0013619999999999999 0.0032910000000000001 0.014374 0.001129 0.030946999999999999 1 1 8 0.18679473719266346 1 0 0
0 linear 1 23 0.77493599999999996 599.54254534181996 1 128 0.29227599999999998 0.013416000000000001 0.43652500000000005 0.00777 0.0015 0.0027560000000000002 0.0084690000000000008 0.0082480000000000001 0.12959499999999999 0 0.0034780000000000002 0.00092400000000000002 0.071625999999999995 0.0010660000000000001 0.0037140000000000003 0.22492600000000001 0.099493000000000081 0.022826000000000023 0 3 19 19 0.0029429999999999999 1 0 0 14 0 0.17963199999999999 0.28623399999999999 0.0013140000000000001 0.0033240000000000001 0.014307999999999998 0.0012700000000000001 0.030461999999999999 1 1 8 0.0068439882711387309 1 0 0
0 linear 2 0 35.046463000000003 2.3667291596036724 1 61 34.802312000000001 0.012122000000000001 0.20233399999999996 0.0076570000000000006 0.0026479999999999997 0.0030040000000000002 0.0098530000000000006 0.171235 0.325127 34.122660000000003 0.085530999999999996 3.1000000000000001e-05 0.041379000000000006 0.001683 0.0037680000000000001 0.13749 0.029135000000000001 0.0071539999999999989 0 0 0 0 0 0 0 0 0 0 34.720016000000001 34.795240999999997 0.00085999999999999998 0.0056010000000000001 0.012008000000000001 5.0000000000000002e-05 0.033584000000000003 0 0 0 0 0 0 0
0 linear 2 7 47.853095000000003 2.4102109454225378 1 61 47.548034999999999 0.012061000000000001 0.26379699999999995 0.0080460000000000011 0.0010549999999999999 0.0030479999999999999 0.0098619999999999992 0.0097820000000000008 0.32415300000000002 47.061743 0.086013000000000006 2.8e-05 0.0098110000000000003 0.0015870000000000001 0.0037170000000000003 0.19212199999999996 0.03169700000000001 0.0082489999999999994 0 1 16 13 0 0 0 0 0 0 47.496867000000002 47.541038999999998 0.001694 0.005424 0.012318999999999998 4.1999999999999998e-05 0.033389000000000002 1 1 8 0.11055858717162853 1 0 0
