case_id	configuration_id	profile	target	d_bin_index	requested_factor	actual_d_over_rho	epoch_index	s	q	rho	x	y	reference_1e-6	v2_mu	v2_F0	v2_F_half	v2_status_code	v2_status	v2_ms	vbm_ms	speed_ratio_vbm_over_v2_all_finite	speed_ratio_vbm_over_v2_status_ok	relative_error_v2_over_vbm_1e-6
0	0	uniform	0.001	0	0.01581365334596794	0.13920904406946774	0	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	6.8139830013407305	6.814450219889146	6.382363638028435e-07	0.0	0	OK	0.709304	0.08514401270076632	0.12003881650289061	0.12003881650289061	6.856761285190019e-05
0	0	uniform	0.001	0	0.01581365334596794	0.13920904406946774	7	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	6.922316481235011	6.922786875911483	6.483830948193012e-07	0.0	0	OK	0.702417	0.08766696555539966	0.12480757947971029	0.12480757947971029	6.795336181855643e-05
0	0	uniform	0.001	0	0.01581365334596794	0.13920904406946774	15	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.004509555335418	7.004980115379678	6.560812527916417e-07	0.0	0	OK	0.693143	0.07964001270011067	0.11489694435363364	0.11489694435363364	6.717958488633877e-05
0	0	uniform	0.001	0	0.01581365334596794	0.13920904406946774	23	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.040385182847715	7.040852242767152	6.59441009691594e-07	0.0	0	OK	0.69279	0.08764903759583831	0.12651602591815458	0.12651602591815458	6.63401088586527e-05
0	0	uniform	0.0001	0	0.01581365334596794	0.13920904406946774	0	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	6.8139830013407305	6.814450219889146	6.382363638028435e-07	0.0	0	OK	0.709304	0.15145394718274474	0.21352473295335248	0.21352473295335248	6.856761285190019e-05
0	0	uniform	0.0001	0	0.01581365334596794	0.13920904406946774	7	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	6.922316481235011	6.922786875911483	6.483830948193012e-07	0.0	0	OK	0.702417	0.15556596918031573	0.22147238631797883	0.22147238631797883	6.795336181855643e-05
0	0	uniform	0.0001	0	0.01581365334596794	0.13920904406946774	15	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.004509555335418	7.004980115379678	6.560812527916417e-07	0.0	0	OK	0.693143	0.15524099580943584	0.2239667656016664	0.2239667656016664	6.717958488633877e-05
0	0	uniform	0.0001	0	0.01581365334596794	0.13920904406946774	23	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.040385182847715	7.040852242767152	6.59441009691594e-07	0.0	0	OK	0.69279	0.1539550139568746	0.22222464809953177	0.22222464809953177	6.63401088586527e-05
0	0	linear	0.001	0	0.01581365334596794	0.13920904406946774	0	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.037894869661673	7.038411624867826	6.382363638028435e-07	4.6045100823981295e-07	0	OK	0.834088	1.5139550087042153	1.8151022538439772	1.8151022538439772	7.342468390377498e-05
0	0	linear	0.001	0	0.01581365334596794	0.13920904406946774	7	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.165190297073744	7.165651320255118	6.483830948193012e-07	4.701662367101589e-07	0	OK	0.860348	1.6871910193003714	1.9610564786579052	1.9610564786579052	6.434207079776172e-05
0	0	linear	0.001	0	0.01581365334596794	0.13920904406946774	15	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.2540663721087535	7.254572501397284	6.560812527916417e-07	4.7634856542075666e-07	0	OK	0.853544	1.870620995759964	2.1915929299016383	2.1915929299016383	6.977180281623673e-05
0	0	linear	0.001	0	0.01581365334596794	0.13920904406946774	23	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.279253193533487	7.279839158110755	6.59441009691594e-07	4.769329024647767e-07	0	OK	0.867195	1.6067219548858702	1.8527804644697792	1.8527804644697792	8.049789747503703e-05
0	0	linear	0.0001	0	0.01581365334596794	0.13920904406946774	0	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.037894869661673	7.038411624867826	6.382363638028435e-07	4.6045100823981295e-07	0	OK	0.834088	153.29853899311274	183.7918049331878	183.7918049331878	7.342468390377498e-05
0	0	linear	0.0001	0	0.01581365334596794	0.13920904406946774	7	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.165190297073744	7.165651320255118	6.483830948193012e-07	4.701662367101589e-07	0	OK	0.860348	8.43062502099201	9.799087137986037	9.799087137986037	6.434207079776172e-05
0	0	linear	0.0001	0	0.01581365334596794	0.13920904406946774	15	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.2540663721087535	7.254572501397284	6.560812527916417e-07	4.7634856542075666e-07	0	OK	0.853544	8.574499981477857	10.045762118271416	10.045762118271416	6.977180281623673e-05
0	0	linear	0.0001	0	0.01581365334596794	0.13920904406946774	23	0.2310772011499552	0.5633224083213993	0.00017266345397718498	1.1409911177008178	-4.04722659326594	7.279253193533487	7.279839158110755	6.59441009691594e-07	4.769329024647767e-07	0	OK	0.867195	7.411759987007827	8.546820480985046	8.546820480985046	8.049789747503703e-05
1	1	uniform	0.001	0	0.2964992756887719	0.29680699491776086	0	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	41.922291611726415	41.92451611982192	3.2442799245032144e-07	0.0	0	OK	0.205436	0.068001972977072	0.3310129333567242	0.3310129333567242	5.306265497374293e-05
1	1	uniform	0.001	0	0.2964992756887719	0.29680699491776086	7	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	43.98761477481233	43.98989822348361	3.4041071166927927e-07	0.0	0	OK	0.213249	0.07202796405181289	0.33776460406291653	0.33776460406291653	5.19111727918852e-05
1	1	uniform	0.001	0	0.2964992756887719	0.29680699491776086	15	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	45.910506501119	45.912808858935655	3.5529093199998273e-07	0.0	0	OK	0.208563	0.07343397010117769	0.3520949070601099	0.3520949070601099	5.01488219607615e-05
1	1	uniform	0.001	0	0.2964992756887719	0.29680699491776086	23	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	47.308639293138114	47.31090706409418	3.661099523710616e-07	0.0	0	OK	0.213137	0.07928302511572838	0.37198151947211594	0.37198151947211594	4.7935662279673994e-05
1	1	uniform	0.0001	0	0.2964992756887719	0.29680699491776086	0	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	41.922291611726415	41.92451611982192	3.2442799245032144e-07	0.0	0	OK	0.205436	0.13427605153992772	0.6536150019467265	0.6536150019467265	5.306265497374293e-05
1	1	uniform	0.0001	0	0.2964992756887719	0.29680699491776086	7	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	43.98761477481233	43.98989822348361	3.4041071166927927e-07	0.0	0	OK	0.213249	0.14860398368909955	0.6968566496869836	0.6968566496869836	5.19111727918852e-05
1	1	uniform	0.0001	0	0.2964992756887719	0.29680699491776086	15	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	45.910506501119	45.912808858935655	3.5529093199998273e-07	0.0	0	OK	0.208563	0.1399570028297603	0.6710538438254163	0.6710538438254163	5.01488219607615e-05
1	1	uniform	0.0001	0	0.2964992756887719	0.29680699491776086	23	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	47.308639293138114	47.31090706409418	3.661099523710616e-07	0.0	0	OK	0.213137	0.1417259918525815	0.6649525509535252	0.6649525509535252	4.7935662279673994e-05
1	1	linear	0.001	0	0.2964992756887719	0.29680699491776086	0	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	43.38679494587166	43.38889063883819	3.2442799245032144e-07	2.3517181483083384e-07	0	OK	0.309193	1.313503016717732	4.248165439443105	4.248165439443105	4.830255309591534e-05
1	1	linear	0.001	0	0.2964992756887719	0.29680699491776086	7	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	45.58070721746655	45.58332527142365	3.4041071166927927e-07	2.474913909553459e-07	0	OK	0.317716	1.2200840283185244	3.8401718148236927	3.8401718148236927	5.7437765162401544e-05
1	1	linear	0.001	0	0.2964992756887719	0.29680699491776086	15	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	47.481930950681516	47.48460882193224	3.5529093199998273e-07	2.57132606706234e-07	0	OK	0.312423	1.2237070477567613	3.9168276591568523	3.9168276591568523	5.639769059743189e-05
1	1	linear	0.001	0	0.2964992756887719	0.29680699491776086	23	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	48.662925139508665	48.665298175779995	3.661099523710616e-07	2.615412984325163e-07	0	OK	0.31735	1.1514489888213575	3.6283251577796043	3.6283251577796043	4.8764768343175965e-05
1	1	linear	0.0001	0	0.2964992756887719	0.29680699491776086	0	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	43.38679494587166	43.38889063883819	3.2442799245032144e-07	2.3517181483083384e-07	0	OK	0.309193	6.649411981925368	21.505700264641725	21.505700264641725	4.830255309591534e-05
1	1	linear	0.0001	0	0.2964992756887719	0.29680699491776086	7	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	45.58070721746655	45.58332527142365	3.4041071166927927e-07	2.474913909553459e-07	0	OK	0.317716	6.5818760194815695	20.716224614062778	20.716224614062778	5.7437765162401544e-05
1	1	linear	0.0001	0	0.2964992756887719	0.29680699491776086	15	2.1336080847516863	0.004282869319642013	4.96306763696256e-05	-1.6612080518027779	-0.017635896530330094	47.481930950681516	47.48460882193224	3.5529093199998273e-07	2.57132606706234e-07	0	OK	0.312423	5.750985990744084	18.407690825400447	18.407690825400447	5.639769059743189e-05
