# fair V2 pure finite-source kernel; HEAD=8a9f701; n_r=64; timer=flux_value_integrate only; LensParams/PrimaryFrame/classify_cells(D14+topology)/I-O outside timer; no epoch_value; mapping=LensParams{time,y,rho,1/q,s,true}; repeats=3 median
# case_id configuration_id profile d_bin_index epoch_index s q rho x y time u X reference v2_mu F0 F_half status_code status ms ratio_v2_over_reference relative_error
0 0 linear 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0.5 -1.0576909932376057 7.037894869661673 7.0384116248678259 6.3823636380284352e-07 4.6045100823981295e-07 0 OK 0.83408800000000005 1.0000734246839038 7.3424683903774982e-05
0 0 linear 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0.5 -1.0577120131363507 7.1651902970737442 7.165651320255118 6.4838309481930118e-07 4.7016623671015892e-07 0 OK 0.860348 1.0000643420707978 6.4342070797761725e-05
0 0 linear 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0.5 -1.0577360358777737 7.2540663721087535 7.2545725013972842 6.5608125279164168e-07 4.7634856542075666e-07 0 OK 0.85354399999999997 1.0000697718028162 6.9771802816236727e-05
0 0 linear 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0.5 -1.0577600586191964 7.2792531935334868 7.2798391581107547 6.5944100969159403e-07 4.7693290246477668e-07 0 OK 0.86719500000000005 1.0000804978974751 8.0497897475037035e-05
0 0 linear 1 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0.5 0.10924686468716169 589.76910771294774 589.8335620616815 5.8799619915586567e-05 3.3272671502333673e-05 0 OK 1.3314189999999999 1.0001092874277253 0.00010928742772524572
0 0 linear 1 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0.5 0.10922584478841664 593.08183624951698 593.14438948820396 5.9161523422686519e-05 3.3427584072270289e-05 0 OK 1.269496 1.0001054715131432 0.00010547151314318226
0 0 linear 1 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.02593623027457688 0.5 0.10920182204699373 596.52004720667082 596.58357589594334 5.9533266010009837e-05 3.3592694240607574e-05 0 OK 1.626082 1.0001064988336437 0.00010649883364356739
0 0 linear 1 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025912207533153965 0.5 0.10917779930557081 599.53614633227335 599.59737289993541 5.9852731045207614e-05 3.3743679199906717e-05 0 OK 1.6271249999999999 1.0001021232298279 0.00010212322982796118
0 0 linear 2 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1409988887697833 0.5 -1.0577332969973665 2.3667306603356812 2.3667291008278202 2.223356272146074e-07 1.4710786582267684e-07 0 OK 0.43774099999999999 0.99999934107083366 6.5892916638416775e-07
0 0 linear 2 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1410199086685282 0.5 -1.0577543168961114 2.4102124914501046 2.4102108856009457 2.2651922611593366e-07 1.4971171988521534e-07 0 OK 0.44449899999999998 0.99999933373129357 6.6626870646364801e-07
0 0 linear 2 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1410439314099512 0.5 -1.0577783396375344 2.4659820375089936 2.4659803613316864 2.3190782097498765e-07 1.5302867139038887e-07 0 OK 0.429479 0.99999932028000138 6.7971999863719202e-07
0 0 linear 2 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.141067954151374 0.5 -1.0578023623789572 2.5300573667300794 2.5300556625765731 2.3813576687298239e-07 1.5680280097329609e-07 0 OK 0.43060900000000002 0.99999932643681178 6.7356318821835003e-07
0 0 linear 3 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 0.019011618393043918 -0.00044021513465950505 0.018977085702248479 0.5 0.064288506070168366 488.05744869038392 488.05714353571682 4.5966889284788169e-05 3.0218228752830437e-05 0 OK 0.44251699999999999 0.99999937475666456 6.2524333543510783e-07
