case_id profile d_bin epoch target lane whole_ms topology_ms seed_ms band_ms mu reference relerr converged stop status support seeds bands probes nodes panels splits g0 g1 g2 g3 g4 q0 q1 q2 q3 q4
0 linear 0 0 0.001 d14-value 54.931463999999998 53.679332000000002 0 0 7.037916549943767 7.037894869661673 3.0805066707512405e-06 1 Converged OK 0 0 0 0 107 5 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 0 0.001 seed-cold-value 3.632638 2.7417549999999999 1.933017 0.76012500000000005 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 1 Converged OK 1 80 6 72 173 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 0 0.001 seed-warm-value 2.814317 2.1299920000000001 1.3238049999999999 0.76493199999999995 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 1 Converged OK 1 80 6 72 173 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 0 0.001 d14-jac 54.320945000000002 53.294182999999997 0 0 7.037916549943767 7.037894869661673 3.0805066707512405e-06 1 Converged OK 0 0 0 0 187 5 0 7111.0202951328956 -282.99187426195954 -21419.951499277951 -7480.6686345945318 44744.364691991694 ToleranceMet FiniteUncertified ToleranceMet ToleranceMet FiniteUncertified
0 linear 0 0 0.001 seed-cold-jac 3.2956129999999999 2.344525 1.53538 0.76501399999999997 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 1 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 72 174 3 0 7111.0000874049219 -282.97097267217936 -21419.962392898851 -7480.6541894164666 44743.877002237634 Invalid Invalid Invalid Invalid Invalid
0 linear 0 0 0.001 seed-warm-jac 1.5959399999999999 0.79283099999999995 0.0010120000000000001 0.75803600000000004 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 1 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 72 174 3 0 7111.0000874049219 -282.97097267217936 -21419.962392898851 -7480.6541894164666 44743.877002237634 Invalid Invalid Invalid Invalid Invalid
0 linear 0 7 0.001 d14-value 53.434932000000003 53.055881999999997 0 0 7.1651437852467534 7.1651902970737442 6.4913596237319576e-06 1 Converged OK 0 0 0 0 107 5 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 7 0.001 seed-cold-value 3.5446909999999998 2.2877299999999998 1.4901880000000001 0.76024899999999995 7.1651536238400499 7.1651902970737442 5.1182497845522025e-06 1 Converged OK 1 80 6 72 285 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 7 0.001 seed-warm-value 1.983519 0.89585599999999999 0.111611 0.75502899999999995 7.1651536238400499 7.1651902970737442 5.1182497845522025e-06 1 Converged OK 1 80 6 72 285 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 7 0.001 d14-jac 54.131562000000002 53.181095999999997 0 0 7.1651437852467534 7.1651902970737442 6.4913596237319576e-06 1 Converged OK 0 0 0 0 203 5 0 4976.8983982572399 2180.8783345350207 -22705.37823173343 -5991.8530392968505 -12502.242874448471 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 0 7 0.001 seed-cold-jac 4.3787419999999999 2.336074 1.5359119999999999 0.76357699999999995 7.1651536238400499 7.1651902970737442 5.1182497845522025e-06 1 Converged OK 1 80 6 72 323 4 1 4990.7442170287877 2127.379848019601 -22668.628505209381 -5987.542520386357 -11486.16664515752 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 0 7 0.001 seed-warm-jac 2.5372870000000001 0.79475200000000001 0.0014369999999999999 0.75672099999999998 7.1651536238400499 7.1651902970737442 5.1182497845522025e-06 1 Converged OK 1 80 6 72 323 4 1 4990.7442170287877 2127.379848019601 -22668.628505209381 -5987.542520386357 -11486.16664515752 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 0 15 0.001 d14-value 53.872996999999998 53.433059 0 0 7.2540771206189403 7.2540663721087535 1.4817220625542731e-06 1 Converged OK 0 0 0 0 107 5 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 15 0.001 seed-cold-value 3.6259260000000002 2.3196940000000001 1.514203 0.76382300000000003 7.2540773162363674 7.2540663721087535 1.5086886516521767e-06 1 Converged OK 1 80 6 72 301 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 15 0.001 seed-warm-value 2.0314909999999999 0.90210699999999999 0.11446000000000001 0.75305500000000003 7.2540773162363674 7.2540663721087535 1.5086886516521767e-06 1 Converged OK 1 80 6 72 301 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 15 0.001 d14-jac 54.151761999999998 53.247326000000001 0 0 7.2540771206189403 7.2540663721087535 1.4817220625542731e-06 1 Converged OK 0 0 0 0 187 5 0 2401.9351698880732 5053.3941198674065 -23311.734423417314 -4163.6314223264117 -79726.394230842649 FiniteUncertified FiniteUncertified ToleranceMet FiniteUncertified FiniteUncertified
0 linear 0 15 0.001 seed-cold-jac 4.1960259999999998 2.2443379999999999 1.442841 0.75878199999999996 7.2540773162363674 7.2540663721087535 1.5086886516521767e-06 1 Converged OK 1 80 6 72 339 4 1 2463.5292584209146 5253.5665658093449 -23500.025779662199 -4303.4433111472608 -82831.154325242023 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 0 15 0.001 seed-warm-jac 2.6739999999999999 0.80439899999999998 0.001111 0.76046999999999998 7.2540773162363674 7.2540663721087535 1.5086886516521767e-06 1 Converged OK 1 80 6 72 339 4 1 2463.5292584209146 5253.5665658093449 -23500.025779662199 -4303.4433111472608 -82831.154325242023 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 0 23 0.001 d14-value 53.948566999999997 53.369453 0 0 7.2793538566257574 7.2792531935334868 1.382876643995023e-05 1 Converged OK 0 0 0 0 123 5 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 23 0.001 seed-cold-value 6.6855060000000002 5.473649 1.5394140000000001 3.8910939999999998 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 72 277 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 23 0.001 seed-warm-value 5.2539150000000001 4.1611209999999996 0.18182899999999999 3.9355509999999998 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 72 277 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 23 0.001 d14-jac 54.407975 53.332616000000002 0 0 7.2793538566257574 7.2792531935334868 1.382876643995023e-05 1 Converged OK 0 0 0 0 219 5 0 -323.37302248525629 7992.0798589497863 -22932.026820648127 -2196.4083321124062 -149005.0313488768 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 0 23 0.001 seed-cold-jac 7.0373409999999996 5.5171349999999997 1.572193 3.898263 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 72 277 3 0 -364.96984813429555 7950.1143280014949 -22878.162635923287 -2135.8006867981835 -148530.6988659474 Invalid Invalid Invalid Invalid Invalid
0 linear 0 23 0.001 seed-warm-jac 5.2099650000000004 3.9278789999999999 0.001294 3.883791 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 72 277 3 0 -364.96984813429555 7950.1143280014949 -22878.162635923287 -2135.8006867981835 -148530.6988659474 Invalid Invalid Invalid Invalid Invalid
0 linear 0 0 0.0001 d14-value 53.857604000000002 53.300744000000002 0 0 7.0379174403246445 7.037894869661673 3.2070190574750059e-06 1 Converged OK 0 0 0 0 139 5 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 0 0.0001 seed-cold-value 2.950796 2.2324389999999998 1.4181220000000001 0.769146 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 72 174 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 0 0.0001 seed-warm-value 2.9097170000000001 2.1163210000000001 1.316433 0.75768100000000005 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 72 174 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 0 0.0001 d14-jac 54.493923000000002 53.291390999999997 0 0 7.0379174403246445 7.037894869661673 3.2070190574750059e-06 1 Converged OK 0 0 0 0 251 5 0 7111.0202817749932 -282.99185758848967 -21419.951473103101 -7480.6686252840764 44744.364301372771 ToleranceMet ToleranceMet ToleranceMet ToleranceMet ToleranceMet
0 linear 0 0 0.0001 seed-cold-jac 3.476251 2.37486 1.5669139999999999 0.76455600000000001 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 72 174 3 0 7111.0000874049219 -282.97097267217936 -21419.962392898851 -7480.6541894164666 44743.877002237634 Invalid Invalid Invalid Invalid Invalid
